06:31:25 | ================================================================================
06:31:25 |  GUMNet_Wavelet | XANG | H1 | walkforward | seed=9999
06:31:25 | ================================================================================
06:31:25 | Data: 4513 rows | Features: 15
06:37:01 |  Iter-01 | MAE=0.345 | MAPE=0.44%
06:43:13 |  Iter-02 | MAE=0.319 | MAPE=0.41%
06:49:18 |  Iter-03 | MAE=0.285 | MAPE=0.36%
06:56:00 |  Iter-04 | MAE=2.702 | MAPE=3.59%
07:01:16 |  Iter-05 | MAE=0.503 | MAPE=0.68%
07:07:05 |  Iter-06 | MAE=0.612 | MAPE=0.82%
07:12:06 |  Iter-07 | MAE=0.997 | MAPE=1.36%
07:18:00 |  Iter-08 | MAE=0.454 | MAPE=0.61%
07:24:32 |  Iter-09 | MAE=0.931 | MAPE=1.26%
07:30:28 |  Iter-10 | MAE=0.350 | MAPE=0.47%
07:36:25 |  Iter-11 | MAE=0.290 | MAPE=0.39%
07:41:14 |  Iter-12 | MAE=0.375 | MAPE=0.52%
07:47:45 |  Iter-13 | MAE=0.259 | MAPE=0.36%
07:53:14 |  Iter-14 | MAE=0.681 | MAPE=0.94%
07:58:02 |  Iter-15 | MAE=0.347 | MAPE=0.48%
08:03:44 |  Iter-16 | MAE=0.132 | MAPE=0.18%
08:08:56 |  Iter-17 | MAE=0.514 | MAPE=0.71%
08:14:21 |  Iter-18 | MAE=1.365 | MAPE=1.93%
08:19:26 |  Iter-19 | MAE=0.192 | MAPE=0.27%
08:25:06 |  Iter-20 | MAE=0.637 | MAPE=0.91%
08:31:59 |  Iter-21 | MAE=0.723 | MAPE=1.02%
08:38:05 |  Iter-22 | MAE=0.715 | MAPE=0.99%
08:43:51 |  Iter-23 | MAE=0.991 | MAPE=1.37%
08:49:13 |  Iter-24 | MAE=0.518 | MAPE=0.71%
08:54:16 |  Iter-25 | MAE=1.482 | MAPE=2.05%
09:00:28 |  Iter-26 | MAE=1.386 | MAPE=1.92%
09:06:42 |  Iter-27 | MAE=0.264 | MAPE=0.37%
09:13:02 |  Iter-28 | MAE=0.235 | MAPE=0.33%
09:18:54 |  Iter-29 | MAE=0.582 | MAPE=0.81%
09:24:26 |  Iter-30 | MAE=0.332 | MAPE=0.46%
09:29:43 |  Iter-31 | MAE=0.831 | MAPE=1.14%
09:35:42 |  Iter-32 | MAE=0.725 | MAPE=1.01%
09:41:34 |  Iter-33 | MAE=0.608 | MAPE=0.83%
09:46:10 |  Iter-34 | MAE=0.885 | MAPE=1.24%
09:52:17 |  Iter-35 | MAE=0.983 | MAPE=1.34%
09:57:53 |  Iter-36 | MAE=1.150 | MAPE=1.54%
10:03:42 |  Iter-37 | MAE=1.129 | MAPE=1.52%
10:08:56 |  Iter-38 | MAE=2.949 | MAPE=4.11%
10:14:18 |  Iter-39 | MAE=2.399 | MAPE=3.33%
10:21:09 |  Iter-40 | MAE=1.616 | MAPE=2.19%
10:27:12 |  Iter-41 | MAE=0.162 | MAPE=0.22%
10:32:08 |  Iter-42 | MAE=0.816 | MAPE=1.10%
10:37:48 |  Iter-43 | MAE=0.789 | MAPE=1.04%
10:43:17 |  Iter-44 | MAE=1.196 | MAPE=1.54%
10:48:44 |  Iter-45 | MAE=0.811 | MAPE=1.06%
10:53:40 |  Iter-46 | MAE=0.857 | MAPE=1.13%
10:59:01 |  Iter-47 | MAE=2.315 | MAPE=3.18%
11:04:24 |  Iter-48 | MAE=0.332 | MAPE=0.46%
11:10:26 |  Iter-49 | MAE=0.073 | MAPE=0.10%
11:16:35 |  Iter-50 | MAE=0.458 | MAPE=0.63%
11:21:40 |  Iter-51 | MAE=2.614 | MAPE=3.39%
11:29:12 |  Iter-52 | MAE=0.713 | MAPE=0.90%
11:34:45 |  Iter-53 | MAE=0.050 | MAPE=0.06%
11:41:34 |  Iter-54 | MAE=2.328 | MAPE=2.90%
11:48:15 |  Iter-55 | MAE=0.624 | MAPE=0.78%
11:53:44 |  Iter-56 | MAE=0.468 | MAPE=0.58%
11:58:55 |  Iter-57 | MAE=0.134 | MAPE=0.17%
