06:55:51 | ================================================================================
06:55:51 |  GUMNet_iTrans | DAU | H1 | walkforward | seed=123
06:55:51 | ================================================================================
06:55:51 | Data: 4513 rows | Features: 16
07:02:04 |  Iter-01 | MAE=1.086 | MAPE=1.32%
07:07:03 |  Iter-02 | MAE=0.626 | MAPE=0.76%
07:12:19 |  Iter-03 | MAE=0.939 | MAPE=1.15%
07:17:09 |  Iter-04 | MAE=1.539 | MAPE=1.92%
07:23:00 |  Iter-05 | MAE=0.174 | MAPE=0.22%
07:28:34 |  Iter-06 | MAE=0.581 | MAPE=0.72%
07:34:51 |  Iter-07 | MAE=1.397 | MAPE=1.77%
07:39:41 |  Iter-08 | MAE=0.343 | MAPE=0.43%
07:44:48 |  Iter-09 | MAE=0.259 | MAPE=0.32%
07:50:05 |  Iter-10 | MAE=1.004 | MAPE=1.24%
07:55:21 |  Iter-11 | MAE=0.141 | MAPE=0.17%
08:00:55 |  Iter-12 | MAE=0.342 | MAPE=0.43%
08:06:10 |  Iter-13 | MAE=0.141 | MAPE=0.18%
08:11:00 |  Iter-14 | MAE=0.222 | MAPE=0.28%
08:15:58 |  Iter-15 | MAE=0.739 | MAPE=0.92%
08:21:24 |  Iter-16 | MAE=0.230 | MAPE=0.29%
08:26:57 |  Iter-17 | MAE=0.695 | MAPE=0.88%
08:32:04 |  Iter-18 | MAE=1.248 | MAPE=1.60%
08:37:55 |  Iter-19 | MAE=0.293 | MAPE=0.37%
08:42:35 |  Iter-20 | MAE=1.730 | MAPE=2.24%
08:47:26 |  Iter-21 | MAE=0.083 | MAPE=0.11%
08:53:16 |  Iter-22 | MAE=1.104 | MAPE=1.39%
08:58:24 |  Iter-23 | MAE=0.540 | MAPE=0.68%
09:03:31 |  Iter-24 | MAE=0.817 | MAPE=1.01%
09:08:30 |  Iter-25 | MAE=0.275 | MAPE=0.33%
09:14:20 |  Iter-26 | MAE=2.142 | MAPE=2.62%
09:19:28 |  Iter-27 | MAE=1.358 | MAPE=1.66%
09:24:44 |  Iter-28 | MAE=0.355 | MAPE=0.43%
09:29:26 |  Iter-29 | MAE=0.314 | MAPE=0.38%
09:34:24 |  Iter-30 | MAE=0.842 | MAPE=1.00%
09:39:05 |  Iter-31 | MAE=1.517 | MAPE=1.78%
09:44:30 |  Iter-32 | MAE=0.099 | MAPE=0.12%
09:49:45 |  Iter-33 | MAE=0.371 | MAPE=0.43%
09:55:01 |  Iter-34 | MAE=1.544 | MAPE=1.84%
09:59:42 |  Iter-35 | MAE=1.248 | MAPE=1.44%
10:04:31 |  Iter-36 | MAE=1.456 | MAPE=1.64%
10:09:56 |  Iter-37 | MAE=1.409 | MAPE=1.59%
10:14:46 |  Iter-38 | MAE=1.786 | MAPE=2.05%
10:19:37 |  Iter-39 | MAE=1.402 | MAPE=1.62%
10:24:44 |  Iter-40 | MAE=0.133 | MAPE=0.15%
10:29:34 |  Iter-41 | MAE=1.028 | MAPE=1.17%
10:35:16 |  Iter-42 | MAE=1.907 | MAPE=2.15%
10:39:57 |  Iter-43 | MAE=1.844 | MAPE=2.11%
10:46:56 |  Iter-44 | MAE=1.095 | MAPE=1.24%
10:52:08 |  Iter-45 | MAE=1.114 | MAPE=1.25%
10:57:21 |  Iter-46 | MAE=0.430 | MAPE=0.48%
11:02:14 |  Iter-47 | MAE=0.995 | MAPE=1.15%
11:07:17 |  Iter-48 | MAE=0.601 | MAPE=0.70%
11:13:31 |  Iter-49 | MAE=0.478 | MAPE=0.55%
11:19:00 |  Iter-50 | MAE=0.097 | MAPE=0.11%
11:24:13 |  Iter-51 | MAE=2.859 | MAPE=3.13%
11:29:51 |  Iter-52 | MAE=1.657 | MAPE=1.79%
11:34:54 |  Iter-53 | MAE=0.758 | MAPE=0.83%
11:39:56 |  Iter-54 | MAE=1.015 | MAPE=1.10%
11:45:24 |  Iter-55 | MAE=0.529 | MAPE=0.58%
11:50:18 |  Iter-56 | MAE=0.020 | MAPE=0.02%
11:56:32 |  Iter-57 | MAE=0.161 | MAPE=0.17%
12:02:01 |  Iter-58 | MAE=21.251 | MAPE=18.51%
12:07:13 |  Iter-59 | MAE=12.299 | MAPE=9.80%
12:12:08 |  Iter-60 | MAE=15.337 | MAPE=10.71%
12:17:01 |  Iter-61 | MAE=19.475 | MAPE=12.76%
12:22:13 |  Iter-62 | MAE=9.191 | MAPE=5.92%
12:27:44 |  Iter-63 | MAE=34.534 | MAPE=18.67%
12:32:54 |  Iter-64 | MAE=27.559 | MAPE=17.13%
12:37:36 |  Iter-65 | MAE=0.729 | MAPE=0.45%
12:42:45 |  Iter-66 | MAE=22.036 | MAPE=11.36%
12:49:13 |  Iter-67 | MAE=4.705 | MAPE=2.45%
12:54:04 |  Iter-68 | MAE=11.064 | MAPE=5.81%
12:59:13 |  Iter-69 | MAE=15.301 | MAPE=7.74%
13:05:34 |  Iter-70 | MAE=3.794 | MAPE=1.91%
13:10:34 |  Iter-71 | MAE=20.259 | MAPE=9.04%
13:15:43 |  Iter-72 | MAE=0.765 | MAPE=0.34%
13:21:10 |  Iter-73 | MAE=10.587 | MAPE=4.37%
13:26:37 |  Iter-74 | MAE=7.473 | MAPE=3.41%
13:32:04 |  Iter-75 | MAE=21.632 | MAPE=10.55%
13:37:58 |  Iter-76 | MAE=12.630 | MAPE=5.85%
13:44:01 |  Iter-77 | MAE=5.050 | MAPE=2.13%
13:49:36 |  Iter-78 | MAE=8.827 | MAPE=3.51%
13:55:24 |  Iter-79 | MAE=13.983 | MAPE=5.87%
14:01:04 |  Iter-80 | MAE=4.751 | MAPE=1.94%
14:07:41 |  Iter-81 | MAE=44.479 | MAPE=15.22%
14:13:53 |  Iter-82 | MAE=33.256 | MAPE=12.42%
14:19:21 |  Iter-83 | MAE=26.207 | MAPE=10.80%
14:24:28 |  Iter-84 | MAE=54.511 | MAPE=28.55%
14:30:04 |  Iter-85 | MAE=7.329 | MAPE=3.57%
14:35:48 |  Iter-86 | MAE=1.032 | MAPE=0.54%
14:41:20 |  Iter-87 | MAE=10.973 | MAPE=5.76%
14:46:04 |  Iter-88 | MAE=13.806 | MAPE=7.64%
14:51:16 |  Iter-89 | MAE=11.516 | MAPE=6.94%
14:56:57 |  Iter-90 | MAE=1.995 | MAPE=1.24%
15:01:50 |  Iter-91 | MAE=2.733 | MAPE=1.67%
15:07:25 |  Iter-92 | MAE=10.821 | MAPE=7.32%
15:12:57 |  Iter-93 | MAE=1.194 | MAPE=0.82%
15:19:02 |  Iter-94 | MAE=12.353 | MAPE=7.72%
15:24:49 |  Iter-95 | MAE=3.559 | MAPE=2.17%
15:31:03 |  Iter-96 | MAE=0.205 | MAPE=0.12%
15:37:39 |  Iter-97 | MAE=2.227 | MAPE=1.33%
15:43:16 |  Iter-98 | MAE=6.856 | MAPE=4.28%
15:48:34 |  Iter-99 | MAE=2.432 | MAPE=1.48%
15:53:23 |  Iter-100 | MAE=5.466 | MAPE=3.18%
15:53:23 | 
 OVERALL: MAE=6.053, MAPE=3.51%, R2=0.9607 (32253.3s)
15:53:23 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_iTrans/DAU_H1_seed123/model_checkpoint.pth
15:53:23 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_iTrans/DAU_H1_seed123/processor.pkl
