07:18:02 | ================================================================================
07:18:02 |  GUMNet_iTrans | XANG | H1 | walkforward | seed=2025
07:18:02 | ================================================================================
07:18:02 | Data: 4513 rows | Features: 15
07:24:11 |  Iter-01 | MAE=0.103 | MAPE=0.13%
07:31:39 |  Iter-02 | MAE=0.481 | MAPE=0.62%
07:37:54 |  Iter-03 | MAE=0.293 | MAPE=0.37%
07:45:04 |  Iter-04 | MAE=2.037 | MAPE=2.71%
07:51:13 |  Iter-05 | MAE=0.420 | MAPE=0.56%
07:59:02 |  Iter-06 | MAE=0.540 | MAPE=0.73%
08:04:36 |  Iter-07 | MAE=1.302 | MAPE=1.77%
08:11:49 |  Iter-08 | MAE=0.428 | MAPE=0.58%
08:18:04 |  Iter-09 | MAE=0.874 | MAPE=1.18%
08:24:29 |  Iter-10 | MAE=0.574 | MAPE=0.78%
08:31:16 |  Iter-11 | MAE=0.278 | MAPE=0.38%
08:37:13 |  Iter-12 | MAE=0.394 | MAPE=0.54%
08:45:17 |  Iter-13 | MAE=0.047 | MAPE=0.06%
08:52:13 |  Iter-14 | MAE=0.419 | MAPE=0.58%
08:58:25 |  Iter-15 | MAE=0.218 | MAPE=0.30%
09:06:02 |  Iter-16 | MAE=0.173 | MAPE=0.24%
09:12:33 |  Iter-17 | MAE=0.537 | MAPE=0.74%
09:19:56 |  Iter-18 | MAE=1.175 | MAPE=1.66%
09:26:06 |  Iter-19 | MAE=0.158 | MAPE=0.22%
09:31:18 |  Iter-20 | MAE=1.110 | MAPE=1.58%
09:37:30 |  Iter-21 | MAE=0.788 | MAPE=1.12%
09:43:03 |  Iter-22 | MAE=0.849 | MAPE=1.17%
09:48:57 |  Iter-23 | MAE=1.022 | MAPE=1.41%
09:57:03 |  Iter-24 | MAE=0.327 | MAPE=0.45%
10:02:51 |  Iter-25 | MAE=1.019 | MAPE=1.41%
10:09:34 |  Iter-26 | MAE=1.849 | MAPE=2.57%
10:14:39 |  Iter-27 | MAE=0.323 | MAPE=0.45%
10:21:06 |  Iter-28 | MAE=0.331 | MAPE=0.47%
10:27:33 |  Iter-29 | MAE=0.511 | MAPE=0.71%
10:34:51 |  Iter-30 | MAE=0.558 | MAPE=0.77%
10:40:52 |  Iter-31 | MAE=0.571 | MAPE=0.78%
10:46:55 |  Iter-32 | MAE=0.671 | MAPE=0.94%
10:52:30 |  Iter-33 | MAE=0.538 | MAPE=0.73%
10:58:55 |  Iter-34 | MAE=0.733 | MAPE=1.03%
11:05:14 |  Iter-35 | MAE=1.410 | MAPE=1.92%
11:11:06 |  Iter-36 | MAE=0.542 | MAPE=0.73%
11:16:47 |  Iter-37 | MAE=1.740 | MAPE=2.34%
11:25:20 |  Iter-38 | MAE=2.827 | MAPE=3.94%
11:30:13 |  Iter-39 | MAE=1.581 | MAPE=2.20%
11:36:15 |  Iter-40 | MAE=1.375 | MAPE=1.86%
11:44:35 |  Iter-41 | MAE=0.899 | MAPE=1.21%
11:50:12 |  Iter-42 | MAE=0.983 | MAPE=1.32%
11:56:19 |  Iter-43 | MAE=1.064 | MAPE=1.41%
12:04:30 |  Iter-44 | MAE=1.794 | MAPE=2.31%
12:11:15 |  Iter-45 | MAE=0.450 | MAPE=0.59%
