06:56:08 | ================================================================================
06:56:08 |  Gated_TabNet | DAU | H1 | walkforward | seed=777
06:56:08 | ================================================================================
06:56:08 | Data: 4513 rows | Features: 16
07:09:22 |  Iter-01 | MAE=1.323 | MAPE=1.60%
07:28:59 |  Iter-02 | MAE=0.463 | MAPE=0.56%
07:50:24 |  Iter-03 | MAE=1.452 | MAPE=1.78%
08:05:00 |  Iter-04 | MAE=1.215 | MAPE=1.52%
08:18:19 |  Iter-05 | MAE=0.082 | MAPE=0.10%
08:33:50 |  Iter-06 | MAE=0.773 | MAPE=0.96%
08:47:18 |  Iter-07 | MAE=1.576 | MAPE=2.00%
08:52:13 |  Iter-08 | MAE=0.137 | MAPE=0.17%
09:05:00 |  Iter-09 | MAE=0.800 | MAPE=1.00%
09:18:05 |  Iter-10 | MAE=0.179 | MAPE=0.22%
09:35:03 |  Iter-11 | MAE=0.431 | MAPE=0.53%
09:45:44 |  Iter-12 | MAE=0.733 | MAPE=0.91%
09:58:55 |  Iter-13 | MAE=0.469 | MAPE=0.59%
10:09:39 |  Iter-14 | MAE=0.347 | MAPE=0.44%
10:22:59 |  Iter-15 | MAE=0.936 | MAPE=1.17%
10:39:20 |  Iter-16 | MAE=0.526 | MAPE=0.66%
10:50:46 |  Iter-17 | MAE=0.783 | MAPE=0.99%
10:55:45 |  Iter-18 | MAE=0.776 | MAPE=0.99%
11:08:48 |  Iter-19 | MAE=0.044 | MAPE=0.06%
11:22:04 |  Iter-20 | MAE=1.950 | MAPE=2.52%
11:34:05 |  Iter-21 | MAE=0.054 | MAPE=0.07%
11:56:08 |  Iter-22 | MAE=1.289 | MAPE=1.62%
12:07:30 |  Iter-23 | MAE=0.781 | MAPE=0.98%
12:13:17 |  Iter-24 | MAE=0.301 | MAPE=0.37%
12:27:12 |  Iter-25 | MAE=0.512 | MAPE=0.62%
12:41:36 |  Iter-26 | MAE=2.286 | MAPE=2.80%
