04:17:11 | ================================================================================
04:17:11 |  Gated_TabNet | XANG | H1 | walkforward | seed=9999
04:17:11 | ================================================================================
04:17:11 | Data: 4513 rows | Features: 15
04:24:20 |  Iter-01 | MAE=0.188 | MAPE=0.24%
04:31:00 |  Iter-02 | MAE=0.284 | MAPE=0.37%
04:40:47 |  Iter-03 | MAE=0.964 | MAPE=1.23%
04:46:45 |  Iter-04 | MAE=2.717 | MAPE=3.61%
04:53:04 |  Iter-05 | MAE=0.396 | MAPE=0.53%
05:00:34 |  Iter-06 | MAE=1.066 | MAPE=1.43%
05:06:41 |  Iter-07 | MAE=1.422 | MAPE=1.94%
05:13:04 |  Iter-08 | MAE=0.430 | MAPE=0.58%
05:19:30 |  Iter-09 | MAE=1.349 | MAPE=1.83%
05:25:21 |  Iter-10 | MAE=0.971 | MAPE=1.32%
05:30:18 |  Iter-11 | MAE=0.039 | MAPE=0.05%
05:40:01 |  Iter-12 | MAE=0.758 | MAPE=1.04%
05:46:22 |  Iter-13 | MAE=0.328 | MAPE=0.45%
05:52:07 |  Iter-14 | MAE=0.576 | MAPE=0.79%
06:00:51 |  Iter-15 | MAE=0.089 | MAPE=0.12%
06:08:00 |  Iter-16 | MAE=0.367 | MAPE=0.50%
06:15:22 |  Iter-17 | MAE=0.760 | MAPE=1.05%
06:22:20 |  Iter-18 | MAE=0.962 | MAPE=1.36%
06:27:35 |  Iter-19 | MAE=0.127 | MAPE=0.18%
06:33:43 |  Iter-20 | MAE=1.330 | MAPE=1.90%
06:39:55 |  Iter-21 | MAE=0.634 | MAPE=0.90%
06:47:38 |  Iter-22 | MAE=0.521 | MAPE=0.72%
06:53:46 |  Iter-23 | MAE=1.080 | MAPE=1.49%
06:58:42 |  Iter-24 | MAE=0.405 | MAPE=0.56%
07:05:20 |  Iter-25 | MAE=1.716 | MAPE=2.37%
07:12:08 |  Iter-26 | MAE=2.017 | MAPE=2.80%
07:20:04 |  Iter-27 | MAE=1.245 | MAPE=1.75%
07:26:06 |  Iter-28 | MAE=0.351 | MAPE=0.49%
07:32:45 |  Iter-29 | MAE=0.161 | MAPE=0.22%
07:38:33 |  Iter-30 | MAE=0.194 | MAPE=0.27%
07:44:27 |  Iter-31 | MAE=0.265 | MAPE=0.36%
07:52:03 |  Iter-32 | MAE=0.669 | MAPE=0.93%
07:57:20 |  Iter-33 | MAE=0.792 | MAPE=1.08%
08:03:44 |  Iter-34 | MAE=1.276 | MAPE=1.79%
08:10:22 |  Iter-35 | MAE=0.313 | MAPE=0.43%
08:17:02 |  Iter-36 | MAE=0.391 | MAPE=0.52%
08:25:53 |  Iter-37 | MAE=1.302 | MAPE=1.75%
08:31:55 |  Iter-38 | MAE=3.196 | MAPE=4.45%
08:39:11 |  Iter-39 | MAE=2.389 | MAPE=3.32%
08:48:19 |  Iter-40 | MAE=1.612 | MAPE=2.18%
08:54:16 |  Iter-41 | MAE=0.863 | MAPE=1.16%
09:00:42 |  Iter-42 | MAE=0.900 | MAPE=1.21%
09:06:03 |  Iter-43 | MAE=1.140 | MAPE=1.51%
09:15:31 |  Iter-44 | MAE=0.779 | MAPE=1.00%
09:22:18 |  Iter-45 | MAE=0.122 | MAPE=0.16%
09:27:37 |  Iter-46 | MAE=1.765 | MAPE=2.33%
09:32:33 |  Iter-47 | MAE=2.376 | MAPE=3.27%
09:40:07 |  Iter-48 | MAE=0.637 | MAPE=0.88%
09:45:45 |  Iter-49 | MAE=0.410 | MAPE=0.56%
09:54:18 |  Iter-50 | MAE=0.216 | MAPE=0.30%
10:01:04 |  Iter-51 | MAE=2.396 | MAPE=3.11%
10:08:51 |  Iter-52 | MAE=0.977 | MAPE=1.24%
10:14:52 |  Iter-53 | MAE=0.544 | MAPE=0.69%
10:22:13 |  Iter-54 | MAE=2.680 | MAPE=3.35%
10:29:10 |  Iter-55 | MAE=1.470 | MAPE=1.83%
10:36:00 |  Iter-56 | MAE=0.818 | MAPE=1.02%
10:43:36 |  Iter-57 | MAE=0.457 | MAPE=0.57%
10:51:00 |  Iter-58 | MAE=10.571 | MAPE=11.55%
10:57:07 |  Iter-59 | MAE=5.407 | MAPE=5.57%
11:03:08 |  Iter-60 | MAE=1.363 | MAPE=1.32%
11:13:48 |  Iter-61 | MAE=12.058 | MAPE=11.10%
11:15:48 |  Iter-62 | MAE=5.785 | MAPE=4.93%
11:26:46 |  Iter-63 | MAE=17.266 | MAPE=12.05%
11:28:56 |  Iter-64 | MAE=22.341 | MAPE=18.09%
11:30:52 |  Iter-65 | MAE=2.542 | MAPE=2.11%
11:32:52 |  Iter-66 | MAE=15.736 | MAPE=11.52%
11:34:53 |  Iter-67 | MAE=2.232 | MAPE=1.63%
11:45:32 |  Iter-68 | MAE=0.847 | MAPE=0.55%
11:53:33 |  Iter-69 | MAE=6.148 | MAPE=4.22%
12:04:03 |  Iter-70 | MAE=2.898 | MAPE=1.97%
12:06:04 |  Iter-71 | MAE=7.459 | MAPE=4.67%
12:14:24 |  Iter-72 | MAE=1.354 | MAPE=0.86%
12:21:29 |  Iter-73 | MAE=5.438 | MAPE=3.31%
12:32:10 |  Iter-74 | MAE=9.412 | MAPE=6.48%
12:42:52 |  Iter-75 | MAE=14.128 | MAPE=10.60%
12:47:18 |  Iter-76 | MAE=7.280 | MAPE=5.62%
12:51:33 |  Iter-77 | MAE=2.268 | MAPE=1.71%
12:53:46 |  Iter-78 | MAE=6.482 | MAPE=4.50%
12:59:09 |  Iter-79 | MAE=2.600 | MAPE=1.82%
13:08:06 |  Iter-80 | MAE=1.660 | MAPE=1.19%
13:10:07 |  Iter-81 | MAE=9.474 | MAPE=6.41%
13:12:06 |  Iter-82 | MAE=3.620 | MAPE=2.49%
13:14:20 |  Iter-83 | MAE=4.868 | MAPE=3.39%
13:16:29 |  Iter-84 | MAE=22.408 | MAPE=18.26%
13:26:06 |  Iter-85 | MAE=15.414 | MAPE=11.60%
13:27:59 |  Iter-86 | MAE=2.760 | MAPE=2.10%
13:29:54 |  Iter-87 | MAE=1.727 | MAPE=1.29%
13:31:51 |  Iter-88 | MAE=6.499 | MAPE=5.12%
13:33:50 |  Iter-89 | MAE=3.210 | MAPE=2.67%
13:43:57 |  Iter-90 | MAE=8.056 | MAPE=6.61%
13:46:14 |  Iter-91 | MAE=1.606 | MAPE=1.25%
13:48:15 |  Iter-92 | MAE=0.791 | MAPE=0.65%
13:49:59 |  Iter-93 | MAE=1.484 | MAPE=1.22%
13:52:17 |  Iter-94 | MAE=4.114 | MAPE=3.26%
13:54:18 |  Iter-95 | MAE=1.813 | MAPE=1.42%
13:56:38 |  Iter-96 | MAE=1.307 | MAPE=1.03%
14:00:17 |  Iter-97 | MAE=2.137 | MAPE=1.65%
14:07:53 |  Iter-98 | MAE=1.674 | MAPE=1.30%
14:10:02 |  Iter-99 | MAE=3.075 | MAPE=2.33%
14:12:19 |  Iter-100 | MAE=3.710 | MAPE=2.73%
14:12:19 | 
 OVERALL: MAE=3.172, MAPE=2.77%, R2=0.9665 (35708.6s)
14:12:19 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/Gated_TabNet/XANG_H1_seed9999/model_checkpoint.pth
14:12:19 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/Gated_TabNet/XANG_H1_seed9999/processor.pkl
