13:11:09 | ================================================================================
13:11:09 |  Informer | DAU | H1 | walkforward | seed=123
13:11:09 | ================================================================================
13:11:09 | Data: 4513 rows | Features: 16
13:20:17 |  Iter-01 | MAE=1.199 | MAPE=1.45%
13:27:43 |  Iter-02 | MAE=0.294 | MAPE=0.36%
13:35:22 |  Iter-03 | MAE=0.924 | MAPE=1.13%
13:39:25 |  Iter-04 | MAE=1.727 | MAPE=2.16%
13:45:39 |  Iter-05 | MAE=0.203 | MAPE=0.26%
13:52:16 |  Iter-06 | MAE=0.417 | MAPE=0.52%
13:59:12 |  Iter-07 | MAE=1.484 | MAPE=1.88%
14:05:55 |  Iter-08 | MAE=0.771 | MAPE=0.97%
14:13:51 |  Iter-09 | MAE=0.202 | MAPE=0.25%
14:20:47 |  Iter-10 | MAE=0.480 | MAPE=0.59%
14:27:50 |  Iter-11 | MAE=0.789 | MAPE=0.97%
14:33:54 |  Iter-12 | MAE=0.423 | MAPE=0.53%
14:41:04 |  Iter-13 | MAE=0.312 | MAPE=0.39%
14:49:12 |  Iter-14 | MAE=0.155 | MAPE=0.19%
14:55:23 |  Iter-15 | MAE=0.204 | MAPE=0.25%
15:03:11 |  Iter-16 | MAE=0.577 | MAPE=0.72%
15:09:35 |  Iter-17 | MAE=0.488 | MAPE=0.61%
15:15:13 |  Iter-18 | MAE=1.145 | MAPE=1.47%
15:21:31 |  Iter-19 | MAE=0.559 | MAPE=0.70%
15:27:28 |  Iter-20 | MAE=1.688 | MAPE=2.18%
15:33:33 |  Iter-21 | MAE=0.327 | MAPE=0.42%
15:39:38 |  Iter-22 | MAE=1.311 | MAPE=1.65%
15:44:44 |  Iter-23 | MAE=0.114 | MAPE=0.14%
15:51:14 |  Iter-24 | MAE=0.681 | MAPE=0.84%
16:00:04 |  Iter-25 | MAE=0.761 | MAPE=0.92%
16:06:23 |  Iter-26 | MAE=1.969 | MAPE=2.41%
16:19:28 |  Iter-27 | MAE=1.337 | MAPE=1.64%
16:25:15 |  Iter-28 | MAE=0.468 | MAPE=0.57%
16:32:20 |  Iter-29 | MAE=0.733 | MAPE=0.89%
16:38:00 |  Iter-30 | MAE=1.112 | MAPE=1.33%
16:43:39 |  Iter-31 | MAE=1.431 | MAPE=1.68%
16:52:15 |  Iter-32 | MAE=0.739 | MAPE=0.88%
16:59:30 |  Iter-33 | MAE=0.031 | MAPE=0.04%
