05:53:02 | ================================================================================
05:53:02 |  Informer | XANG | H1 | walkforward | seed=777
05:53:02 | ================================================================================
05:53:02 | Data: 4513 rows | Features: 15
05:57:00 |  Iter-01 | MAE=0.104 | MAPE=0.13%
06:00:09 |  Iter-02 | MAE=0.213 | MAPE=0.27%
06:03:50 |  Iter-03 | MAE=0.275 | MAPE=0.35%
06:06:45 |  Iter-04 | MAE=2.595 | MAPE=3.45%
06:09:40 |  Iter-05 | MAE=0.404 | MAPE=0.54%
06:13:38 |  Iter-06 | MAE=1.022 | MAPE=1.37%
06:17:24 |  Iter-07 | MAE=0.839 | MAPE=1.14%
06:20:26 |  Iter-08 | MAE=0.454 | MAPE=0.61%
06:24:41 |  Iter-09 | MAE=1.308 | MAPE=1.77%
06:27:53 |  Iter-10 | MAE=0.774 | MAPE=1.05%
06:31:45 |  Iter-11 | MAE=0.504 | MAPE=0.68%
06:35:09 |  Iter-12 | MAE=0.677 | MAPE=0.93%
06:37:48 |  Iter-13 | MAE=0.234 | MAPE=0.32%
06:41:31 |  Iter-14 | MAE=0.664 | MAPE=0.91%
06:45:59 |  Iter-15 | MAE=0.183 | MAPE=0.25%
06:49:14 |  Iter-16 | MAE=0.371 | MAPE=0.51%
06:53:04 |  Iter-17 | MAE=0.690 | MAPE=0.95%
06:56:58 |  Iter-18 | MAE=1.924 | MAPE=2.72%
06:59:38 |  Iter-19 | MAE=0.314 | MAPE=0.44%
07:03:21 |  Iter-20 | MAE=0.815 | MAPE=1.16%
07:07:24 |  Iter-21 | MAE=0.994 | MAPE=1.41%
07:11:16 |  Iter-22 | MAE=1.191 | MAPE=1.64%
07:15:29 |  Iter-23 | MAE=1.184 | MAPE=1.64%
07:18:44 |  Iter-24 | MAE=0.404 | MAPE=0.55%
07:22:30 |  Iter-25 | MAE=1.834 | MAPE=2.53%
07:25:09 |  Iter-26 | MAE=1.984 | MAPE=2.75%
07:28:27 |  Iter-27 | MAE=0.715 | MAPE=1.00%
07:33:15 |  Iter-28 | MAE=0.032 | MAPE=0.04%
07:36:26 |  Iter-29 | MAE=0.638 | MAPE=0.89%
07:39:33 |  Iter-30 | MAE=0.549 | MAPE=0.76%
07:43:23 |  Iter-31 | MAE=0.290 | MAPE=0.40%
07:48:05 |  Iter-32 | MAE=0.693 | MAPE=0.94%
07:52:16 |  Iter-33 | MAE=1.214 | MAPE=1.66%
07:56:10 |  Iter-34 | MAE=0.736 | MAPE=1.03%
08:01:43 |  Iter-35 | MAE=0.710 | MAPE=0.97%
08:04:48 |  Iter-36 | MAE=0.632 | MAPE=0.85%
08:08:00 |  Iter-37 | MAE=1.179 | MAPE=1.58%
08:10:57 |  Iter-38 | MAE=3.112 | MAPE=4.34%
08:13:46 |  Iter-39 | MAE=3.221 | MAPE=4.47%
08:19:08 |  Iter-40 | MAE=0.720 | MAPE=0.98%
08:22:24 |  Iter-41 | MAE=0.768 | MAPE=1.04%
08:26:45 |  Iter-42 | MAE=0.991 | MAPE=1.33%
08:30:59 |  Iter-43 | MAE=0.269 | MAPE=0.36%
08:36:27 |  Iter-44 | MAE=1.076 | MAPE=1.39%
08:39:50 |  Iter-45 | MAE=0.774 | MAPE=1.01%
08:42:34 |  Iter-46 | MAE=1.011 | MAPE=1.33%
08:45:47 |  Iter-47 | MAE=1.780 | MAPE=2.45%
08:48:36 |  Iter-48 | MAE=0.328 | MAPE=0.45%
08:52:35 |  Iter-49 | MAE=0.804 | MAPE=1.10%
08:56:11 |  Iter-50 | MAE=0.029 | MAPE=0.04%
08:59:19 |  Iter-51 | MAE=2.173 | MAPE=2.82%
09:02:54 |  Iter-52 | MAE=1.642 | MAPE=2.08%
09:07:04 |  Iter-53 | MAE=0.316 | MAPE=0.40%
09:11:09 |  Iter-54 | MAE=1.809 | MAPE=2.26%
09:14:02 |  Iter-55 | MAE=1.185 | MAPE=1.48%
09:17:19 |  Iter-56 | MAE=0.957 | MAPE=1.19%
09:20:26 |  Iter-57 | MAE=0.636 | MAPE=0.79%
09:23:56 |  Iter-58 | MAE=10.810 | MAPE=11.81%
09:26:38 |  Iter-59 | MAE=11.623 | MAPE=11.97%
09:29:56 |  Iter-60 | MAE=2.179 | MAPE=2.12%
09:33:15 |  Iter-61 | MAE=3.492 | MAPE=3.22%
09:34:54 |  Iter-62 | MAE=8.974 | MAPE=7.61%
09:37:12 |  Iter-63 | MAE=32.716 | MAPE=22.82%
09:40:23 |  Iter-64 | MAE=21.215 | MAPE=17.21%
09:42:05 |  Iter-65 | MAE=3.401 | MAPE=2.71%
09:43:44 |  Iter-66 | MAE=14.031 | MAPE=10.26%
09:45:43 |  Iter-67 | MAE=1.524 | MAPE=1.08%
09:48:43 |  Iter-68 | MAE=1.598 | MAPE=1.08%
09:50:37 |  Iter-69 | MAE=6.633 | MAPE=4.58%
09:52:18 |  Iter-70 | MAE=0.253 | MAPE=0.18%
09:54:40 |  Iter-71 | MAE=12.031 | MAPE=7.60%
09:57:03 |  Iter-72 | MAE=1.263 | MAPE=0.82%
09:58:47 |  Iter-73 | MAE=6.182 | MAPE=3.78%
