04:22:27 | ================================================================================
04:22:27 |  LTSF_Linear | DAU | H1 | walkforward | seed=2025
04:22:27 | ================================================================================
04:22:27 | Data: 4513 rows | Features: 16
04:35:11 |  Iter-01 | MAE=1.326 | MAPE=1.61%
04:51:16 |  Iter-02 | MAE=0.283 | MAPE=0.34%
04:57:38 |  Iter-03 | MAE=1.137 | MAPE=1.40%
05:12:01 |  Iter-04 | MAE=1.401 | MAPE=1.75%
05:18:30 |  Iter-05 | MAE=0.124 | MAPE=0.16%
05:24:17 |  Iter-06 | MAE=0.490 | MAPE=0.61%
05:35:10 |  Iter-07 | MAE=1.284 | MAPE=1.63%
05:46:32 |  Iter-08 | MAE=0.262 | MAPE=0.33%
05:53:33 |  Iter-09 | MAE=0.391 | MAPE=0.49%
05:59:33 |  Iter-10 | MAE=0.461 | MAPE=0.57%
06:08:00 |  Iter-11 | MAE=0.557 | MAPE=0.69%
06:15:53 |  Iter-12 | MAE=0.704 | MAPE=0.87%
06:23:38 |  Iter-13 | MAE=1.060 | MAPE=1.34%
06:40:01 |  Iter-14 | MAE=0.087 | MAPE=0.11%
06:45:58 |  Iter-15 | MAE=0.767 | MAPE=0.96%
06:52:54 |  Iter-16 | MAE=0.338 | MAPE=0.42%
06:58:46 |  Iter-17 | MAE=0.531 | MAPE=0.67%
07:15:01 |  Iter-18 | MAE=1.204 | MAPE=1.54%
07:22:09 |  Iter-19 | MAE=0.146 | MAPE=0.18%
07:31:18 |  Iter-20 | MAE=1.961 | MAPE=2.54%
07:37:11 |  Iter-21 | MAE=0.315 | MAPE=0.41%
07:42:55 |  Iter-22 | MAE=1.329 | MAPE=1.67%
07:51:35 |  Iter-23 | MAE=1.051 | MAPE=1.31%
07:57:46 |  Iter-24 | MAE=0.845 | MAPE=1.04%
08:08:29 |  Iter-25 | MAE=0.466 | MAPE=0.57%
08:17:16 |  Iter-26 | MAE=1.511 | MAPE=1.85%
08:24:06 |  Iter-27 | MAE=1.044 | MAPE=1.28%
08:29:44 |  Iter-28 | MAE=0.125 | MAPE=0.15%
08:35:23 |  Iter-29 | MAE=0.439 | MAPE=0.53%
08:43:30 |  Iter-30 | MAE=0.604 | MAPE=0.72%
08:53:29 |  Iter-31 | MAE=1.971 | MAPE=2.31%
09:02:50 |  Iter-32 | MAE=0.608 | MAPE=0.72%
09:10:27 |  Iter-33 | MAE=0.511 | MAPE=0.60%
09:18:39 |  Iter-34 | MAE=1.319 | MAPE=1.57%
09:28:19 |  Iter-35 | MAE=0.800 | MAPE=0.92%
09:35:49 |  Iter-36 | MAE=1.634 | MAPE=1.85%
09:55:13 |  Iter-37 | MAE=0.445 | MAPE=0.50%
10:06:13 |  Iter-38 | MAE=2.359 | MAPE=2.71%
10:11:47 |  Iter-39 | MAE=1.475 | MAPE=1.71%
10:18:24 |  Iter-40 | MAE=1.708 | MAPE=1.95%
10:28:02 |  Iter-41 | MAE=0.198 | MAPE=0.23%
10:50:15 |  Iter-42 | MAE=1.840 | MAPE=2.07%
10:55:47 |  Iter-43 | MAE=1.565 | MAPE=1.79%
11:14:09 |  Iter-44 | MAE=0.347 | MAPE=0.39%
11:19:58 |  Iter-45 | MAE=1.247 | MAPE=1.40%
