01:54:37 | ================================================================================
01:54:37 |  LTSF_Linear | XANG | H1 | walkforward | seed=777
01:54:37 | ================================================================================
01:54:37 | Data: 4513 rows | Features: 15
02:05:03 |  Iter-01 | MAE=0.216 | MAPE=0.28%
02:15:19 |  Iter-02 | MAE=0.243 | MAPE=0.31%
02:25:40 |  Iter-03 | MAE=0.299 | MAPE=0.38%
02:35:56 |  Iter-04 | MAE=2.559 | MAPE=3.40%
02:46:13 |  Iter-05 | MAE=0.427 | MAPE=0.57%
02:56:29 |  Iter-06 | MAE=0.564 | MAPE=0.76%
03:06:56 |  Iter-07 | MAE=1.119 | MAPE=1.52%
03:17:13 |  Iter-08 | MAE=0.442 | MAPE=0.60%
03:27:29 |  Iter-09 | MAE=1.158 | MAPE=1.57%
03:37:46 |  Iter-10 | MAE=0.849 | MAPE=1.15%
03:48:03 |  Iter-11 | MAE=0.326 | MAPE=0.44%
03:58:19 |  Iter-12 | MAE=0.665 | MAPE=0.91%
04:05:24 |  Iter-13 | MAE=0.704 | MAPE=0.97%
04:13:33 |  Iter-14 | MAE=0.221 | MAPE=0.31%
04:23:53 |  Iter-15 | MAE=0.271 | MAPE=0.37%
04:34:10 |  Iter-16 | MAE=0.463 | MAPE=0.64%
04:44:28 |  Iter-17 | MAE=0.541 | MAPE=0.75%
04:54:43 |  Iter-18 | MAE=1.462 | MAPE=2.07%
05:05:01 |  Iter-19 | MAE=0.135 | MAPE=0.19%
05:15:16 |  Iter-20 | MAE=0.809 | MAPE=1.15%
05:25:32 |  Iter-21 | MAE=1.124 | MAPE=1.59%
05:35:49 |  Iter-22 | MAE=0.624 | MAPE=0.86%
05:45:33 |  Iter-23 | MAE=1.049 | MAPE=1.45%
05:53:23 |  Iter-24 | MAE=0.235 | MAPE=0.32%
06:01:43 |  Iter-25 | MAE=1.513 | MAPE=2.09%
06:12:08 |  Iter-26 | MAE=1.817 | MAPE=2.52%
06:22:46 |  Iter-27 | MAE=0.387 | MAPE=0.54%
06:33:17 |  Iter-28 | MAE=0.325 | MAPE=0.46%
06:43:55 |  Iter-29 | MAE=0.691 | MAPE=0.96%
06:54:25 |  Iter-30 | MAE=0.318 | MAPE=0.44%
07:04:43 |  Iter-31 | MAE=0.501 | MAPE=0.69%
07:15:37 |  Iter-32 | MAE=0.668 | MAPE=0.93%
07:24:23 |  Iter-33 | MAE=0.944 | MAPE=1.29%
07:34:42 |  Iter-34 | MAE=1.206 | MAPE=1.69%
07:45:17 |  Iter-35 | MAE=0.467 | MAPE=0.64%
07:56:00 |  Iter-36 | MAE=0.746 | MAPE=1.00%
08:06:33 |  Iter-37 | MAE=0.930 | MAPE=1.25%
08:16:39 |  Iter-38 | MAE=3.396 | MAPE=4.73%
08:27:23 |  Iter-39 | MAE=2.209 | MAPE=3.07%
