01:54:38 | ================================================================================
01:54:38 |  LTSF_Linear | XANG | H1 | walkforward | seed=9999
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:54:38 | ================================================================================
01:54:38 |  LTSF_Linear | XANG | H1 | walkforward | seed=2025
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
02:05:04 |  Iter-01 | MAE=0.212 | MAPE=0.27%
02:06:11 |  Iter-01 | MAE=0.211 | MAPE=0.27%
02:15:18 |  Iter-02 | MAE=0.267 | MAPE=0.34%
02:17:11 |  Iter-02 | MAE=0.214 | MAPE=0.28%
02:25:35 |  Iter-03 | MAE=0.304 | MAPE=0.39%
02:28:53 |  Iter-03 | MAE=0.287 | MAPE=0.37%
02:35:49 |  Iter-04 | MAE=2.477 | MAPE=3.30%
02:40:13 |  Iter-04 | MAE=2.517 | MAPE=3.35%
02:46:03 |  Iter-05 | MAE=0.411 | MAPE=0.55%
02:50:46 |  Iter-05 | MAE=0.418 | MAPE=0.56%
02:56:15 |  Iter-06 | MAE=0.511 | MAPE=0.69%
03:01:54 |  Iter-06 | MAE=0.572 | MAPE=0.77%
03:06:39 |  Iter-07 | MAE=1.143 | MAPE=1.56%
03:13:33 |  Iter-07 | MAE=1.135 | MAPE=1.55%
03:16:54 |  Iter-08 | MAE=0.441 | MAPE=0.60%
03:25:12 |  Iter-08 | MAE=0.438 | MAPE=0.59%
03:25:57 |  Iter-09 | MAE=1.041 | MAPE=1.41%
03:36:10 |  Iter-10 | MAE=0.859 | MAPE=1.16%
03:36:12 |  Iter-09 | MAE=1.107 | MAPE=1.50%
03:46:24 |  Iter-11 | MAE=0.298 | MAPE=0.40%
03:47:43 |  Iter-10 | MAE=0.863 | MAPE=1.17%
03:55:58 |  Iter-12 | MAE=0.651 | MAPE=0.89%
03:59:07 |  Iter-11 | MAE=0.323 | MAPE=0.44%
04:06:11 |  Iter-13 | MAE=0.659 | MAPE=0.91%
04:10:16 |  Iter-12 | MAE=0.621 | MAPE=0.85%
04:16:28 |  Iter-14 | MAE=0.189 | MAPE=0.26%
04:21:44 |  Iter-13 | MAE=0.734 | MAPE=1.01%
04:26:45 |  Iter-15 | MAE=0.251 | MAPE=0.35%
04:33:27 |  Iter-14 | MAE=0.182 | MAPE=0.25%
04:36:59 |  Iter-16 | MAE=0.440 | MAPE=0.60%
04:44:17 |  Iter-15 | MAE=0.251 | MAPE=0.34%
04:47:13 |  Iter-17 | MAE=0.536 | MAPE=0.74%
04:55:16 |  Iter-16 | MAE=0.462 | MAPE=0.64%
04:56:47 |  Iter-18 | MAE=1.418 | MAPE=2.00%
05:04:52 |  Iter-17 | MAE=0.569 | MAPE=0.78%
05:07:01 |  Iter-19 | MAE=0.150 | MAPE=0.21%
05:14:31 |  Iter-20 | MAE=0.783 | MAPE=1.12%
05:16:10 |  Iter-18 | MAE=1.440 | MAPE=2.04%
05:24:44 |  Iter-21 | MAE=1.117 | MAPE=1.58%
05:26:49 |  Iter-19 | MAE=0.126 | MAPE=0.17%
05:35:01 |  Iter-22 | MAE=0.655 | MAPE=0.90%
05:38:01 |  Iter-20 | MAE=0.762 | MAPE=1.09%
05:45:17 |  Iter-23 | MAE=0.989 | MAPE=1.37%
05:49:00 |  Iter-21 | MAE=1.110 | MAPE=1.57%
05:55:46 |  Iter-24 | MAE=0.246 | MAPE=0.34%
06:00:47 |  Iter-22 | MAE=0.635 | MAPE=0.88%
06:02:49 |  Iter-25 | MAE=1.544 | MAPE=2.13%
06:10:30 |  Iter-26 | MAE=1.765 | MAPE=2.45%
06:12:44 |  Iter-23 | MAE=1.045 | MAPE=1.45%
06:20:59 |  Iter-27 | MAE=0.336 | MAPE=0.47%
06:22:07 |  Iter-24 | MAE=0.233 | MAPE=0.32%
06:31:29 |  Iter-28 | MAE=0.318 | MAPE=0.45%
06:33:57 |  Iter-25 | MAE=1.538 | MAPE=2.12%
06:41:51 |  Iter-29 | MAE=0.665 | MAPE=0.93%
06:45:44 |  Iter-26 | MAE=1.833 | MAPE=2.55%
06:51:07 |  Iter-30 | MAE=0.391 | MAPE=0.54%
06:57:04 |  Iter-27 | MAE=0.371 | MAPE=0.52%
07:00:57 |  Iter-31 | MAE=0.489 | MAPE=0.67%
07:08:44 |  Iter-28 | MAE=0.367 | MAPE=0.52%
07:11:19 |  Iter-32 | MAE=0.667 | MAPE=0.92%
07:17:49 |  Iter-29 | MAE=0.622 | MAPE=0.87%
07:22:25 |  Iter-33 | MAE=1.032 | MAPE=1.41%
07:29:47 |  Iter-30 | MAE=0.306 | MAPE=0.42%
