00:50:31 | ================================================================================
00:50:31 |  Lag_Llama | DAU | H1 | walkforward | seed=777
00:50:31 | ================================================================================
00:50:31 | Data: 4513 rows | Features: 16
00:56:52 |  Iter-01 | MAE=0.924 | MAPE=1.12%
01:04:07 |  Iter-02 | MAE=0.554 | MAPE=0.67%
01:09:18 |  Iter-03 | MAE=1.294 | MAPE=1.59%
01:14:43 |  Iter-04 | MAE=1.366 | MAPE=1.71%
01:19:22 |  Iter-05 | MAE=0.097 | MAPE=0.12%
01:26:04 |  Iter-06 | MAE=0.379 | MAPE=0.47%
01:30:37 |  Iter-07 | MAE=1.163 | MAPE=1.48%
01:34:37 |  Iter-08 | MAE=0.050 | MAPE=0.06%
01:39:16 |  Iter-09 | MAE=0.529 | MAPE=0.66%
01:46:11 |  Iter-10 | MAE=0.802 | MAPE=0.99%
01:51:15 |  Iter-11 | MAE=0.503 | MAPE=0.62%
01:55:35 |  Iter-12 | MAE=0.426 | MAPE=0.53%
02:00:27 |  Iter-13 | MAE=0.552 | MAPE=0.70%
02:04:40 |  Iter-14 | MAE=0.346 | MAPE=0.43%
02:08:40 |  Iter-15 | MAE=0.802 | MAPE=1.00%
02:12:40 |  Iter-16 | MAE=0.399 | MAPE=0.50%
02:18:56 |  Iter-17 | MAE=0.872 | MAPE=1.10%
02:23:10 |  Iter-18 | MAE=0.835 | MAPE=1.07%
02:28:40 |  Iter-19 | MAE=0.149 | MAPE=0.19%
02:34:30 |  Iter-20 | MAE=2.219 | MAPE=2.87%
02:39:22 |  Iter-21 | MAE=0.424 | MAPE=0.55%
02:44:01 |  Iter-22 | MAE=1.542 | MAPE=1.94%
02:48:27 |  Iter-23 | MAE=1.012 | MAPE=1.27%
02:52:46 |  Iter-24 | MAE=0.725 | MAPE=0.89%
02:58:11 |  Iter-25 | MAE=0.193 | MAPE=0.23%
03:02:24 |  Iter-26 | MAE=1.696 | MAPE=2.07%
03:07:35 |  Iter-27 | MAE=2.376 | MAPE=2.91%
03:11:55 |  Iter-28 | MAE=1.063 | MAPE=1.30%
03:16:14 |  Iter-29 | MAE=0.686 | MAPE=0.83%
03:19:55 |  Iter-30 | MAE=1.030 | MAPE=1.23%
03:24:47 |  Iter-31 | MAE=1.742 | MAPE=2.04%
03:28:40 |  Iter-32 | MAE=0.103 | MAPE=0.12%
03:32:47 |  Iter-33 | MAE=0.176 | MAPE=0.21%
03:36:53 |  Iter-34 | MAE=1.611 | MAPE=1.92%
03:42:43 |  Iter-35 | MAE=0.354 | MAPE=0.41%
03:47:03 |  Iter-36 | MAE=1.666 | MAPE=1.88%
03:51:42 |  Iter-37 | MAE=1.207 | MAPE=1.36%
03:55:36 |  Iter-38 | MAE=2.487 | MAPE=2.86%
04:00:29 |  Iter-39 | MAE=1.325 | MAPE=1.54%
04:04:29 |  Iter-40 | MAE=2.364 | MAPE=2.70%
04:09:47 |  Iter-41 | MAE=0.030 | MAPE=0.03%
04:13:53 |  Iter-42 | MAE=1.772 | MAPE=2.00%
04:18:19 |  Iter-43 | MAE=1.670 | MAPE=1.91%
04:22:56 |  Iter-44 | MAE=0.979 | MAPE=1.11%
04:28:25 |  Iter-45 | MAE=1.303 | MAPE=1.46%
04:34:00 |  Iter-46 | MAE=0.755 | MAPE=0.85%
04:38:56 |  Iter-47 | MAE=0.583 | MAPE=0.67%
04:44:12 |  Iter-48 | MAE=0.552 | MAPE=0.64%
04:49:16 |  Iter-49 | MAE=0.255 | MAPE=0.29%
04:54:18 |  Iter-50 | MAE=0.793 | MAPE=0.92%
04:59:01 |  Iter-51 | MAE=3.847 | MAPE=4.21%
05:03:11 |  Iter-52 | MAE=0.801 | MAPE=0.86%
05:08:46 |  Iter-53 | MAE=1.288 | MAPE=1.41%
05:13:36 |  Iter-54 | MAE=0.953 | MAPE=1.03%
05:18:59 |  Iter-55 | MAE=0.046 | MAPE=0.05%
05:23:03 |  Iter-56 | MAE=1.197 | MAPE=1.30%
05:27:26 |  Iter-57 | MAE=0.041 | MAPE=0.04%
05:31:16 |  Iter-58 | MAE=22.898 | MAPE=19.94%
05:37:11 |  Iter-59 | MAE=10.070 | MAPE=8.02%
05:45:31 |  Iter-60 | MAE=10.586 | MAPE=7.39%
05:54:10 |  Iter-61 | MAE=14.676 | MAPE=9.61%
05:58:32 |  Iter-62 | MAE=11.217 | MAPE=7.22%
06:09:41 |  Iter-63 | MAE=34.204 | MAPE=18.49%
06:13:31 |  Iter-64 | MAE=30.378 | MAPE=18.88%
06:17:27 |  Iter-65 | MAE=8.274 | MAPE=5.04%
06:25:26 |  Iter-66 | MAE=42.919 | MAPE=22.12%
06:29:48 |  Iter-67 | MAE=9.853 | MAPE=5.13%
06:33:31 |  Iter-68 | MAE=5.023 | MAPE=2.64%
06:37:16 |  Iter-69 | MAE=17.424 | MAPE=8.81%
06:41:14 |  Iter-70 | MAE=8.848 | MAPE=4.46%
06:44:59 |  Iter-71 | MAE=15.131 | MAPE=6.75%
06:48:37 |  Iter-72 | MAE=8.964 | MAPE=4.03%
06:55:57 |  Iter-73 | MAE=15.449 | MAPE=6.37%
07:01:11 |  Iter-74 | MAE=3.200 | MAPE=1.46%
07:05:32 |  Iter-75 | MAE=23.586 | MAPE=11.50%
07:10:13 |  Iter-76 | MAE=8.579 | MAPE=3.97%
07:14:15 |  Iter-77 | MAE=12.669 | MAPE=5.34%
07:18:23 |  Iter-78 | MAE=3.059 | MAPE=1.22%
07:22:38 |  Iter-79 | MAE=12.762 | MAPE=5.35%
07:27:25 |  Iter-80 | MAE=3.396 | MAPE=1.38%
07:31:40 |  Iter-81 | MAE=46.297 | MAPE=15.84%
07:36:33 |  Iter-82 | MAE=28.694 | MAPE=10.72%
07:41:21 |  Iter-83 | MAE=30.411 | MAPE=12.52%
07:45:10 |  Iter-84 | MAE=56.918 | MAPE=29.81%
07:50:16 |  Iter-85 | MAE=6.681 | MAPE=3.23%
07:55:17 |  Iter-86 | MAE=7.366 | MAPE=3.80%
07:58:53 |  Iter-87 | MAE=0.734 | MAPE=0.37%
08:02:35 |  Iter-88 | MAE=15.234 | MAPE=8.44%
08:06:18 |  Iter-89 | MAE=12.445 | MAPE=7.51%
08:09:54 |  Iter-90 | MAE=2.217 | MAPE=1.36%
08:16:20 |  Iter-91 | MAE=4.761 | MAPE=2.91%
08:21:28 |  Iter-92 | MAE=7.030 | MAPE=4.76%
08:26:01 |  Iter-93 | MAE=8.318 | MAPE=5.70%
08:29:43 |  Iter-94 | MAE=10.854 | MAPE=6.78%
08:35:21 |  Iter-95 | MAE=1.040 | MAPE=0.63%
08:39:42 |  Iter-96 | MAE=3.385 | MAPE=2.04%
08:44:16 |  Iter-97 | MAE=1.659 | MAPE=0.99%
08:49:28 |  Iter-98 | MAE=5.458 | MAPE=3.41%
08:53:49 |  Iter-99 | MAE=0.331 | MAPE=0.20%
08:57:30 |  Iter-100 | MAE=6.878 | MAPE=4.00%
08:57:30 | 
