00:15:08 | ================================================================================
00:15:08 |  Lag_Llama | XANG | H1 | walkforward | seed=123
00:15:08 | ================================================================================
00:15:08 | Data: 4513 rows | Features: 15
00:17:34 |  Iter-01 | MAE=0.114 | MAPE=0.14%
00:20:26 |  Iter-02 | MAE=0.215 | MAPE=0.27%
00:22:41 |  Iter-03 | MAE=0.517 | MAPE=0.66%
00:25:26 |  Iter-04 | MAE=2.617 | MAPE=3.48%
00:29:02 |  Iter-05 | MAE=0.432 | MAPE=0.58%
00:31:26 |  Iter-06 | MAE=0.857 | MAPE=1.15%
00:34:35 |  Iter-07 | MAE=1.415 | MAPE=1.93%
00:37:08 |  Iter-08 | MAE=0.461 | MAPE=0.63%
00:40:24 |  Iter-09 | MAE=1.134 | MAPE=1.53%
00:43:07 |  Iter-10 | MAE=0.831 | MAPE=1.13%
00:47:06 |  Iter-11 | MAE=0.353 | MAPE=0.48%
00:49:50 |  Iter-12 | MAE=0.651 | MAPE=0.89%
00:52:41 |  Iter-13 | MAE=0.603 | MAPE=0.83%
00:55:53 |  Iter-14 | MAE=0.314 | MAPE=0.43%
00:58:21 |  Iter-15 | MAE=0.352 | MAPE=0.48%
01:01:12 |  Iter-16 | MAE=0.609 | MAPE=0.84%
01:03:23 |  Iter-17 | MAE=0.677 | MAPE=0.93%
01:05:40 |  Iter-18 | MAE=1.132 | MAPE=1.60%
01:08:03 |  Iter-19 | MAE=0.119 | MAPE=0.16%
01:10:24 |  Iter-20 | MAE=1.503 | MAPE=2.14%
01:12:50 |  Iter-21 | MAE=0.451 | MAPE=0.64%
01:15:17 |  Iter-22 | MAE=0.273 | MAPE=0.38%
01:17:38 |  Iter-23 | MAE=1.679 | MAPE=2.32%
01:20:11 |  Iter-24 | MAE=0.638 | MAPE=0.88%
01:23:28 |  Iter-25 | MAE=0.869 | MAPE=1.20%
01:26:55 |  Iter-26 | MAE=1.828 | MAPE=2.54%
01:30:28 |  Iter-27 | MAE=1.097 | MAPE=1.54%
01:32:55 |  Iter-28 | MAE=0.045 | MAPE=0.06%
01:36:10 |  Iter-29 | MAE=0.257 | MAPE=0.36%
01:39:10 |  Iter-30 | MAE=0.394 | MAPE=0.54%
01:42:15 |  Iter-31 | MAE=0.543 | MAPE=0.74%
01:45:37 |  Iter-32 | MAE=0.675 | MAPE=0.93%
01:49:22 |  Iter-33 | MAE=0.226 | MAPE=0.31%
01:51:46 |  Iter-34 | MAE=1.279 | MAPE=1.79%
01:54:37 |  Iter-35 | MAE=1.794 | MAPE=2.44%
01:57:08 |  Iter-36 | MAE=0.890 | MAPE=1.19%
01:59:51 |  Iter-37 | MAE=1.737 | MAPE=2.33%
02:02:04 |  Iter-38 | MAE=3.097 | MAPE=4.32%
02:04:51 |  Iter-39 | MAE=2.329 | MAPE=3.23%
02:07:02 |  Iter-40 | MAE=1.795 | MAPE=2.43%
02:09:28 |  Iter-41 | MAE=0.324 | MAPE=0.44%
02:12:06 |  Iter-42 | MAE=0.444 | MAPE=0.60%
02:14:44 |  Iter-43 | MAE=0.807 | MAPE=1.07%
02:18:05 |  Iter-44 | MAE=0.858 | MAPE=1.11%
02:20:30 |  Iter-45 | MAE=0.786 | MAPE=1.03%
02:23:37 |  Iter-46 | MAE=1.513 | MAPE=1.99%
02:26:41 |  Iter-47 | MAE=2.589 | MAPE=3.56%
02:28:53 |  Iter-48 | MAE=0.112 | MAPE=0.15%
02:31:42 |  Iter-49 | MAE=0.739 | MAPE=1.02%
02:34:52 |  Iter-50 | MAE=0.599 | MAPE=0.82%
02:37:51 |  Iter-51 | MAE=3.133 | MAPE=4.06%
02:41:36 |  Iter-52 | MAE=1.055 | MAPE=1.34%
02:44:00 |  Iter-53 | MAE=0.560 | MAPE=0.71%
02:46:51 |  Iter-54 | MAE=2.586 | MAPE=3.23%
02:49:03 |  Iter-55 | MAE=0.942 | MAPE=1.17%
02:51:39 |  Iter-56 | MAE=0.720 | MAPE=0.90%
02:55:46 |  Iter-57 | MAE=0.375 | MAPE=0.46%
02:58:19 |  Iter-58 | MAE=10.986 | MAPE=12.00%
03:02:31 |  Iter-59 | MAE=6.626 | MAPE=6.82%
03:06:39 |  Iter-60 | MAE=4.514 | MAPE=4.41%
03:09:09 |  Iter-61 | MAE=18.034 | MAPE=16.61%
03:11:20 |  Iter-62 | MAE=4.643 | MAPE=3.91%
03:13:17 |  Iter-63 | MAE=22.315 | MAPE=15.58%
03:16:10 |  Iter-64 | MAE=36.071 | MAPE=29.29%
03:18:07 |  Iter-65 | MAE=2.532 | MAPE=2.11%
03:20:29 |  Iter-66 | MAE=12.456 | MAPE=9.13%
03:22:43 |  Iter-67 | MAE=4.217 | MAPE=2.96%
03:26:03 |  Iter-68 | MAE=4.103 | MAPE=2.81%
03:28:27 |  Iter-69 | MAE=14.455 | MAPE=9.94%
03:30:32 |  Iter-70 | MAE=4.114 | MAPE=2.81%
03:32:26 |  Iter-71 | MAE=1.193 | MAPE=0.77%
03:34:28 |  Iter-72 | MAE=3.388 | MAPE=2.15%
03:36:34 |  Iter-73 | MAE=1.130 | MAPE=0.69%
03:38:27 |  Iter-74 | MAE=20.420 | MAPE=14.13%
03:40:46 |  Iter-75 | MAE=16.934 | MAPE=12.71%
03:42:54 |  Iter-76 | MAE=4.140 | MAPE=3.19%
03:45:35 |  Iter-77 | MAE=4.165 | MAPE=3.14%
03:47:26 |  Iter-78 | MAE=10.374 | MAPE=7.22%
03:51:35 |  Iter-79 | MAE=2.103 | MAPE=1.48%
03:53:30 |  Iter-80 | MAE=1.667 | MAPE=1.19%
03:56:59 |  Iter-81 | MAE=12.256 | MAPE=8.28%
03:59:30 |  Iter-82 | MAE=7.925 | MAPE=5.44%
04:02:29 |  Iter-83 | MAE=1.060 | MAPE=0.74%
04:04:35 |  Iter-84 | MAE=23.837 | MAPE=19.42%
04:08:01 |  Iter-85 | MAE=10.009 | MAPE=7.54%
04:10:38 |  Iter-86 | MAE=1.953 | MAPE=1.51%
04:12:49 |  Iter-87 | MAE=0.706 | MAPE=0.55%
04:15:04 |  Iter-88 | MAE=7.127 | MAPE=5.62%
04:17:12 |  Iter-89 | MAE=3.042 | MAPE=2.50%
04:19:07 |  Iter-90 | MAE=2.470 | MAPE=2.03%
04:21:16 |  Iter-91 | MAE=3.123 | MAPE=2.45%
04:23:05 |  Iter-92 | MAE=3.906 | MAPE=3.21%
04:25:21 |  Iter-93 | MAE=2.471 | MAPE=2.04%
04:27:18 |  Iter-94 | MAE=4.550 | MAPE=3.60%
04:29:39 |  Iter-95 | MAE=0.259 | MAPE=0.20%
04:31:37 |  Iter-96 | MAE=1.129 | MAPE=0.88%
04:33:42 |  Iter-97 | MAE=2.047 | MAPE=1.58%
04:35:46 |  Iter-98 | MAE=0.903 | MAPE=0.70%
04:37:40 |  Iter-99 | MAE=2.621 | MAPE=1.99%
