12:49:41 | ================================================================================
12:49:41 |  MambaFormer | DAU | H1 | walkforward | seed=123
12:49:41 | ================================================================================
12:49:42 | Data: 4513 rows | Features: 16
12:56:13 |  Iter-01 | MAE=1.331 | MAPE=1.61%
13:01:30 |  Iter-02 | MAE=0.221 | MAPE=0.27%
13:06:21 |  Iter-03 | MAE=1.030 | MAPE=1.26%
13:12:45 |  Iter-04 | MAE=1.101 | MAPE=1.38%
13:19:57 |  Iter-05 | MAE=0.533 | MAPE=0.67%
13:28:51 |  Iter-06 | MAE=0.285 | MAPE=0.36%
13:34:42 |  Iter-07 | MAE=1.273 | MAPE=1.61%
13:41:14 |  Iter-08 | MAE=0.425 | MAPE=0.54%
13:46:58 |  Iter-09 | MAE=0.330 | MAPE=0.41%
13:53:45 |  Iter-10 | MAE=0.374 | MAPE=0.46%
14:01:54 |  Iter-11 | MAE=0.554 | MAPE=0.68%
14:07:36 |  Iter-12 | MAE=0.577 | MAPE=0.72%
14:13:27 |  Iter-13 | MAE=0.764 | MAPE=0.96%
14:22:42 |  Iter-14 | MAE=0.370 | MAPE=0.46%
14:28:28 |  Iter-15 | MAE=0.836 | MAPE=1.04%
14:36:26 |  Iter-16 | MAE=0.486 | MAPE=0.61%
14:43:38 |  Iter-17 | MAE=0.430 | MAPE=0.54%
14:51:33 |  Iter-18 | MAE=1.376 | MAPE=1.76%
14:56:40 |  Iter-19 | MAE=0.095 | MAPE=0.12%
15:03:25 |  Iter-20 | MAE=1.912 | MAPE=2.47%
15:08:35 |  Iter-21 | MAE=0.450 | MAPE=0.58%
15:15:06 |  Iter-22 | MAE=1.447 | MAPE=1.82%
15:21:06 |  Iter-23 | MAE=0.836 | MAPE=1.05%
15:27:39 |  Iter-24 | MAE=1.201 | MAPE=1.48%
15:33:47 |  Iter-25 | MAE=0.324 | MAPE=0.39%
15:40:17 |  Iter-26 | MAE=2.135 | MAPE=2.61%
15:46:32 |  Iter-27 | MAE=1.207 | MAPE=1.48%
15:52:46 |  Iter-28 | MAE=0.516 | MAPE=0.63%
15:57:28 |  Iter-29 | MAE=0.574 | MAPE=0.70%
16:02:50 |  Iter-30 | MAE=1.115 | MAPE=1.33%
16:08:52 |  Iter-31 | MAE=1.723 | MAPE=2.02%
16:14:07 |  Iter-32 | MAE=0.963 | MAPE=1.14%
16:19:27 |  Iter-33 | MAE=0.908 | MAPE=1.06%
16:24:23 |  Iter-34 | MAE=1.054 | MAPE=1.25%
16:31:11 |  Iter-35 | MAE=2.116 | MAPE=2.44%
16:39:00 |  Iter-36 | MAE=0.910 | MAPE=1.03%
16:44:02 |  Iter-37 | MAE=0.389 | MAPE=0.44%
16:50:12 |  Iter-38 | MAE=2.522 | MAPE=2.90%
16:55:38 |  Iter-39 | MAE=1.787 | MAPE=2.07%
17:00:06 |  Iter-40 | MAE=0.699 | MAPE=0.80%
17:06:23 |  Iter-41 | MAE=0.339 | MAPE=0.39%
17:11:37 |  Iter-42 | MAE=1.583 | MAPE=1.78%
17:16:10 |  Iter-43 | MAE=1.491 | MAPE=1.71%
17:21:22 |  Iter-44 | MAE=0.322 | MAPE=0.37%
17:28:25 |  Iter-45 | MAE=0.098 | MAPE=0.11%
17:32:44 |  Iter-46 | MAE=0.115 | MAPE=0.13%
17:38:46 |  Iter-47 | MAE=0.814 | MAPE=0.94%
17:45:15 |  Iter-48 | MAE=0.573 | MAPE=0.66%
17:51:29 |  Iter-49 | MAE=0.697 | MAPE=0.81%
17:55:51 |  Iter-50 | MAE=0.789 | MAPE=0.91%
18:02:39 |  Iter-51 | MAE=3.062 | MAPE=3.35%
18:09:21 |  Iter-52 | MAE=0.426 | MAPE=0.46%
18:13:43 |  Iter-53 | MAE=0.786 | MAPE=0.86%
18:19:44 |  Iter-54 | MAE=1.105 | MAPE=1.20%
18:26:51 |  Iter-55 | MAE=1.062 | MAPE=1.15%
18:32:08 |  Iter-56 | MAE=0.943 | MAPE=1.02%
18:37:04 |  Iter-57 | MAE=0.175 | MAPE=0.19%
