18:51:46 | ================================================================================
18:51:46 |  MambaFormer | XANG | H1 | walkforward | seed=123
18:51:46 | ================================================================================
18:51:46 | Data: 4513 rows | Features: 15
18:54:31 |  Iter-01 | MAE=0.171 | MAPE=0.22%
19:00:11 |  Iter-02 | MAE=0.423 | MAPE=0.54%
19:04:37 |  Iter-03 | MAE=0.275 | MAPE=0.35%
19:09:46 |  Iter-04 | MAE=1.944 | MAPE=2.59%
19:13:35 |  Iter-05 | MAE=0.405 | MAPE=0.54%
19:16:31 |  Iter-06 | MAE=0.739 | MAPE=0.99%
19:19:37 |  Iter-07 | MAE=1.148 | MAPE=1.56%
19:23:35 |  Iter-08 | MAE=0.435 | MAPE=0.59%
19:27:20 |  Iter-09 | MAE=0.977 | MAPE=1.32%
19:32:55 |  Iter-10 | MAE=0.770 | MAPE=1.04%
19:37:17 |  Iter-11 | MAE=0.225 | MAPE=0.30%
19:41:25 |  Iter-12 | MAE=0.612 | MAPE=0.84%
19:45:39 |  Iter-13 | MAE=0.865 | MAPE=1.19%
19:49:39 |  Iter-14 | MAE=0.146 | MAPE=0.20%
19:52:56 |  Iter-15 | MAE=0.190 | MAPE=0.26%
19:56:53 |  Iter-16 | MAE=0.437 | MAPE=0.60%
20:00:32 |  Iter-17 | MAE=0.551 | MAPE=0.76%
20:05:11 |  Iter-18 | MAE=1.596 | MAPE=2.25%
20:10:24 |  Iter-19 | MAE=0.200 | MAPE=0.28%
20:15:29 |  Iter-20 | MAE=0.731 | MAPE=1.04%
20:18:47 |  Iter-21 | MAE=0.986 | MAPE=1.40%
20:21:49 |  Iter-22 | MAE=0.691 | MAPE=0.95%
20:24:57 |  Iter-23 | MAE=1.389 | MAPE=1.92%
20:29:45 |  Iter-24 | MAE=0.397 | MAPE=0.54%
20:34:58 |  Iter-25 | MAE=2.013 | MAPE=2.78%
20:38:10 |  Iter-26 | MAE=1.985 | MAPE=2.76%
20:41:50 |  Iter-27 | MAE=0.123 | MAPE=0.17%
20:46:30 |  Iter-28 | MAE=0.424 | MAPE=0.59%
20:49:29 |  Iter-29 | MAE=0.528 | MAPE=0.74%
20:52:42 |  Iter-30 | MAE=0.233 | MAPE=0.32%
20:57:12 |  Iter-31 | MAE=0.673 | MAPE=0.92%
21:01:26 |  Iter-32 | MAE=0.647 | MAPE=0.90%
21:06:22 |  Iter-33 | MAE=0.399 | MAPE=0.54%
21:09:40 |  Iter-34 | MAE=0.973 | MAPE=1.36%
21:13:58 |  Iter-35 | MAE=0.268 | MAPE=0.37%
21:17:59 |  Iter-36 | MAE=0.371 | MAPE=0.50%
21:21:01 |  Iter-37 | MAE=1.292 | MAPE=1.74%
21:25:33 |  Iter-38 | MAE=3.178 | MAPE=4.43%
21:30:12 |  Iter-39 | MAE=2.171 | MAPE=3.02%
21:33:18 |  Iter-40 | MAE=1.028 | MAPE=1.39%
21:38:19 |  Iter-41 | MAE=0.573 | MAPE=0.77%
21:40:57 |  Iter-42 | MAE=0.410 | MAPE=0.55%
21:44:32 |  Iter-43 | MAE=1.229 | MAPE=1.62%
21:48:25 |  Iter-44 | MAE=0.981 | MAPE=1.26%
21:51:55 |  Iter-45 | MAE=0.581 | MAPE=0.76%
21:56:22 |  Iter-46 | MAE=1.060 | MAPE=1.40%
22:01:43 |  Iter-47 | MAE=2.291 | MAPE=3.15%
22:05:43 |  Iter-48 | MAE=0.236 | MAPE=0.32%
22:09:44 |  Iter-49 | MAE=0.438 | MAPE=0.60%
22:12:45 |  Iter-50 | MAE=0.921 | MAPE=1.27%
22:16:07 |  Iter-51 | MAE=3.179 | MAPE=4.12%
22:19:26 |  Iter-52 | MAE=1.252 | MAPE=1.58%
22:24:56 |  Iter-53 | MAE=0.422 | MAPE=0.54%
22:31:00 |  Iter-54 | MAE=1.571 | MAPE=1.96%
22:34:53 |  Iter-55 | MAE=1.179 | MAPE=1.47%
22:40:57 |  Iter-56 | MAE=1.161 | MAPE=1.44%
