13:49:13 | ================================================================================
13:49:13 |  Moirai | DAU | H1 | walkforward | seed=123
13:49:13 | ================================================================================
13:49:13 | Data: 4513 rows | Features: 16
13:52:40 |  Iter-01 | MAE=1.359 | MAPE=1.65%
14:01:44 |  Iter-02 | MAE=0.339 | MAPE=0.41%
14:12:19 |  Iter-03 | MAE=1.061 | MAPE=1.30%
14:20:00 |  Iter-04 | MAE=1.293 | MAPE=1.62%
14:27:09 |  Iter-05 | MAE=0.035 | MAPE=0.04%
14:37:44 |  Iter-06 | MAE=0.507 | MAPE=0.63%
14:46:42 |  Iter-07 | MAE=1.312 | MAPE=1.66%
14:52:38 |  Iter-08 | MAE=0.284 | MAPE=0.36%
15:01:56 |  Iter-09 | MAE=0.512 | MAPE=0.64%
15:10:43 |  Iter-10 | MAE=0.344 | MAPE=0.42%
15:18:11 |  Iter-11 | MAE=0.486 | MAPE=0.60%
15:26:16 |  Iter-12 | MAE=0.750 | MAPE=0.93%
15:34:31 |  Iter-13 | MAE=0.927 | MAPE=1.17%
15:38:16 |  Iter-14 | MAE=0.058 | MAPE=0.07%
15:46:32 |  Iter-15 | MAE=0.722 | MAPE=0.90%
15:53:02 |  Iter-16 | MAE=0.557 | MAPE=0.69%
16:00:21 |  Iter-17 | MAE=0.473 | MAPE=0.60%
16:08:59 |  Iter-18 | MAE=1.375 | MAPE=1.76%
16:16:01 |  Iter-19 | MAE=0.085 | MAPE=0.11%
16:25:13 |  Iter-20 | MAE=1.533 | MAPE=1.98%
16:31:50 |  Iter-21 | MAE=0.444 | MAPE=0.58%
16:38:37 |  Iter-22 | MAE=1.201 | MAPE=1.51%
16:44:51 |  Iter-23 | MAE=1.071 | MAPE=1.34%
16:55:27 |  Iter-24 | MAE=0.724 | MAPE=0.89%
17:06:06 |  Iter-25 | MAE=0.218 | MAPE=0.26%
17:15:35 |  Iter-26 | MAE=1.592 | MAPE=1.95%
17:24:17 |  Iter-27 | MAE=1.264 | MAPE=1.55%
17:34:53 |  Iter-28 | MAE=0.210 | MAPE=0.26%
17:44:23 |  Iter-29 | MAE=0.492 | MAPE=0.60%
17:51:56 |  Iter-30 | MAE=0.570 | MAPE=0.68%
18:01:07 |  Iter-31 | MAE=1.889 | MAPE=2.21%
18:11:40 |  Iter-32 | MAE=0.534 | MAPE=0.63%
18:19:42 |  Iter-33 | MAE=0.602 | MAPE=0.70%
18:29:14 |  Iter-34 | MAE=1.245 | MAPE=1.48%
18:34:15 |  Iter-35 | MAE=0.586 | MAPE=0.68%
18:43:43 |  Iter-36 | MAE=1.598 | MAPE=1.80%
18:51:52 |  Iter-37 | MAE=0.442 | MAPE=0.50%
19:02:12 |  Iter-38 | MAE=2.320 | MAPE=2.67%
19:10:59 |  Iter-39 | MAE=1.525 | MAPE=1.77%
