21:12:23 | ================================================================================
21:12:23 |  Moirai | XANG | H1 | walkforward | seed=2025
21:12:23 | ================================================================================
21:12:23 | Data: 4513 rows | Features: 15
21:21:43 |  Iter-01 | MAE=0.244 | MAPE=0.31%
21:28:05 |  Iter-02 | MAE=0.293 | MAPE=0.38%
21:36:52 |  Iter-03 | MAE=0.304 | MAPE=0.39%
21:45:23 |  Iter-04 | MAE=2.633 | MAPE=3.50%
21:56:26 |  Iter-05 | MAE=0.402 | MAPE=0.54%
22:04:32 |  Iter-06 | MAE=0.475 | MAPE=0.64%
22:14:52 |  Iter-07 | MAE=1.118 | MAPE=1.52%
22:23:38 |  Iter-08 | MAE=0.424 | MAPE=0.57%
22:33:12 |  Iter-09 | MAE=1.107 | MAPE=1.50%
22:40:44 |  Iter-10 | MAE=0.720 | MAPE=0.97%
22:49:40 |  Iter-11 | MAE=0.264 | MAPE=0.36%
22:55:51 |  Iter-12 | MAE=0.565 | MAPE=0.77%
23:06:13 |  Iter-13 | MAE=0.439 | MAPE=0.61%
23:12:53 |  Iter-14 | MAE=0.188 | MAPE=0.26%
23:20:36 |  Iter-15 | MAE=0.277 | MAPE=0.38%
23:29:06 |  Iter-16 | MAE=0.522 | MAPE=0.72%
23:38:03 |  Iter-17 | MAE=0.586 | MAPE=0.81%
23:46:19 |  Iter-18 | MAE=1.560 | MAPE=2.20%
23:54:25 |  Iter-19 | MAE=0.338 | MAPE=0.47%
00:04:21 |  Iter-20 | MAE=0.735 | MAPE=1.05%
00:12:56 |  Iter-21 | MAE=1.118 | MAPE=1.58%
00:19:41 |  Iter-22 | MAE=0.685 | MAPE=0.95%
00:27:56 |  Iter-23 | MAE=0.954 | MAPE=1.32%
00:36:23 |  Iter-24 | MAE=0.318 | MAPE=0.44%
00:45:53 |  Iter-25 | MAE=1.385 | MAPE=1.91%
00:52:18 |  Iter-26 | MAE=1.764 | MAPE=2.45%
01:02:39 |  Iter-27 | MAE=0.517 | MAPE=0.73%
01:09:51 |  Iter-28 | MAE=0.271 | MAPE=0.38%
01:17:19 |  Iter-29 | MAE=0.769 | MAPE=1.07%
01:27:20 |  Iter-30 | MAE=0.431 | MAPE=0.59%
01:36:17 |  Iter-31 | MAE=0.509 | MAPE=0.70%
01:46:43 |  Iter-32 | MAE=0.671 | MAPE=0.93%
01:53:31 |  Iter-33 | MAE=0.915 | MAPE=1.25%
02:03:22 |  Iter-34 | MAE=1.147 | MAPE=1.61%
02:11:09 |  Iter-35 | MAE=0.680 | MAPE=0.93%
02:18:52 |  Iter-36 | MAE=0.883 | MAPE=1.18%
02:27:54 |  Iter-37 | MAE=0.926 | MAPE=1.24%
02:37:21 |  Iter-38 | MAE=3.356 | MAPE=4.68%
02:45:09 |  Iter-39 | MAE=2.277 | MAPE=3.16%
02:53:39 |  Iter-40 | MAE=1.051 | MAPE=1.42%
03:00:57 |  Iter-41 | MAE=0.538 | MAPE=0.72%
03:09:12 |  Iter-42 | MAE=0.889 | MAPE=1.20%
03:18:31 |  Iter-43 | MAE=1.096 | MAPE=1.45%
03:26:14 |  Iter-44 | MAE=1.281 | MAPE=1.65%
03:36:21 |  Iter-45 | MAE=0.413 | MAPE=0.54%
03:43:45 |  Iter-46 | MAE=1.122 | MAPE=1.48%
03:50:14 |  Iter-47 | MAE=2.299 | MAPE=3.16%
03:54:53 |  Iter-48 | MAE=0.233 | MAPE=0.32%
04:03:39 |  Iter-49 | MAE=0.422 | MAPE=0.58%
04:11:08 |  Iter-50 | MAE=0.455 | MAPE=0.63%
04:22:15 |  Iter-51 | MAE=2.167 | MAPE=2.81%
04:29:38 |  Iter-52 | MAE=1.550 | MAPE=1.96%
04:38:35 |  Iter-53 | MAE=0.126 | MAPE=0.16%
04:48:22 |  Iter-54 | MAE=1.683 | MAPE=2.10%
04:54:53 |  Iter-55 | MAE=0.819 | MAPE=1.02%
05:04:19 |  Iter-56 | MAE=0.626 | MAPE=0.78%
05:14:05 |  Iter-57 | MAE=0.014 | MAPE=0.02%
05:21:54 |  Iter-58 | MAE=10.259 | MAPE=11.21%
05:33:41 |  Iter-59 | MAE=6.133 | MAPE=6.31%
05:44:24 |  Iter-60 | MAE=3.416 | MAPE=3.33%
05:47:09 |  Iter-61 | MAE=18.051 | MAPE=16.63%
05:49:07 |  Iter-62 | MAE=7.306 | MAPE=6.16%
05:51:13 |  Iter-63 | MAE=22.329 | MAPE=15.62%
06:00:15 |  Iter-64 | MAE=17.165 | MAPE=13.93%
06:08:00 |  Iter-65 | MAE=1.953 | MAPE=1.67%
06:15:52 |  Iter-66 | MAE=11.946 | MAPE=8.74%
06:18:12 |  Iter-67 | MAE=4.178 | MAPE=2.95%
06:20:40 |  Iter-68 | MAE=1.980 | MAPE=1.35%
06:22:28 |  Iter-69 | MAE=1.238 | MAPE=0.83%
06:24:49 |  Iter-70 | MAE=2.530 | MAPE=1.73%
06:27:24 |  Iter-71 | MAE=1.775 | MAPE=1.10%
06:29:30 |  Iter-72 | MAE=0.711 | MAPE=0.45%
06:31:34 |  Iter-73 | MAE=3.820 | MAPE=2.32%
06:33:57 |  Iter-74 | MAE=11.009 | MAPE=7.61%
06:36:31 |  Iter-75 | MAE=15.114 | MAPE=11.33%
06:47:12 |  Iter-76 | MAE=8.535 | MAPE=6.58%
06:49:35 |  Iter-77 | MAE=2.866 | MAPE=2.17%
06:52:18 |  Iter-78 | MAE=7.476 | MAPE=5.20%
06:54:23 |  Iter-79 | MAE=0.673 | MAPE=0.49%
06:58:37 |  Iter-80 | MAE=4.819 | MAPE=3.46%
07:01:01 |  Iter-81 | MAE=8.577 | MAPE=5.79%
07:03:31 |  Iter-82 | MAE=2.848 | MAPE=1.98%
07:06:01 |  Iter-83 | MAE=5.975 | MAPE=4.19%
07:13:38 |  Iter-84 | MAE=25.940 | MAPE=21.14%
07:15:59 |  Iter-85 | MAE=12.978 | MAPE=9.74%
07:18:04 |  Iter-86 | MAE=0.867 | MAPE=0.68%
07:20:08 |  Iter-87 | MAE=1.340 | MAPE=1.00%
07:22:21 |  Iter-88 | MAE=6.841 | MAPE=5.40%
07:24:44 |  Iter-89 | MAE=3.984 | MAPE=3.28%
07:27:05 |  Iter-90 | MAE=1.467 | MAPE=1.21%
07:29:10 |  Iter-91 | MAE=2.808 | MAPE=2.20%
07:31:17 |  Iter-92 | MAE=1.151 | MAPE=0.97%
07:33:43 |  Iter-93 | MAE=0.994 | MAPE=0.81%
07:35:55 |  Iter-94 | MAE=4.441 | MAPE=3.51%
07:37:55 |  Iter-95 | MAE=0.472 | MAPE=0.37%
07:39:53 |  Iter-96 | MAE=1.556 | MAPE=1.22%
07:42:23 |  Iter-97 | MAE=2.433 | MAPE=1.88%
07:44:42 |  Iter-98 | MAE=1.291 | MAPE=1.00%
07:47:23 |  Iter-99 | MAE=2.178 | MAPE=1.65%
07:50:15 |  Iter-100 | MAE=1.697 | MAPE=1.26%
07:50:15 | 
 OVERALL: MAE=3.047, MAPE=2.67%, R2=0.9652 (38272.8s)
07:50:16 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/Moirai/XANG_H1_seed2025/model_checkpoint.pth
07:50:16 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/Moirai/XANG_H1_seed2025/processor.pkl
