10:56:24 | ================================================================================
10:56:24 |  NBEATS | DAU | H1 | walkforward | seed=777
10:56:24 | ================================================================================
10:56:25 | Data: 4513 rows | Features: 16
11:00:03 |  Iter-01 | MAE=1.199 | MAPE=1.45%
11:03:58 |  Iter-02 | MAE=0.412 | MAPE=0.50%
11:07:34 |  Iter-03 | MAE=1.470 | MAPE=1.80%
11:11:09 |  Iter-04 | MAE=1.861 | MAPE=2.33%
11:14:44 |  Iter-05 | MAE=0.281 | MAPE=0.35%
11:18:46 |  Iter-06 | MAE=0.523 | MAPE=0.65%
11:22:21 |  Iter-07 | MAE=1.478 | MAPE=1.87%
11:25:49 |  Iter-08 | MAE=0.072 | MAPE=0.09%
11:29:18 |  Iter-09 | MAE=0.215 | MAPE=0.27%
11:32:47 |  Iter-10 | MAE=0.319 | MAPE=0.39%
11:36:23 |  Iter-11 | MAE=0.947 | MAPE=1.17%
11:40:06 |  Iter-12 | MAE=0.524 | MAPE=0.65%
11:43:36 |  Iter-13 | MAE=1.187 | MAPE=1.50%
11:47:04 |  Iter-14 | MAE=0.650 | MAPE=0.82%
11:50:46 |  Iter-15 | MAE=1.133 | MAPE=1.41%
11:54:21 |  Iter-16 | MAE=0.114 | MAPE=0.14%
11:57:50 |  Iter-17 | MAE=1.112 | MAPE=1.40%
12:01:32 |  Iter-18 | MAE=0.718 | MAPE=0.92%
12:05:01 |  Iter-19 | MAE=0.132 | MAPE=0.17%
12:08:36 |  Iter-20 | MAE=2.567 | MAPE=3.32%
12:12:11 |  Iter-21 | MAE=0.175 | MAPE=0.23%
12:15:46 |  Iter-22 | MAE=1.233 | MAPE=1.55%
12:19:22 |  Iter-23 | MAE=0.751 | MAPE=0.94%
12:22:51 |  Iter-24 | MAE=0.296 | MAPE=0.36%
12:26:26 |  Iter-25 | MAE=0.175 | MAPE=0.21%
12:30:01 |  Iter-26 | MAE=1.500 | MAPE=1.84%
12:33:37 |  Iter-27 | MAE=1.947 | MAPE=2.38%
12:37:06 |  Iter-28 | MAE=0.520 | MAPE=0.63%
12:40:41 |  Iter-29 | MAE=1.029 | MAPE=1.25%
12:44:16 |  Iter-30 | MAE=1.546 | MAPE=1.84%
12:47:58 |  Iter-31 | MAE=2.090 | MAPE=2.45%
12:51:27 |  Iter-32 | MAE=0.058 | MAPE=0.07%
12:55:08 |  Iter-33 | MAE=0.258 | MAPE=0.30%
12:58:44 |  Iter-34 | MAE=1.597 | MAPE=1.90%
13:02:19 |  Iter-35 | MAE=0.632 | MAPE=0.73%
13:05:48 |  Iter-36 | MAE=0.914 | MAPE=1.03%
13:09:17 |  Iter-37 | MAE=1.508 | MAPE=1.70%
13:12:58 |  Iter-38 | MAE=2.221 | MAPE=2.55%
13:16:40 |  Iter-39 | MAE=1.835 | MAPE=2.13%
13:20:09 |  Iter-40 | MAE=2.078 | MAPE=2.37%
13:23:44 |  Iter-41 | MAE=0.753 | MAPE=0.86%
13:27:19 |  Iter-42 | MAE=1.745 | MAPE=1.96%
13:30:48 |  Iter-43 | MAE=1.302 | MAPE=1.49%
13:34:13 |  Iter-44 | MAE=0.182 | MAPE=0.21%
13:37:39 |  Iter-45 | MAE=0.847 | MAPE=0.95%
13:41:11 |  Iter-46 | MAE=0.692 | MAPE=0.78%
13:44:42 |  Iter-47 | MAE=0.829 | MAPE=0.95%
13:48:40 |  Iter-48 | MAE=0.225 | MAPE=0.26%
13:52:19 |  Iter-49 | MAE=0.644 | MAPE=0.75%
13:55:51 |  Iter-50 | MAE=0.860 | MAPE=0.99%
13:59:43 |  Iter-51 | MAE=3.344 | MAPE=3.66%
14:03:21 |  Iter-52 | MAE=0.045 | MAPE=0.05%
14:07:12 |  Iter-53 | MAE=1.497 | MAPE=1.64%
14:10:51 |  Iter-54 | MAE=0.692 | MAPE=0.75%
14:14:36 |  Iter-55 | MAE=0.065 | MAPE=0.07%
14:18:01 |  Iter-56 | MAE=0.405 | MAPE=0.44%
14:21:33 |  Iter-57 | MAE=0.419 | MAPE=0.45%
14:25:05 |  Iter-58 | MAE=22.695 | MAPE=19.76%
14:28:44 |  Iter-59 | MAE=14.005 | MAPE=11.15%
14:32:22 |  Iter-60 | MAE=13.050 | MAPE=9.12%
14:36:01 |  Iter-61 | MAE=19.928 | MAPE=13.06%
14:39:26 |  Iter-62 | MAE=3.811 | MAPE=2.46%
14:42:51 |  Iter-63 | MAE=19.774 | MAPE=10.69%
14:46:23 |  Iter-64 | MAE=25.948 | MAPE=16.13%
14:49:55 |  Iter-65 | MAE=2.889 | MAPE=1.76%
14:53:40 |  Iter-66 | MAE=29.932 | MAPE=15.43%
14:57:05 |  Iter-67 | MAE=0.305 | MAPE=0.16%
15:00:31 |  Iter-68 | MAE=4.825 | MAPE=2.53%
15:03:56 |  Iter-69 | MAE=9.712 | MAPE=4.91%
15:07:21 |  Iter-70 | MAE=4.152 | MAPE=2.09%
15:10:46 |  Iter-71 | MAE=20.448 | MAPE=9.13%
15:14:18 |  Iter-72 | MAE=3.671 | MAPE=1.65%
15:17:50 |  Iter-73 | MAE=12.627 | MAPE=5.21%
15:21:22 |  Iter-74 | MAE=2.254 | MAPE=1.03%
15:24:47 |  Iter-75 | MAE=22.230 | MAPE=10.84%
15:28:12 |  Iter-76 | MAE=9.039 | MAPE=4.18%
15:31:37 |  Iter-77 | MAE=13.914 | MAPE=5.86%
15:35:03 |  Iter-78 | MAE=10.607 | MAPE=4.21%
15:38:42 |  Iter-79 | MAE=16.139 | MAPE=6.77%
15:42:20 |  Iter-80 | MAE=3.808 | MAPE=1.55%
15:45:45 |  Iter-81 | MAE=47.774 | MAPE=16.34%
15:49:24 |  Iter-82 | MAE=25.259 | MAPE=9.44%
15:52:49 |  Iter-83 | MAE=25.681 | MAPE=10.59%
15:56:14 |  Iter-84 | MAE=60.714 | MAPE=31.79%
15:59:40 |  Iter-85 | MAE=8.182 | MAPE=3.95%
16:03:12 |  Iter-86 | MAE=2.099 | MAPE=1.09%
16:06:37 |  Iter-87 | MAE=6.847 | MAPE=3.61%
16:10:02 |  Iter-88 | MAE=14.146 | MAPE=7.88%
16:14:27 |  Iter-89 | MAE=16.433 | MAPE=9.92%
16:18:05 |  Iter-90 | MAE=1.808 | MAPE=1.14%
16:21:57 |  Iter-91 | MAE=9.786 | MAPE=5.98%
16:25:23 |  Iter-92 | MAE=14.362 | MAPE=9.68%
16:28:55 |  Iter-93 | MAE=7.450 | MAPE=5.11%
16:32:20 |  Iter-94 | MAE=16.880 | MAPE=10.53%
16:35:45 |  Iter-95 | MAE=3.178 | MAPE=1.94%
16:39:17 |  Iter-96 | MAE=0.924 | MAPE=0.55%
16:42:49 |  Iter-97 | MAE=2.951 | MAPE=1.75%
16:46:27 |  Iter-98 | MAE=5.642 | MAPE=3.53%
16:50:12 |  Iter-99 | MAE=0.212 | MAPE=0.13%
16:53:38 |  Iter-100 | MAE=7.750 | MAPE=4.53%
16:53:38 | 
 OVERALL: MAE=6.177, MAPE=3.63%, R2=0.9592 (21434.0s)
16:53:38 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/NBEATS/DAU_H1_seed777/model_checkpoint.pth
16:53:38 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/NBEATS/DAU_H1_seed777/processor.pkl
