01:54:38 | ================================================================================
01:54:38 |  NBEATS | XANG | H1 | walkforward | seed=2025
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:56:54 |  Iter-01 | MAE=0.296 | MAPE=0.38%
01:59:09 |  Iter-02 | MAE=0.323 | MAPE=0.41%
02:01:15 |  Iter-03 | MAE=0.610 | MAPE=0.78%
02:03:17 |  Iter-04 | MAE=2.633 | MAPE=3.50%
02:05:19 |  Iter-05 | MAE=0.451 | MAPE=0.61%
02:07:22 |  Iter-06 | MAE=0.360 | MAPE=0.48%
02:09:25 |  Iter-07 | MAE=1.391 | MAPE=1.90%
02:11:11 |  Iter-08 | MAE=0.553 | MAPE=0.75%
02:13:05 |  Iter-09 | MAE=0.475 | MAPE=0.64%
02:15:16 |  Iter-10 | MAE=0.693 | MAPE=0.94%
02:17:20 |  Iter-11 | MAE=0.258 | MAPE=0.35%
02:19:22 |  Iter-12 | MAE=0.544 | MAPE=0.75%
02:21:24 |  Iter-13 | MAE=0.734 | MAPE=1.01%
02:23:27 |  Iter-14 | MAE=0.018 | MAPE=0.03%
02:25:46 |  Iter-15 | MAE=0.278 | MAPE=0.38%
02:27:57 |  Iter-16 | MAE=0.359 | MAPE=0.49%
02:30:03 |  Iter-17 | MAE=0.924 | MAPE=1.28%
02:32:07 |  Iter-18 | MAE=0.750 | MAPE=1.06%
02:34:10 |  Iter-19 | MAE=0.169 | MAPE=0.24%
02:36:11 |  Iter-20 | MAE=1.674 | MAPE=2.39%
02:38:12 |  Iter-21 | MAE=0.536 | MAPE=0.76%
02:40:19 |  Iter-22 | MAE=1.056 | MAPE=1.46%
02:42:30 |  Iter-23 | MAE=1.128 | MAPE=1.56%
02:44:35 |  Iter-24 | MAE=0.536 | MAPE=0.74%
02:46:48 |  Iter-25 | MAE=1.417 | MAPE=1.95%
02:48:49 |  Iter-26 | MAE=0.972 | MAPE=1.35%
02:50:46 |  Iter-27 | MAE=0.433 | MAPE=0.61%
02:52:30 |  Iter-28 | MAE=0.521 | MAPE=0.73%
02:54:29 |  Iter-29 | MAE=0.904 | MAPE=1.26%
02:56:35 |  Iter-30 | MAE=0.578 | MAPE=0.80%
02:58:41 |  Iter-31 | MAE=0.269 | MAPE=0.37%
03:00:51 |  Iter-32 | MAE=0.645 | MAPE=0.90%
03:02:57 |  Iter-33 | MAE=0.373 | MAPE=0.51%
03:05:00 |  Iter-34 | MAE=1.548 | MAPE=2.17%
03:07:23 |  Iter-35 | MAE=0.608 | MAPE=0.83%
03:09:30 |  Iter-36 | MAE=0.671 | MAPE=0.90%
03:11:37 |  Iter-37 | MAE=1.173 | MAPE=1.58%
03:13:49 |  Iter-38 | MAE=3.225 | MAPE=4.49%
03:15:52 |  Iter-39 | MAE=2.550 | MAPE=3.54%
03:17:55 |  Iter-40 | MAE=1.413 | MAPE=1.91%
03:19:57 |  Iter-41 | MAE=0.201 | MAPE=0.27%
03:22:02 |  Iter-42 | MAE=1.174 | MAPE=1.58%
03:24:00 |  Iter-43 | MAE=0.991 | MAPE=1.31%
03:25:54 |  Iter-44 | MAE=1.240 | MAPE=1.60%
03:27:40 |  Iter-45 | MAE=0.157 | MAPE=0.21%
03:29:47 |  Iter-46 | MAE=1.354 | MAPE=1.79%
03:31:49 |  Iter-47 | MAE=2.893 | MAPE=3.98%
03:34:04 |  Iter-48 | MAE=0.469 | MAPE=0.65%
03:36:08 |  Iter-49 | MAE=0.720 | MAPE=0.99%
03:38:14 |  Iter-50 | MAE=0.231 | MAPE=0.32%
03:40:18 |  Iter-51 | MAE=3.407 | MAPE=4.42%
03:42:30 |  Iter-52 | MAE=0.767 | MAPE=0.97%
03:44:38 |  Iter-53 | MAE=0.064 | MAPE=0.08%
03:46:54 |  Iter-54 | MAE=2.412 | MAPE=3.01%
03:49:05 |  Iter-55 | MAE=1.180 | MAPE=1.47%
03:51:18 |  Iter-56 | MAE=0.740 | MAPE=0.92%
03:53:23 |  Iter-57 | MAE=0.072 | MAPE=0.09%
03:55:27 |  Iter-58 | MAE=10.796 | MAPE=11.79%
03:57:29 |  Iter-59 | MAE=4.726 | MAPE=4.87%
03:59:24 |  Iter-60 | MAE=3.204 | MAPE=3.12%
04:01:23 |  Iter-61 | MAE=8.782 | MAPE=8.10%
04:03:22 |  Iter-62 | MAE=6.933 | MAPE=5.88%
04:05:25 |  Iter-63 | MAE=21.576 | MAPE=15.04%
04:07:25 |  Iter-64 | MAE=20.511 | MAPE=16.68%
04:09:29 |  Iter-65 | MAE=2.996 | MAPE=2.54%
04:11:38 |  Iter-66 | MAE=15.241 | MAPE=11.16%
04:13:40 |  Iter-67 | MAE=3.372 | MAPE=2.37%
04:15:40 |  Iter-68 | MAE=1.626 | MAPE=1.15%
04:17:41 |  Iter-69 | MAE=0.178 | MAPE=0.13%
04:19:48 |  Iter-70 | MAE=9.386 | MAPE=6.42%
04:21:52 |  Iter-71 | MAE=8.811 | MAPE=5.57%
04:23:55 |  Iter-72 | MAE=4.265 | MAPE=2.70%
04:26:00 |  Iter-73 | MAE=0.723 | MAPE=0.46%
04:28:00 |  Iter-74 | MAE=15.952 | MAPE=11.03%
04:30:03 |  Iter-75 | MAE=14.621 | MAPE=10.98%
04:32:06 |  Iter-76 | MAE=4.148 | MAPE=3.20%
04:34:00 |  Iter-77 | MAE=2.300 | MAPE=1.73%
04:35:54 |  Iter-78 | MAE=5.638 | MAPE=3.91%
04:37:57 |  Iter-79 | MAE=1.234 | MAPE=0.86%
04:40:00 |  Iter-80 | MAE=3.292 | MAPE=2.36%
04:42:02 |  Iter-81 | MAE=9.823 | MAPE=6.64%
04:44:07 |  Iter-82 | MAE=3.125 | MAPE=2.14%
04:46:14 |  Iter-83 | MAE=5.416 | MAPE=3.80%
04:48:23 |  Iter-84 | MAE=24.358 | MAPE=19.86%
04:50:22 |  Iter-85 | MAE=11.795 | MAPE=8.88%
04:52:24 |  Iter-86 | MAE=1.823 | MAPE=1.41%
04:54:28 |  Iter-87 | MAE=1.479 | MAPE=1.11%
04:56:28 |  Iter-88 | MAE=6.400 | MAPE=5.04%
04:58:34 |  Iter-89 | MAE=2.874 | MAPE=2.36%
05:00:45 |  Iter-90 | MAE=2.667 | MAPE=2.18%
05:02:46 |  Iter-91 | MAE=3.047 | MAPE=2.40%
05:04:48 |  Iter-92 | MAE=0.677 | MAPE=0.56%
05:06:54 |  Iter-93 | MAE=1.250 | MAPE=1.03%
05:08:48 |  Iter-94 | MAE=4.419 | MAPE=3.49%
05:10:42 |  Iter-95 | MAE=0.862 | MAPE=0.67%
05:12:43 |  Iter-96 | MAE=0.976 | MAPE=0.75%
05:14:43 |  Iter-97 | MAE=2.682 | MAPE=2.07%
05:16:44 |  Iter-98 | MAE=0.157 | MAPE=0.12%
05:19:08 |  Iter-99 | MAE=1.141 | MAPE=0.87%
05:21:15 |  Iter-100 | MAE=3.642 | MAPE=2.69%
05:21:15 | 
 OVERALL: MAE=3.110, MAPE=2.71%, R2=0.9649 (12401.0s)
05:21:15 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/NBEATS/XANG_H1_seed2025/model_checkpoint.pth
05:21:15 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/NBEATS/XANG_H1_seed2025/processor.pkl
