17:12:34 | ================================================================================
17:12:34 |  NHits | DAU | H1 | walkforward | seed=123
17:12:34 | ================================================================================
17:12:35 | Data: 4513 rows | Features: 16
17:16:20 |  Iter-01 | MAE=1.080 | MAPE=1.31%
17:19:56 |  Iter-02 | MAE=0.354 | MAPE=0.43%
17:23:37 |  Iter-03 | MAE=1.157 | MAPE=1.42%
17:27:40 |  Iter-04 | MAE=1.203 | MAPE=1.50%
17:31:21 |  Iter-05 | MAE=0.213 | MAPE=0.27%
17:35:11 |  Iter-06 | MAE=0.821 | MAPE=1.02%
17:39:03 |  Iter-07 | MAE=1.511 | MAPE=1.92%
17:42:34 |  Iter-08 | MAE=0.122 | MAPE=0.15%
17:46:17 |  Iter-09 | MAE=0.583 | MAPE=0.73%
17:50:12 |  Iter-10 | MAE=0.352 | MAPE=0.43%
17:53:49 |  Iter-11 | MAE=0.810 | MAPE=1.00%
17:57:31 |  Iter-12 | MAE=0.614 | MAPE=0.76%
18:01:25 |  Iter-13 | MAE=0.685 | MAPE=0.86%
18:05:08 |  Iter-14 | MAE=0.387 | MAPE=0.48%
18:08:51 |  Iter-15 | MAE=1.014 | MAPE=1.26%
18:12:46 |  Iter-16 | MAE=0.284 | MAPE=0.35%
18:16:22 |  Iter-17 | MAE=0.240 | MAPE=0.30%
18:20:04 |  Iter-18 | MAE=0.722 | MAPE=0.93%
18:23:47 |  Iter-19 | MAE=0.029 | MAPE=0.04%
18:27:23 |  Iter-20 | MAE=2.361 | MAPE=3.05%
18:30:52 |  Iter-21 | MAE=0.081 | MAPE=0.11%
18:34:41 |  Iter-22 | MAE=1.333 | MAPE=1.68%
18:38:24 |  Iter-23 | MAE=1.121 | MAPE=1.40%
18:42:13 |  Iter-24 | MAE=0.229 | MAPE=0.28%
18:45:42 |  Iter-25 | MAE=0.133 | MAPE=0.16%
18:49:31 |  Iter-26 | MAE=2.028 | MAPE=2.48%
18:53:07 |  Iter-27 | MAE=2.267 | MAPE=2.78%
18:56:37 |  Iter-28 | MAE=0.956 | MAPE=1.16%
19:00:13 |  Iter-29 | MAE=0.885 | MAPE=1.07%
19:03:49 |  Iter-30 | MAE=0.998 | MAPE=1.19%
19:07:25 |  Iter-31 | MAE=2.200 | MAPE=2.58%
19:11:08 |  Iter-32 | MAE=0.089 | MAPE=0.11%
19:14:50 |  Iter-33 | MAE=0.711 | MAPE=0.83%
19:18:20 |  Iter-34 | MAE=1.878 | MAPE=2.24%
19:22:03 |  Iter-35 | MAE=0.649 | MAPE=0.75%
19:25:45 |  Iter-36 | MAE=0.863 | MAPE=0.98%
19:29:21 |  Iter-37 | MAE=0.716 | MAPE=0.81%
19:32:57 |  Iter-38 | MAE=2.681 | MAPE=3.08%
19:36:46 |  Iter-39 | MAE=1.629 | MAPE=1.89%
19:40:29 |  Iter-40 | MAE=2.106 | MAPE=2.40%
19:44:17 |  Iter-41 | MAE=0.592 | MAPE=0.67%
19:47:53 |  Iter-42 | MAE=1.446 | MAPE=1.63%
19:51:35 |  Iter-43 | MAE=1.792 | MAPE=2.05%
19:55:17 |  Iter-44 | MAE=1.126 | MAPE=1.28%
19:59:09 |  Iter-45 | MAE=1.412 | MAPE=1.59%
20:02:49 |  Iter-46 | MAE=0.745 | MAPE=0.84%
20:06:43 |  Iter-47 | MAE=0.680 | MAPE=0.78%
20:10:28 |  Iter-48 | MAE=0.079 | MAPE=0.09%
20:14:14 |  Iter-49 | MAE=0.794 | MAPE=0.92%
20:18:19 |  Iter-50 | MAE=1.199 | MAPE=1.39%
20:21:57 |  Iter-51 | MAE=3.766 | MAPE=4.13%
20:25:49 |  Iter-52 | MAE=0.436 | MAPE=0.47%
20:29:41 |  Iter-53 | MAE=0.925 | MAPE=1.01%
20:33:31 |  Iter-54 | MAE=1.168 | MAPE=1.27%
20:37:23 |  Iter-55 | MAE=0.386 | MAPE=0.42%
20:41:15 |  Iter-56 | MAE=1.330 | MAPE=1.44%
20:45:03 |  Iter-57 | MAE=0.571 | MAPE=0.62%
20:48:59 |  Iter-58 | MAE=22.753 | MAPE=19.81%
20:52:37 |  Iter-59 | MAE=12.705 | MAPE=10.12%
20:56:22 |  Iter-60 | MAE=15.109 | MAPE=10.56%
21:00:18 |  Iter-61 | MAE=19.071 | MAPE=12.49%
21:03:58 |  Iter-62 | MAE=1.527 | MAPE=0.98%
21:07:36 |  Iter-63 | MAE=22.242 | MAPE=12.03%
21:12:22 |  Iter-64 | MAE=19.884 | MAPE=12.36%
21:16:13 |  Iter-65 | MAE=4.081 | MAPE=2.49%
21:19:51 |  Iter-66 | MAE=33.808 | MAPE=17.43%
21:23:37 |  Iter-67 | MAE=3.839 | MAPE=2.00%
21:27:21 |  Iter-68 | MAE=6.438 | MAPE=3.38%
21:31:06 |  Iter-69 | MAE=10.458 | MAPE=5.29%
21:34:44 |  Iter-70 | MAE=7.421 | MAPE=3.74%
21:38:28 |  Iter-71 | MAE=22.615 | MAPE=10.10%
21:42:05 |  Iter-72 | MAE=3.143 | MAPE=1.41%
21:45:43 |  Iter-73 | MAE=12.097 | MAPE=4.99%
21:49:21 |  Iter-74 | MAE=13.551 | MAPE=6.17%
21:53:02 |  Iter-75 | MAE=18.371 | MAPE=8.95%
21:56:44 |  Iter-76 | MAE=3.286 | MAPE=1.52%
22:00:21 |  Iter-77 | MAE=17.581 | MAPE=7.41%
22:03:59 |  Iter-78 | MAE=8.801 | MAPE=3.50%
22:07:37 |  Iter-79 | MAE=12.891 | MAPE=5.41%
22:11:14 |  Iter-80 | MAE=3.042 | MAPE=1.24%
22:15:14 |  Iter-81 | MAE=49.613 | MAPE=16.97%
22:19:05 |  Iter-82 | MAE=14.688 | MAPE=5.49%
22:22:43 |  Iter-83 | MAE=30.118 | MAPE=12.40%
22:26:23 |  Iter-84 | MAE=62.362 | MAPE=32.68%
22:30:04 |  Iter-85 | MAE=8.084 | MAPE=4.08%
22:33:42 |  Iter-86 | MAE=0.961 | MAPE=0.47%
22:37:22 |  Iter-87 | MAE=4.117 | MAPE=2.17%
22:41:03 |  Iter-88 | MAE=15.984 | MAPE=8.86%
22:44:41 |  Iter-89 | MAE=17.086 | MAPE=10.33%
22:48:33 |  Iter-90 | MAE=2.894 | MAPE=1.77%
22:52:16 |  Iter-91 | MAE=8.559 | MAPE=5.26%
22:56:07 |  Iter-92 | MAE=12.533 | MAPE=8.46%
22:59:46 |  Iter-93 | MAE=5.997 | MAPE=4.13%
23:03:25 |  Iter-94 | MAE=10.974 | MAPE=6.85%
23:07:13 |  Iter-95 | MAE=1.421 | MAPE=0.87%
23:11:08 |  Iter-96 | MAE=1.191 | MAPE=0.72%
23:15:01 |  Iter-97 | MAE=1.299 | MAPE=0.76%
23:18:39 |  Iter-98 | MAE=3.958 | MAPE=2.49%
23:22:21 |  Iter-99 | MAE=1.045 | MAPE=0.64%
23:26:00 |  Iter-100 | MAE=9.154 | MAPE=5.34%
23:26:00 | 
 OVERALL: MAE=6.133, MAPE=3.61%, R2=0.9589 (22405.7s)
23:26:00 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/NHits/DAU_H1_seed123/model_checkpoint.pth
23:26:00 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/NHits/DAU_H1_seed123/processor.pkl
