01:54:38 | ================================================================================
01:54:38 |  NHits | XANG | H1 | walkforward | seed=2025
01:54:38 | ================================================================================
01:54:38 | ================================================================================
01:54:38 |  NHits | XANG | H1 | walkforward | seed=123
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:54:38 | Data: 4513 rows | Features: 15
01:57:03 |  Iter-01 | MAE=0.223 | MAPE=0.28%
01:57:07 |  Iter-01 | MAE=0.250 | MAPE=0.32%
01:59:11 |  Iter-02 | MAE=0.270 | MAPE=0.35%
01:59:17 |  Iter-02 | MAE=0.515 | MAPE=0.65%
02:01:17 |  Iter-03 | MAE=0.354 | MAPE=0.45%
02:01:29 |  Iter-03 | MAE=0.949 | MAPE=1.22%
02:03:26 |  Iter-04 | MAE=2.482 | MAPE=3.30%
02:04:06 |  Iter-04 | MAE=3.083 | MAPE=4.10%
02:05:41 |  Iter-05 | MAE=0.438 | MAPE=0.59%
02:06:08 |  Iter-05 | MAE=0.411 | MAPE=0.55%
02:08:00 |  Iter-06 | MAE=0.730 | MAPE=0.98%
02:08:33 |  Iter-06 | MAE=0.968 | MAPE=1.30%
02:10:09 |  Iter-07 | MAE=1.761 | MAPE=2.40%
02:10:53 |  Iter-07 | MAE=1.809 | MAPE=2.47%
02:12:08 |  Iter-08 | MAE=0.448 | MAPE=0.60%
02:13:02 |  Iter-08 | MAE=0.497 | MAPE=0.67%
02:14:19 |  Iter-09 | MAE=1.399 | MAPE=1.89%
02:15:30 |  Iter-09 | MAE=1.126 | MAPE=1.52%
02:16:31 |  Iter-10 | MAE=1.235 | MAPE=1.67%
02:17:49 |  Iter-10 | MAE=1.350 | MAPE=1.83%
02:18:45 |  Iter-11 | MAE=0.600 | MAPE=0.81%
02:20:05 |  Iter-11 | MAE=0.252 | MAPE=0.34%
02:20:52 |  Iter-12 | MAE=0.592 | MAPE=0.81%
02:22:28 |  Iter-12 | MAE=0.548 | MAPE=0.75%
02:23:04 |  Iter-13 | MAE=1.043 | MAPE=1.44%
02:24:35 |  Iter-13 | MAE=1.058 | MAPE=1.46%
02:25:20 |  Iter-14 | MAE=0.228 | MAPE=0.31%
02:26:41 |  Iter-14 | MAE=0.132 | MAPE=0.18%
02:27:32 |  Iter-15 | MAE=0.107 | MAPE=0.15%
02:28:51 |  Iter-15 | MAE=0.082 | MAPE=0.11%
02:29:43 |  Iter-16 | MAE=0.305 | MAPE=0.42%
02:31:24 |  Iter-16 | MAE=0.360 | MAPE=0.49%
02:31:58 |  Iter-17 | MAE=0.548 | MAPE=0.76%
02:33:27 |  Iter-17 | MAE=0.713 | MAPE=0.98%
02:34:10 |  Iter-18 | MAE=0.946 | MAPE=1.34%
02:35:38 |  Iter-18 | MAE=1.053 | MAPE=1.49%
02:36:11 |  Iter-19 | MAE=0.208 | MAPE=0.29%
02:38:15 |  Iter-19 | MAE=0.064 | MAPE=0.09%
02:38:22 |  Iter-20 | MAE=1.212 | MAPE=1.73%
02:40:23 |  Iter-20 | MAE=1.503 | MAPE=2.14%
02:40:29 |  Iter-21 | MAE=0.838 | MAPE=1.19%
02:42:31 |  Iter-21 | MAE=0.612 | MAPE=0.87%
02:43:00 |  Iter-22 | MAE=0.585 | MAPE=0.81%
02:44:55 |  Iter-22 | MAE=1.165 | MAPE=1.61%
02:45:19 |  Iter-23 | MAE=1.823 | MAPE=2.52%
02:46:59 |  Iter-23 | MAE=0.989 | MAPE=1.37%
