01:54:42 | ================================================================================
01:54:42 |  NHits | XANG | H1 | walkforward | seed=9999
01:54:42 | ================================================================================
01:54:42 | Data: 4513 rows | Features: 15
01:57:06 |  Iter-01 | MAE=0.141 | MAPE=0.18%
01:59:00 |  Iter-02 | MAE=0.243 | MAPE=0.31%
02:00:56 |  Iter-03 | MAE=0.562 | MAPE=0.72%
02:03:07 |  Iter-04 | MAE=2.398 | MAPE=3.19%
02:05:14 |  Iter-05 | MAE=0.360 | MAPE=0.48%
02:07:03 |  Iter-06 | MAE=0.648 | MAPE=0.87%
02:08:59 |  Iter-07 | MAE=1.456 | MAPE=1.98%
02:10:54 |  Iter-08 | MAE=0.420 | MAPE=0.57%
02:12:57 |  Iter-09 | MAE=1.052 | MAPE=1.42%
02:15:14 |  Iter-10 | MAE=1.127 | MAPE=1.53%
02:17:25 |  Iter-11 | MAE=0.592 | MAPE=0.80%
02:19:20 |  Iter-12 | MAE=0.411 | MAPE=0.57%
02:21:28 |  Iter-13 | MAE=0.958 | MAPE=1.32%
02:23:39 |  Iter-14 | MAE=0.032 | MAPE=0.04%
02:25:48 |  Iter-15 | MAE=0.205 | MAPE=0.28%
02:27:57 |  Iter-16 | MAE=0.352 | MAPE=0.48%
02:30:02 |  Iter-17 | MAE=0.596 | MAPE=0.82%
02:32:02 |  Iter-18 | MAE=0.866 | MAPE=1.23%
02:33:58 |  Iter-19 | MAE=0.111 | MAPE=0.15%
02:36:08 |  Iter-20 | MAE=1.482 | MAPE=2.11%
02:38:16 |  Iter-21 | MAE=1.443 | MAPE=2.04%
02:40:07 |  Iter-22 | MAE=1.156 | MAPE=1.59%
02:42:17 |  Iter-23 | MAE=1.684 | MAPE=2.33%
02:44:27 |  Iter-24 | MAE=0.457 | MAPE=0.63%
02:46:26 |  Iter-25 | MAE=1.559 | MAPE=2.15%
02:48:21 |  Iter-26 | MAE=1.399 | MAPE=1.94%
02:50:11 |  Iter-27 | MAE=0.171 | MAPE=0.24%
02:52:15 |  Iter-28 | MAE=0.365 | MAPE=0.51%
02:54:25 |  Iter-29 | MAE=0.595 | MAPE=0.83%
02:56:19 |  Iter-30 | MAE=0.906 | MAPE=1.25%
02:58:09 |  Iter-31 | MAE=0.539 | MAPE=0.74%
03:00:12 |  Iter-32 | MAE=0.703 | MAPE=0.98%
03:02:16 |  Iter-33 | MAE=0.335 | MAPE=0.45%
03:04:22 |  Iter-34 | MAE=1.198 | MAPE=1.68%
03:06:48 |  Iter-35 | MAE=0.640 | MAPE=0.87%
03:08:48 |  Iter-36 | MAE=0.709 | MAPE=0.95%
03:10:48 |  Iter-37 | MAE=1.673 | MAPE=2.25%
03:13:02 |  Iter-38 | MAE=3.390 | MAPE=4.72%
03:14:57 |  Iter-39 | MAE=1.569 | MAPE=2.18%
03:17:04 |  Iter-40 | MAE=1.513 | MAPE=2.05%
03:19:14 |  Iter-41 | MAE=0.086 | MAPE=0.11%
03:21:06 |  Iter-42 | MAE=0.537 | MAPE=0.72%
03:22:56 |  Iter-43 | MAE=1.026 | MAPE=1.36%
03:25:01 |  Iter-44 | MAE=1.081 | MAPE=1.39%
03:27:16 |  Iter-45 | MAE=0.204 | MAPE=0.26%
03:29:25 |  Iter-46 | MAE=1.430 | MAPE=1.88%
03:31:39 |  Iter-47 | MAE=2.358 | MAPE=3.25%
03:33:34 |  Iter-48 | MAE=0.237 | MAPE=0.32%
03:35:43 |  Iter-49 | MAE=0.705 | MAPE=0.97%
03:37:43 |  Iter-50 | MAE=1.121 | MAPE=1.54%
03:39:42 |  Iter-51 | MAE=3.360 | MAPE=4.36%
03:41:53 |  Iter-52 | MAE=0.790 | MAPE=1.00%
03:43:58 |  Iter-53 | MAE=0.482 | MAPE=0.61%
03:46:30 |  Iter-54 | MAE=2.311 | MAPE=2.88%
03:48:39 |  Iter-55 | MAE=1.460 | MAPE=1.82%
03:50:33 |  Iter-56 | MAE=0.940 | MAPE=1.17%
03:52:51 |  Iter-57 | MAE=0.172 | MAPE=0.21%
03:55:07 |  Iter-58 | MAE=11.509 | MAPE=12.57%
03:57:06 |  Iter-59 | MAE=5.531 | MAPE=5.69%
03:59:14 |  Iter-60 | MAE=1.795 | MAPE=1.74%
04:01:16 |  Iter-61 | MAE=10.738 | MAPE=9.89%
04:03:11 |  Iter-62 | MAE=7.553 | MAPE=6.39%
04:05:02 |  Iter-63 | MAE=23.804 | MAPE=16.61%
04:07:01 |  Iter-64 | MAE=20.394 | MAPE=16.54%
04:09:11 |  Iter-65 | MAE=3.020 | MAPE=2.53%
04:11:03 |  Iter-66 | MAE=15.660 | MAPE=11.47%
04:12:53 |  Iter-67 | MAE=3.995 | MAPE=2.79%
04:15:00 |  Iter-68 | MAE=1.122 | MAPE=0.76%
04:17:00 |  Iter-69 | MAE=6.977 | MAPE=4.78%
04:19:02 |  Iter-70 | MAE=6.123 | MAPE=4.23%
04:21:08 |  Iter-71 | MAE=7.270 | MAPE=4.56%
04:23:13 |  Iter-72 | MAE=0.523 | MAPE=0.33%
04:25:09 |  Iter-73 | MAE=6.604 | MAPE=4.02%
04:27:11 |  Iter-74 | MAE=13.664 | MAPE=9.44%
04:29:16 |  Iter-75 | MAE=13.551 | MAPE=10.16%
04:31:11 |  Iter-76 | MAE=6.597 | MAPE=5.07%
04:33:07 |  Iter-77 | MAE=0.952 | MAPE=0.71%
