11:40:39 | ================================================================================
11:40:39 |  PatchTST | DAU | H1 | walkforward | seed=777
11:40:39 | ================================================================================
11:40:39 | Data: 4513 rows | Features: 16
11:44:07 |  Iter-01 | MAE=1.143 | MAPE=1.39%
11:48:14 |  Iter-02 | MAE=0.566 | MAPE=0.68%
11:51:47 |  Iter-03 | MAE=1.217 | MAPE=1.49%
11:55:18 |  Iter-04 | MAE=0.777 | MAPE=0.97%
11:58:38 |  Iter-05 | MAE=0.892 | MAPE=1.13%
12:02:01 |  Iter-06 | MAE=0.886 | MAPE=1.10%
12:06:36 |  Iter-07 | MAE=1.288 | MAPE=1.63%
12:10:36 |  Iter-08 | MAE=0.539 | MAPE=0.68%
12:13:40 |  Iter-09 | MAE=0.411 | MAPE=0.52%
12:16:29 |  Iter-10 | MAE=0.147 | MAPE=0.18%
12:21:12 |  Iter-11 | MAE=0.142 | MAPE=0.17%
12:24:31 |  Iter-12 | MAE=0.822 | MAPE=1.02%
12:28:43 |  Iter-13 | MAE=0.439 | MAPE=0.55%
12:31:58 |  Iter-14 | MAE=0.346 | MAPE=0.43%
12:35:58 |  Iter-15 | MAE=0.831 | MAPE=1.04%
12:39:22 |  Iter-16 | MAE=0.489 | MAPE=0.61%
12:42:41 |  Iter-17 | MAE=0.559 | MAPE=0.70%
12:45:59 |  Iter-18 | MAE=1.312 | MAPE=1.68%
12:49:42 |  Iter-19 | MAE=0.297 | MAPE=0.37%
12:54:18 |  Iter-20 | MAE=1.015 | MAPE=1.31%
12:57:45 |  Iter-21 | MAE=0.825 | MAPE=1.07%
13:02:00 |  Iter-22 | MAE=0.872 | MAPE=1.10%
13:06:29 |  Iter-23 | MAE=0.933 | MAPE=1.17%
13:09:33 |  Iter-24 | MAE=0.654 | MAPE=0.80%
13:13:48 |  Iter-25 | MAE=0.082 | MAPE=0.10%
13:17:40 |  Iter-26 | MAE=1.662 | MAPE=2.03%
13:21:40 |  Iter-27 | MAE=1.503 | MAPE=1.84%
13:24:27 |  Iter-28 | MAE=0.362 | MAPE=0.44%
13:28:43 |  Iter-29 | MAE=0.464 | MAPE=0.56%
13:31:50 |  Iter-30 | MAE=0.617 | MAPE=0.74%
13:35:23 |  Iter-31 | MAE=1.775 | MAPE=2.08%
13:39:04 |  Iter-32 | MAE=0.453 | MAPE=0.54%
13:42:32 |  Iter-33 | MAE=0.252 | MAPE=0.29%
13:46:04 |  Iter-34 | MAE=1.046 | MAPE=1.24%
13:50:03 |  Iter-35 | MAE=0.293 | MAPE=0.34%
13:54:11 |  Iter-36 | MAE=1.873 | MAPE=2.12%
13:57:51 |  Iter-37 | MAE=0.881 | MAPE=0.99%
14:02:27 |  Iter-38 | MAE=2.477 | MAPE=2.85%
14:06:03 |  Iter-39 | MAE=1.195 | MAPE=1.39%
14:08:55 |  Iter-40 | MAE=1.277 | MAPE=1.45%
14:11:50 |  Iter-41 | MAE=1.082 | MAPE=1.23%
14:16:18 |  Iter-42 | MAE=2.102 | MAPE=2.37%
14:19:52 |  Iter-43 | MAE=1.562 | MAPE=1.79%
14:23:03 |  Iter-44 | MAE=0.481 | MAPE=0.54%
14:27:23 |  Iter-45 | MAE=0.910 | MAPE=1.02%
14:30:37 |  Iter-46 | MAE=0.101 | MAPE=0.11%
14:33:40 |  Iter-47 | MAE=0.729 | MAPE=0.84%
14:36:26 |  Iter-48 | MAE=0.695 | MAPE=0.80%
14:39:45 |  Iter-49 | MAE=0.548 | MAPE=0.63%
14:43:44 |  Iter-50 | MAE=0.517 | MAPE=0.60%
14:48:41 |  Iter-51 | MAE=2.769 | MAPE=3.03%
14:52:31 |  Iter-52 | MAE=0.428 | MAPE=0.46%
14:56:30 |  Iter-53 | MAE=1.229 | MAPE=1.34%
15:00:05 |  Iter-54 | MAE=0.879 | MAPE=0.95%
15:03:15 |  Iter-55 | MAE=0.253 | MAPE=0.27%
15:06:29 |  Iter-56 | MAE=0.890 | MAPE=0.96%
15:10:27 |  Iter-57 | MAE=0.512 | MAPE=0.55%
15:13:39 |  Iter-58 | MAE=21.408 | MAPE=18.64%
15:17:30 |  Iter-59 | MAE=12.988 | MAPE=10.34%
15:20:29 |  Iter-60 | MAE=15.925 | MAPE=11.13%
15:23:39 |  Iter-61 | MAE=15.319 | MAPE=10.04%
15:27:39 |  Iter-62 | MAE=2.679 | MAPE=1.73%
15:30:57 |  Iter-63 | MAE=18.961 | MAPE=10.25%
15:35:33 |  Iter-64 | MAE=22.123 | MAPE=13.75%
15:39:40 |  Iter-65 | MAE=5.194 | MAPE=3.17%
15:43:13 |  Iter-66 | MAE=28.989 | MAPE=14.94%
15:46:36 |  Iter-67 | MAE=3.622 | MAPE=1.89%
15:50:42 |  Iter-68 | MAE=6.122 | MAPE=3.21%
15:54:58 |  Iter-69 | MAE=8.395 | MAPE=4.25%
15:59:37 |  Iter-70 | MAE=0.452 | MAPE=0.23%
16:02:30 |  Iter-71 | MAE=23.133 | MAPE=10.33%
16:07:54 |  Iter-72 | MAE=7.071 | MAPE=3.18%
16:10:56 |  Iter-73 | MAE=18.294 | MAPE=7.55%
16:14:46 |  Iter-74 | MAE=5.330 | MAPE=2.43%
16:18:32 |  Iter-75 | MAE=19.208 | MAPE=9.36%
16:22:02 |  Iter-76 | MAE=8.075 | MAPE=3.74%
16:25:31 |  Iter-77 | MAE=19.844 | MAPE=8.36%
16:32:08 |  Iter-78 | MAE=9.665 | MAPE=3.84%
16:36:28 |  Iter-79 | MAE=17.385 | MAPE=7.29%
