01:54:42 | ================================================================================
01:54:42 |  PatchTST | XANG | H1 | walkforward | seed=2025
01:54:42 | ================================================================================
01:54:42 | Data: 4513 rows | Features: 15
01:59:31 |  Iter-01 | MAE=0.145 | MAPE=0.19%
02:04:25 |  Iter-02 | MAE=0.423 | MAPE=0.54%
02:08:22 |  Iter-03 | MAE=0.343 | MAPE=0.44%
02:11:51 |  Iter-04 | MAE=2.499 | MAPE=3.32%
02:15:07 |  Iter-05 | MAE=0.441 | MAPE=0.59%
02:19:21 |  Iter-06 | MAE=0.649 | MAPE=0.87%
02:23:01 |  Iter-07 | MAE=0.908 | MAPE=1.24%
02:27:36 |  Iter-08 | MAE=0.452 | MAPE=0.61%
02:31:47 |  Iter-09 | MAE=1.019 | MAPE=1.38%
02:35:19 |  Iter-10 | MAE=0.873 | MAPE=1.18%
02:39:32 |  Iter-11 | MAE=0.342 | MAPE=0.46%
02:44:01 |  Iter-12 | MAE=0.347 | MAPE=0.48%
02:48:41 |  Iter-13 | MAE=0.185 | MAPE=0.26%
02:53:21 |  Iter-14 | MAE=0.280 | MAPE=0.38%
02:57:49 |  Iter-15 | MAE=0.271 | MAPE=0.37%
03:01:42 |  Iter-16 | MAE=0.276 | MAPE=0.38%
03:07:27 |  Iter-17 | MAE=0.550 | MAPE=0.76%
03:11:20 |  Iter-18 | MAE=1.371 | MAPE=1.94%
03:14:43 |  Iter-19 | MAE=0.210 | MAPE=0.29%
03:18:16 |  Iter-20 | MAE=0.763 | MAPE=1.09%
03:21:04 |  Iter-21 | MAE=1.273 | MAPE=1.80%
03:24:37 |  Iter-22 | MAE=0.313 | MAPE=0.43%
03:27:38 |  Iter-23 | MAE=1.133 | MAPE=1.57%
03:31:32 |  Iter-24 | MAE=0.359 | MAPE=0.49%
03:35:20 |  Iter-25 | MAE=1.394 | MAPE=1.92%
03:39:20 |  Iter-26 | MAE=1.480 | MAPE=2.06%
03:42:04 |  Iter-27 | MAE=0.823 | MAPE=1.15%
03:46:29 |  Iter-28 | MAE=0.016 | MAPE=0.02%
03:50:12 |  Iter-29 | MAE=0.630 | MAPE=0.88%
03:54:52 |  Iter-30 | MAE=0.100 | MAPE=0.14%
03:58:40 |  Iter-31 | MAE=0.104 | MAPE=0.14%
04:03:55 |  Iter-32 | MAE=0.647 | MAPE=0.89%
04:07:28 |  Iter-33 | MAE=0.477 | MAPE=0.65%
04:11:37 |  Iter-34 | MAE=1.132 | MAPE=1.58%
04:15:36 |  Iter-35 | MAE=0.680 | MAPE=0.93%
04:20:46 |  Iter-36 | MAE=0.809 | MAPE=1.08%
04:25:05 |  Iter-37 | MAE=1.240 | MAPE=1.67%
04:28:51 |  Iter-38 | MAE=2.685 | MAPE=3.74%
04:33:12 |  Iter-39 | MAE=2.469 | MAPE=3.43%
04:37:00 |  Iter-40 | MAE=1.531 | MAPE=2.07%
04:41:37 |  Iter-41 | MAE=0.356 | MAPE=0.48%
04:45:56 |  Iter-42 | MAE=1.435 | MAPE=1.93%
04:50:16 |  Iter-43 | MAE=1.068 | MAPE=1.41%
04:53:56 |  Iter-44 | MAE=0.719 | MAPE=0.93%
04:58:32 |  Iter-45 | MAE=0.564 | MAPE=0.74%
05:02:07 |  Iter-46 | MAE=0.791 | MAPE=1.05%
05:06:39 |  Iter-47 | MAE=2.543 | MAPE=3.50%
05:09:30 |  Iter-48 | MAE=0.324 | MAPE=0.44%
05:13:17 |  Iter-49 | MAE=0.203 | MAPE=0.28%
05:16:38 |  Iter-50 | MAE=1.112 | MAPE=1.53%
05:20:29 |  Iter-51 | MAE=2.897 | MAPE=3.76%
05:24:43 |  Iter-52 | MAE=0.743 | MAPE=0.94%
