17:29:56 | ================================================================================
17:29:56 |  RLinear | DAU | H1 | walkforward | seed=123
17:29:56 | ================================================================================
17:29:56 | Data: 4513 rows | Features: 16
17:40:32 |  Iter-01 | MAE=1.373 | MAPE=1.67%
17:55:44 |  Iter-02 | MAE=0.441 | MAPE=0.53%
18:07:58 |  Iter-03 | MAE=0.967 | MAPE=1.19%
18:24:45 |  Iter-04 | MAE=1.118 | MAPE=1.40%
18:36:01 |  Iter-05 | MAE=0.196 | MAPE=0.25%
18:43:29 |  Iter-06 | MAE=0.096 | MAPE=0.12%
18:52:23 |  Iter-07 | MAE=1.409 | MAPE=1.79%
19:02:41 |  Iter-08 | MAE=0.466 | MAPE=0.59%
19:16:01 |  Iter-09 | MAE=0.567 | MAPE=0.71%
19:24:54 |  Iter-10 | MAE=0.529 | MAPE=0.65%
19:38:01 |  Iter-11 | MAE=0.034 | MAPE=0.04%
19:47:53 |  Iter-12 | MAE=0.419 | MAPE=0.52%
20:03:56 |  Iter-13 | MAE=0.165 | MAPE=0.21%
20:16:44 |  Iter-14 | MAE=0.161 | MAPE=0.20%
20:30:56 |  Iter-15 | MAE=0.959 | MAPE=1.19%
20:45:08 |  Iter-16 | MAE=0.705 | MAPE=0.88%
20:59:08 |  Iter-17 | MAE=0.591 | MAPE=0.74%
21:09:39 |  Iter-18 | MAE=1.308 | MAPE=1.68%
21:18:44 |  Iter-19 | MAE=0.175 | MAPE=0.22%
21:32:44 |  Iter-20 | MAE=1.359 | MAPE=1.76%
21:44:20 |  Iter-21 | MAE=0.348 | MAPE=0.45%
21:52:48 |  Iter-22 | MAE=1.262 | MAPE=1.59%
22:05:16 |  Iter-23 | MAE=0.918 | MAPE=1.15%
22:12:00 |  Iter-24 | MAE=0.874 | MAPE=1.07%
22:26:19 |  Iter-25 | MAE=0.744 | MAPE=0.90%
22:37:51 |  Iter-26 | MAE=1.173 | MAPE=1.43%
22:51:58 |  Iter-27 | MAE=1.670 | MAPE=2.04%
23:03:54 |  Iter-28 | MAE=0.522 | MAPE=0.64%
23:16:23 |  Iter-29 | MAE=0.612 | MAPE=0.74%
23:31:59 |  Iter-30 | MAE=0.993 | MAPE=1.18%
23:39:49 |  Iter-31 | MAE=2.007 | MAPE=2.35%
23:49:41 |  Iter-32 | MAE=0.952 | MAPE=1.13%
00:06:55 |  Iter-33 | MAE=1.150 | MAPE=1.34%
00:17:28 |  Iter-34 | MAE=1.344 | MAPE=1.60%
00:34:56 |  Iter-35 | MAE=1.117 | MAPE=1.29%
00:52:23 |  Iter-36 | MAE=1.711 | MAPE=1.93%
01:03:47 |  Iter-37 | MAE=0.726 | MAPE=0.82%
01:17:48 |  Iter-38 | MAE=1.657 | MAPE=1.91%
01:25:22 |  Iter-39 | MAE=1.809 | MAPE=2.10%
01:32:26 |  Iter-40 | MAE=0.518 | MAPE=0.59%
01:42:58 |  Iter-41 | MAE=0.941 | MAPE=1.07%
01:53:50 |  Iter-42 | MAE=2.445 | MAPE=2.75%
02:01:00 |  Iter-43 | MAE=1.869 | MAPE=2.14%
02:11:56 |  Iter-44 | MAE=0.155 | MAPE=0.18%
02:23:58 |  Iter-45 | MAE=1.364 | MAPE=1.53%
02:40:56 |  Iter-46 | MAE=0.364 | MAPE=0.41%
02:49:31 |  Iter-47 | MAE=0.185 | MAPE=0.21%
03:00:21 |  Iter-48 | MAE=0.823 | MAPE=0.95%
03:10:15 |  Iter-49 | MAE=0.286 | MAPE=0.33%
03:22:49 |  Iter-50 | MAE=0.898 | MAPE=1.04%
03:32:57 |  Iter-51 | MAE=3.162 | MAPE=3.46%
03:44:20 |  Iter-52 | MAE=0.361 | MAPE=0.39%
03:59:59 |  Iter-53 | MAE=1.082 | MAPE=1.18%
