01:54:37 | ================================================================================
01:54:37 |  RLinear | XANG | H1 | walkforward | seed=9999
01:54:37 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:59:29 |  Iter-01 | MAE=0.409 | MAPE=0.52%
02:03:55 |  Iter-02 | MAE=0.224 | MAPE=0.28%
02:08:50 |  Iter-03 | MAE=0.367 | MAPE=0.47%
02:14:35 |  Iter-04 | MAE=2.438 | MAPE=3.24%
02:19:01 |  Iter-05 | MAE=0.425 | MAPE=0.57%
02:26:01 |  Iter-06 | MAE=0.856 | MAPE=1.15%
02:29:33 |  Iter-07 | MAE=1.210 | MAPE=1.65%
02:36:08 |  Iter-08 | MAE=0.583 | MAPE=0.79%
02:41:05 |  Iter-09 | MAE=1.310 | MAPE=1.77%
02:47:12 |  Iter-10 | MAE=0.570 | MAPE=0.77%
02:52:15 |  Iter-11 | MAE=0.256 | MAPE=0.35%
02:57:54 |  Iter-12 | MAE=0.348 | MAPE=0.48%
03:01:41 |  Iter-13 | MAE=0.093 | MAPE=0.13%
03:04:36 |  Iter-14 | MAE=0.285 | MAPE=0.39%
03:10:23 |  Iter-15 | MAE=0.498 | MAPE=0.69%
03:14:59 |  Iter-16 | MAE=0.404 | MAPE=0.56%
03:19:52 |  Iter-17 | MAE=0.565 | MAPE=0.78%
03:25:54 |  Iter-18 | MAE=1.446 | MAPE=2.04%
03:28:55 |  Iter-19 | MAE=0.081 | MAPE=0.11%
03:34:11 |  Iter-20 | MAE=1.255 | MAPE=1.79%
03:40:06 |  Iter-21 | MAE=1.123 | MAPE=1.59%
03:42:59 |  Iter-22 | MAE=1.268 | MAPE=1.75%
03:47:46 |  Iter-23 | MAE=0.343 | MAPE=0.47%
03:52:42 |  Iter-24 | MAE=0.328 | MAPE=0.45%
03:55:37 |  Iter-25 | MAE=1.519 | MAPE=2.11%
04:00:37 |  Iter-26 | MAE=1.405 | MAPE=1.95%
04:03:15 |  Iter-27 | MAE=1.072 | MAPE=1.51%
04:06:03 |  Iter-28 | MAE=0.383 | MAPE=0.54%
04:12:24 |  Iter-29 | MAE=0.555 | MAPE=0.77%
04:16:42 |  Iter-30 | MAE=0.673 | MAPE=0.92%
04:19:46 |  Iter-31 | MAE=0.825 | MAPE=1.13%
04:24:59 |  Iter-32 | MAE=0.672 | MAPE=0.94%
04:29:19 |  Iter-33 | MAE=0.102 | MAPE=0.14%
04:33:30 |  Iter-34 | MAE=0.920 | MAPE=1.29%
04:39:15 |  Iter-35 | MAE=0.992 | MAPE=1.35%
04:44:11 |  Iter-36 | MAE=1.043 | MAPE=1.40%
04:49:05 |  Iter-37 | MAE=0.932 | MAPE=1.25%
04:53:45 |  Iter-38 | MAE=2.723 | MAPE=3.79%
04:57:28 |  Iter-39 | MAE=2.439 | MAPE=3.40%
05:02:21 |  Iter-40 | MAE=1.342 | MAPE=1.82%
05:08:10 |  Iter-41 | MAE=0.141 | MAPE=0.19%
05:11:28 |  Iter-42 | MAE=1.519 | MAPE=2.04%
05:16:32 |  Iter-43 | MAE=1.309 | MAPE=1.73%
05:20:48 |  Iter-44 | MAE=1.155 | MAPE=1.49%
05:27:29 |  Iter-45 | MAE=0.258 | MAPE=0.34%
