01:54:38 | ================================================================================
01:54:38 |  RLinear | XANG | H1 | walkforward | seed=2025
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:54:38 | ================================================================================
01:54:38 |  RLinear | XANG | H1 | walkforward | seed=777
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:59:26 |  Iter-01 | MAE=0.052 | MAPE=0.07%
01:59:31 |  Iter-01 | MAE=0.095 | MAPE=0.12%
02:02:24 |  Iter-02 | MAE=0.393 | MAPE=0.50%
02:04:30 |  Iter-02 | MAE=0.210 | MAPE=0.27%
02:05:45 |  Iter-03 | MAE=0.346 | MAPE=0.44%
02:09:06 |  Iter-03 | MAE=0.367 | MAPE=0.47%
02:09:14 |  Iter-04 | MAE=2.345 | MAPE=3.12%
02:13:24 |  Iter-05 | MAE=0.361 | MAPE=0.49%
02:13:27 |  Iter-04 | MAE=2.400 | MAPE=3.19%
02:17:04 |  Iter-06 | MAE=1.125 | MAPE=1.51%
02:18:20 |  Iter-05 | MAE=0.326 | MAPE=0.44%
02:21:42 |  Iter-07 | MAE=1.533 | MAPE=2.09%
02:22:20 |  Iter-06 | MAE=1.140 | MAPE=1.53%
02:25:50 |  Iter-07 | MAE=1.238 | MAPE=1.69%
02:27:20 |  Iter-08 | MAE=0.495 | MAPE=0.68%
02:30:13 |  Iter-08 | MAE=0.506 | MAPE=0.68%
02:30:51 |  Iter-09 | MAE=1.064 | MAPE=1.44%
02:34:55 |  Iter-10 | MAE=0.625 | MAPE=0.85%
02:35:23 |  Iter-09 | MAE=1.158 | MAPE=1.57%
02:39:16 |  Iter-10 | MAE=0.716 | MAPE=0.97%
02:39:36 |  Iter-11 | MAE=0.352 | MAPE=0.48%
02:43:28 |  Iter-12 | MAE=0.334 | MAPE=0.46%
02:44:32 |  Iter-11 | MAE=0.343 | MAPE=0.46%
02:47:36 |  Iter-13 | MAE=0.083 | MAPE=0.12%
02:50:46 |  Iter-14 | MAE=0.176 | MAPE=0.24%
02:50:48 |  Iter-12 | MAE=0.349 | MAPE=0.48%
02:54:36 |  Iter-15 | MAE=0.407 | MAPE=0.56%
02:56:55 |  Iter-13 | MAE=0.239 | MAPE=0.33%
02:59:51 |  Iter-16 | MAE=0.366 | MAPE=0.50%
03:01:45 |  Iter-14 | MAE=0.291 | MAPE=0.40%
03:04:12 |  Iter-17 | MAE=0.609 | MAPE=0.84%
03:06:00 |  Iter-15 | MAE=0.045 | MAPE=0.06%
03:09:15 |  Iter-18 | MAE=1.582 | MAPE=2.24%
03:10:26 |  Iter-16 | MAE=0.336 | MAPE=0.46%
03:12:36 |  Iter-19 | MAE=0.075 | MAPE=0.10%
03:15:37 |  Iter-17 | MAE=0.825 | MAPE=1.14%
03:17:41 |  Iter-20 | MAE=0.517 | MAPE=0.74%
03:21:20 |  Iter-18 | MAE=1.448 | MAPE=2.05%
03:21:41 |  Iter-21 | MAE=1.115 | MAPE=1.58%
03:26:47 |  Iter-19 | MAE=0.098 | MAPE=0.14%
03:26:49 |  Iter-22 | MAE=1.239 | MAPE=1.71%
03:32:08 |  Iter-20 | MAE=0.501 | MAPE=0.71%
03:32:16 |  Iter-23 | MAE=0.378 | MAPE=0.52%
03:35:26 |  Iter-21 | MAE=0.817 | MAPE=1.16%
03:38:50 |  Iter-24 | MAE=0.253 | MAPE=0.35%
03:38:55 |  Iter-22 | MAE=0.957 | MAPE=1.32%
03:42:47 |  Iter-25 | MAE=1.441 | MAPE=1.98%
03:45:22 |  Iter-23 | MAE=0.397 | MAPE=0.55%
03:47:13 |  Iter-26 | MAE=1.440 | MAPE=2.00%
03:50:35 |  Iter-24 | MAE=0.419 | MAPE=0.58%
03:52:34 |  Iter-27 | MAE=1.143 | MAPE=1.61%
03:56:21 |  Iter-25 | MAE=0.777 | MAPE=1.07%
03:57:11 |  Iter-28 | MAE=0.099 | MAPE=0.14%
03:59:41 |  Iter-26 | MAE=1.754 | MAPE=2.43%
04:03:26 |  Iter-29 | MAE=0.548 | MAPE=0.76%
04:04:49 |  Iter-27 | MAE=0.290 | MAPE=0.41%
04:08:27 |  Iter-30 | MAE=0.665 | MAPE=0.92%
04:08:57 |  Iter-28 | MAE=0.121 | MAPE=0.17%
04:12:08 |  Iter-31 | MAE=0.784 | MAPE=1.07%
04:13:50 |  Iter-29 | MAE=0.724 | MAPE=1.01%
04:15:24 |  Iter-32 | MAE=0.634 | MAPE=0.87%
04:19:01 |  Iter-33 | MAE=1.079 | MAPE=1.48%
04:19:53 |  Iter-30 | MAE=0.544 | MAPE=0.75%
04:22:54 |  Iter-31 | MAE=0.824 | MAPE=1.13%
04:23:43 |  Iter-34 | MAE=0.975 | MAPE=1.37%
04:28:33 |  Iter-35 | MAE=0.958 | MAPE=1.31%
04:30:29 |  Iter-32 | MAE=0.820 | MAPE=1.14%
04:31:41 |  Iter-36 | MAE=0.944 | MAPE=1.26%
04:34:05 |  Iter-33 | MAE=1.181 | MAPE=1.62%
04:36:55 |  Iter-37 | MAE=1.077 | MAPE=1.45%
04:37:38 |  Iter-34 | MAE=0.961 | MAPE=1.35%
04:40:37 |  Iter-38 | MAE=2.918 | MAPE=4.07%
04:41:44 |  Iter-35 | MAE=0.682 | MAPE=0.93%
04:45:09 |  Iter-39 | MAE=1.062 | MAPE=1.47%
04:48:42 |  Iter-40 | MAE=1.017 | MAPE=1.38%
04:48:44 |  Iter-36 | MAE=1.033 | MAPE=1.38%
04:53:13 |  Iter-37 | MAE=1.403 | MAPE=1.88%
04:55:25 |  Iter-41 | MAE=0.159 | MAPE=0.21%
04:58:25 |  Iter-38 | MAE=2.929 | MAPE=4.08%
05:02:07 |  Iter-42 | MAE=0.809 | MAPE=1.09%
05:05:58 |  Iter-43 | MAE=0.713 | MAPE=0.94%
05:06:13 |  Iter-39 | MAE=1.135 | MAPE=1.58%
05:08:38 |  Iter-44 | MAE=1.165 | MAPE=1.50%
05:09:35 |  Iter-40 | MAE=1.152 | MAPE=1.56%
05:12:36 |  Iter-41 | MAE=0.211 | MAPE=0.29%
05:13:00 |  Iter-45 | MAE=0.157 | MAPE=0.21%
05:16:14 |  Iter-46 | MAE=1.507 | MAPE=1.98%
05:18:22 |  Iter-42 | MAE=0.848 | MAPE=1.14%
05:20:29 |  Iter-47 | MAE=2.181 | MAPE=2.99%
05:24:08 |  Iter-48 | MAE=0.431 | MAPE=0.59%
05:24:44 |  Iter-43 | MAE=1.239 | MAPE=1.64%
05:30:14 |  Iter-49 | MAE=0.380 | MAPE=0.52%
05:31:32 |  Iter-44 | MAE=1.635 | MAPE=2.11%
05:34:47 |  Iter-50 | MAE=0.472 | MAPE=0.65%
05:35:35 |  Iter-45 | MAE=0.190 | MAPE=0.25%
05:40:38 |  Iter-51 | MAE=3.135 | MAPE=4.07%
05:42:08 |  Iter-46 | MAE=0.718 | MAPE=0.95%
05:47:16 |  Iter-52 | MAE=1.458 | MAPE=1.85%
05:47:44 |  Iter-47 | MAE=2.762 | MAPE=3.80%
05:50:51 |  Iter-53 | MAE=0.375 | MAPE=0.47%
05:52:05 |  Iter-48 | MAE=0.412 | MAPE=0.56%
05:55:11 |  Iter-54 | MAE=1.852 | MAPE=2.31%
05:57:13 |  Iter-49 | MAE=0.417 | MAPE=0.57%
05:58:19 |  Iter-55 | MAE=0.909 | MAPE=1.13%
06:04:07 |  Iter-50 | MAE=0.836 | MAPE=1.15%
06:04:47 |  Iter-56 | MAE=0.843 | MAPE=1.05%
06:08:19 |  Iter-51 | MAE=2.832 | MAPE=3.67%
06:10:42 |  Iter-57 | MAE=0.551 | MAPE=0.68%
06:12:57 |  Iter-52 | MAE=0.868 | MAPE=1.10%
06:14:04 |  Iter-58 | MAE=10.256 | MAPE=11.20%
06:19:45 |  Iter-59 | MAE=6.832 | MAPE=7.03%
06:19:48 |  Iter-53 | MAE=0.201 | MAPE=0.26%
06:24:50 |  Iter-54 | MAE=1.955 | MAPE=2.44%
06:25:41 |  Iter-60 | MAE=4.809 | MAPE=4.70%
06:28:44 |  Iter-61 | MAE=7.797 | MAPE=7.19%
06:33:23 |  Iter-62 | MAE=3.186 | MAPE=2.69%
06:34:03 |  Iter-55 | MAE=1.166 | MAPE=1.45%
06:36:34 |  Iter-63 | MAE=20.154 | MAPE=14.01%
06:38:01 |  Iter-56 | MAE=0.765 | MAPE=0.95%
06:39:19 |  Iter-64 | MAE=21.166 | MAPE=17.16%
06:41:51 |  Iter-65 | MAE=4.014 | MAPE=3.15%
06:44:18 |  Iter-66 | MAE=13.105 | MAPE=9.67%
06:44:30 |  Iter-57 | MAE=0.576 | MAPE=0.71%
06:46:48 |  Iter-67 | MAE=2.056 | MAPE=1.46%
06:48:59 |  Iter-58 | MAE=10.437 | MAPE=11.40%
06:54:14 |  Iter-59 | MAE=4.554 | MAPE=4.69%
06:56:15 |  Iter-68 | MAE=2.517 | MAPE=1.67%
07:01:16 |  Iter-60 | MAE=5.026 | MAPE=4.91%
07:02:07 |  Iter-69 | MAE=10.104 | MAPE=6.93%
07:03:39 |  Iter-61 | MAE=7.741 | MAPE=7.12%
07:04:32 |  Iter-70 | MAE=3.553 | MAPE=2.42%
07:09:06 |  Iter-62 | MAE=7.275 | MAPE=6.14%
07:11:49 |  Iter-71 | MAE=6.692 | MAPE=4.23%
07:12:36 |  Iter-63 | MAE=20.867 | MAPE=14.59%
07:17:49 |  Iter-72 | MAE=1.638 | MAPE=1.05%
07:21:26 |  Iter-64 | MAE=11.006 | MAPE=8.93%
07:23:01 |  Iter-73 | MAE=3.787 | MAPE=2.32%
07:28:15 |  Iter-65 | MAE=4.072 | MAPE=3.24%
07:30:08 |  Iter-74 | MAE=12.007 | MAPE=8.29%
07:32:12 |  Iter-66 | MAE=13.337 | MAPE=9.73%
07:32:23 |  Iter-75 | MAE=15.309 | MAPE=11.50%
07:34:46 |  Iter-76 | MAE=4.406 | MAPE=3.40%
07:36:45 |  Iter-77 | MAE=0.743 | MAPE=0.55%
07:37:17 |  Iter-67 | MAE=1.263 | MAPE=0.88%
07:44:20 |  Iter-78 | MAE=6.888 | MAPE=4.80%
07:46:41 |  Iter-68 | MAE=3.612 | MAPE=2.41%
07:50:19 |  Iter-79 | MAE=2.297 | MAPE=1.62%
07:56:06 |  Iter-69 | MAE=8.370 | MAPE=5.75%
07:58:01 |  Iter-80 | MAE=2.540 | MAPE=1.82%
08:02:34 |  Iter-70 | MAE=1.568 | MAPE=1.07%
08:05:27 |  Iter-71 | MAE=6.337 | MAPE=4.01%
08:06:31 |  Iter-81 | MAE=7.936 | MAPE=5.36%
08:08:54 |  Iter-82 | MAE=4.309 | MAPE=2.97%
08:11:50 |  Iter-72 | MAE=1.526 | MAPE=0.98%
08:14:11 |  Iter-83 | MAE=4.529 | MAPE=3.18%
08:19:03 |  Iter-73 | MAE=3.678 | MAPE=2.25%
08:20:39 |  Iter-84 | MAE=22.028 | MAPE=17.94%
08:25:17 |  Iter-74 | MAE=11.685 | MAPE=8.06%
08:28:09 |  Iter-75 | MAE=14.308 | MAPE=10.74%
08:28:31 |  Iter-85 | MAE=11.494 | MAPE=8.65%
08:34:48 |  Iter-86 | MAE=1.732 | MAPE=1.34%
08:36:24 |  Iter-76 | MAE=8.673 | MAPE=6.67%
08:37:01 |  Iter-87 | MAE=1.949 | MAPE=1.46%
08:43:02 |  Iter-77 | MAE=0.431 | MAPE=0.33%
08:43:06 |  Iter-88 | MAE=5.769 | MAPE=4.55%
08:48:40 |  Iter-89 | MAE=4.666 | MAPE=3.84%
08:51:39 |  Iter-90 | MAE=2.590 | MAPE=2.13%
08:54:40 |  Iter-78 | MAE=6.808 | MAPE=4.75%
08:56:46 |  Iter-91 | MAE=3.388 | MAPE=2.65%
08:57:24 |  Iter-79 | MAE=3.398 | MAPE=2.39%
08:58:57 |  Iter-92 | MAE=2.563 | MAPE=2.15%
09:02:23 |  Iter-93 | MAE=1.727 | MAPE=1.43%
09:04:36 |  Iter-94 | MAE=4.510 | MAPE=3.59%
09:06:04 |  Iter-80 | MAE=1.535 | MAPE=1.09%
09:09:35 |  Iter-95 | MAE=2.427 | MAPE=1.89%
09:12:02 |  Iter-96 | MAE=1.156 | MAPE=0.91%
09:13:24 |  Iter-81 | MAE=8.035 | MAPE=5.43%
09:14:17 |  Iter-97 | MAE=2.231 | MAPE=1.72%
09:16:23 |  Iter-98 | MAE=0.805 | MAPE=0.63%
09:18:47 |  Iter-82 | MAE=5.390 | MAPE=3.70%
09:21:56 |  Iter-83 | MAE=3.085 | MAPE=2.14%
09:22:38 |  Iter-99 | MAE=3.159 | MAPE=2.40%
09:24:20 |  Iter-84 | MAE=22.598 | MAPE=18.40%
09:27:18 |  Iter-85 | MAE=11.761 | MAPE=8.86%
09:28:36 |  Iter-100 | MAE=4.066 | MAPE=2.99%
09:28:36 | 
 OVERALL: MAE=3.086, MAPE=2.68%, R2=0.9683 (27242.4s)
09:28:36 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/RLinear/XANG_H1_seed777/model_checkpoint.pth
09:28:36 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/RLinear/XANG_H1_seed777/processor.pkl
09:29:52 |  Iter-86 | MAE=0.416 | MAPE=0.32%
09:31:59 |  Iter-87 | MAE=1.631 | MAPE=1.22%
09:34:18 |  Iter-88 | MAE=6.704 | MAPE=5.29%
09:36:38 |  Iter-89 | MAE=2.366 | MAPE=1.92%
09:42:45 |  Iter-90 | MAE=2.480 | MAPE=2.04%
09:45:13 |  Iter-91 | MAE=2.591 | MAPE=2.03%
09:47:48 |  Iter-92 | MAE=1.035 | MAPE=0.84%
09:54:53 |  Iter-93 | MAE=1.774 | MAPE=1.47%
09:58:06 |  Iter-94 | MAE=1.350 | MAPE=1.09%
10:01:17 |  Iter-95 | MAE=1.560 | MAPE=1.22%
10:03:41 |  Iter-96 | MAE=1.245 | MAPE=0.98%
10:09:07 |  Iter-97 | MAE=2.728 | MAPE=2.11%
10:13:42 |  Iter-98 | MAE=0.698 | MAPE=0.54%
10:16:31 |  Iter-99 | MAE=2.127 | MAPE=1.62%
10:19:30 |  Iter-100 | MAE=2.098 | MAPE=1.55%
10:19:30 | 
 OVERALL: MAE=2.883, MAPE=2.51%, R2=0.9718 (30296.5s)
