14:24:00 | ================================================================================
14:24:00 |  Reformer | DAU | H1 | walkforward | seed=777
14:24:00 | ================================================================================
14:24:00 | Data: 4513 rows | Features: 16
14:32:38 |  Iter-01 | MAE=1.418 | MAPE=1.72%
14:37:23 |  Iter-02 | MAE=0.222 | MAPE=0.27%
14:41:43 |  Iter-03 | MAE=1.305 | MAPE=1.60%
14:47:26 |  Iter-04 | MAE=1.267 | MAPE=1.58%
14:51:42 |  Iter-05 | MAE=0.355 | MAPE=0.45%
14:56:17 |  Iter-06 | MAE=0.501 | MAPE=0.63%
15:12:30 |  Iter-07 | MAE=1.322 | MAPE=1.68%
15:19:33 |  Iter-08 | MAE=0.140 | MAPE=0.18%
15:24:05 |  Iter-09 | MAE=0.104 | MAPE=0.13%
15:29:35 |  Iter-10 | MAE=0.603 | MAPE=0.74%
15:33:09 |  Iter-11 | MAE=0.182 | MAPE=0.22%
15:37:26 |  Iter-12 | MAE=0.662 | MAPE=0.82%
15:42:37 |  Iter-13 | MAE=1.343 | MAPE=1.69%
15:48:21 |  Iter-14 | MAE=0.022 | MAPE=0.03%
15:54:20 |  Iter-15 | MAE=0.586 | MAPE=0.73%
15:58:57 |  Iter-16 | MAE=0.216 | MAPE=0.27%
16:02:21 |  Iter-17 | MAE=0.580 | MAPE=0.73%
16:09:57 |  Iter-18 | MAE=1.188 | MAPE=1.52%
16:17:48 |  Iter-19 | MAE=0.174 | MAPE=0.22%
16:22:34 |  Iter-20 | MAE=1.994 | MAPE=2.58%
16:34:08 |  Iter-21 | MAE=0.385 | MAPE=0.50%
16:37:32 |  Iter-22 | MAE=1.462 | MAPE=1.84%
16:44:44 |  Iter-23 | MAE=1.001 | MAPE=1.25%
16:48:08 |  Iter-24 | MAE=0.543 | MAPE=0.67%
16:55:20 |  Iter-25 | MAE=0.134 | MAPE=0.16%
17:00:35 |  Iter-26 | MAE=1.750 | MAPE=2.14%
17:09:39 |  Iter-27 | MAE=1.102 | MAPE=1.35%
17:16:51 |  Iter-28 | MAE=0.310 | MAPE=0.38%
17:23:19 |  Iter-29 | MAE=0.570 | MAPE=0.69%
17:27:12 |  Iter-30 | MAE=0.870 | MAPE=1.04%
17:42:33 |  Iter-31 | MAE=1.649 | MAPE=1.93%
17:52:05 |  Iter-32 | MAE=0.262 | MAPE=0.31%
18:00:43 |  Iter-33 | MAE=0.539 | MAPE=0.63%
18:07:45 |  Iter-34 | MAE=1.253 | MAPE=1.49%
18:13:25 |  Iter-35 | MAE=1.088 | MAPE=1.26%
18:19:56 |  Iter-36 | MAE=1.522 | MAPE=1.72%
18:30:26 |  Iter-37 | MAE=0.975 | MAPE=1.10%
18:34:18 |  Iter-38 | MAE=2.552 | MAPE=2.93%
18:37:42 |  Iter-39 | MAE=1.507 | MAPE=1.75%
18:41:20 |  Iter-40 | MAE=1.057 | MAPE=1.20%
18:48:02 |  Iter-41 | MAE=0.058 | MAPE=0.07%
18:55:32 |  Iter-42 | MAE=1.180 | MAPE=1.33%
19:01:50 |  Iter-43 | MAE=1.402 | MAPE=1.60%
19:07:34 |  Iter-44 | MAE=0.995 | MAPE=1.13%
19:14:11 |  Iter-45 | MAE=1.197 | MAPE=1.35%
19:19:06 |  Iter-46 | MAE=0.164 | MAPE=0.18%
19:24:30 |  Iter-47 | MAE=0.903 | MAPE=1.04%
19:29:55 |  Iter-48 | MAE=0.614 | MAPE=0.71%
19:37:41 |  Iter-49 | MAE=0.728 | MAPE=0.84%
19:45:33 |  Iter-50 | MAE=0.800 | MAPE=0.93%
19:52:21 |  Iter-51 | MAE=4.320 | MAPE=4.73%
19:58:44 |  Iter-52 | MAE=0.416 | MAPE=0.45%
20:09:13 |  Iter-53 | MAE=0.899 | MAPE=0.98%
20:15:36 |  Iter-54 | MAE=0.209 | MAPE=0.23%
20:21:59 |  Iter-55 | MAE=0.256 | MAPE=0.28%
20:32:43 |  Iter-56 | MAE=0.284 | MAPE=0.31%
20:40:34 |  Iter-57 | MAE=0.160 | MAPE=0.17%
20:52:06 |  Iter-58 | MAE=22.535 | MAPE=19.62%
20:58:40 |  Iter-59 | MAE=11.918 | MAPE=9.49%
21:02:43 |  Iter-60 | MAE=17.747 | MAPE=12.40%
21:06:01 |  Iter-61 | MAE=19.421 | MAPE=12.72%
21:10:04 |  Iter-62 | MAE=0.228 | MAPE=0.15%
21:13:47 |  Iter-63 | MAE=19.498 | MAPE=10.54%
21:17:35 |  Iter-64 | MAE=19.398 | MAPE=12.06%
21:21:33 |  Iter-65 | MAE=2.934 | MAPE=1.79%
21:25:00 |  Iter-66 | MAE=28.768 | MAPE=14.83%
21:28:38 |  Iter-67 | MAE=1.457 | MAPE=0.76%
