08:52:43 | ================================================================================
08:52:43 |  Reformer | XANG | H1 | walkforward | seed=123
08:52:43 | ================================================================================
08:52:43 | Data: 4513 rows | Features: 15
08:54:56 |  Iter-01 | MAE=0.107 | MAPE=0.14%
08:57:48 |  Iter-02 | MAE=0.198 | MAPE=0.25%
09:01:54 |  Iter-03 | MAE=0.402 | MAPE=0.51%
09:06:08 |  Iter-04 | MAE=2.629 | MAPE=3.50%
09:09:14 |  Iter-05 | MAE=0.401 | MAPE=0.54%
09:11:28 |  Iter-06 | MAE=0.365 | MAPE=0.49%
09:15:16 |  Iter-07 | MAE=1.129 | MAPE=1.54%
09:17:15 |  Iter-08 | MAE=0.430 | MAPE=0.58%
09:20:57 |  Iter-09 | MAE=0.860 | MAPE=1.16%
09:22:59 |  Iter-10 | MAE=0.225 | MAPE=0.30%
09:25:28 |  Iter-11 | MAE=0.514 | MAPE=0.70%
09:28:07 |  Iter-12 | MAE=0.642 | MAPE=0.88%
09:29:59 |  Iter-13 | MAE=1.178 | MAPE=1.63%
09:33:59 |  Iter-14 | MAE=0.178 | MAPE=0.24%
09:36:43 |  Iter-15 | MAE=0.264 | MAPE=0.36%
09:40:20 |  Iter-16 | MAE=0.213 | MAPE=0.29%
09:44:24 |  Iter-17 | MAE=0.565 | MAPE=0.78%
09:47:56 |  Iter-18 | MAE=1.315 | MAPE=1.86%
09:50:28 |  Iter-19 | MAE=0.142 | MAPE=0.20%
09:58:54 |  Iter-20 | MAE=0.845 | MAPE=1.20%
10:01:12 |  Iter-21 | MAE=0.916 | MAPE=1.30%
10:05:52 |  Iter-22 | MAE=0.821 | MAPE=1.13%
10:08:07 |  Iter-23 | MAE=1.053 | MAPE=1.46%
10:14:59 |  Iter-24 | MAE=0.478 | MAPE=0.66%
10:19:51 |  Iter-25 | MAE=1.419 | MAPE=1.96%
10:23:38 |  Iter-26 | MAE=1.242 | MAPE=1.72%
10:26:44 |  Iter-27 | MAE=0.387 | MAPE=0.54%
10:31:02 |  Iter-28 | MAE=0.112 | MAPE=0.16%
10:33:09 |  Iter-29 | MAE=0.188 | MAPE=0.26%
10:37:54 |  Iter-30 | MAE=0.551 | MAPE=0.76%
10:40:25 |  Iter-31 | MAE=0.049 | MAPE=0.07%
10:43:15 |  Iter-32 | MAE=0.688 | MAPE=0.96%
10:47:37 |  Iter-33 | MAE=0.721 | MAPE=0.99%
10:50:11 |  Iter-34 | MAE=1.286 | MAPE=1.80%
10:52:58 |  Iter-35 | MAE=0.810 | MAPE=1.10%
10:57:19 |  Iter-36 | MAE=1.076 | MAPE=1.44%
11:00:06 |  Iter-37 | MAE=0.700 | MAPE=0.94%
11:03:30 |  Iter-38 | MAE=3.421 | MAPE=4.77%
11:06:35 |  Iter-39 | MAE=2.451 | MAPE=3.41%
11:11:04 |  Iter-40 | MAE=1.513 | MAPE=2.05%
11:16:02 |  Iter-41 | MAE=0.654 | MAPE=0.88%
11:19:54 |  Iter-42 | MAE=0.410 | MAPE=0.55%
11:23:14 |  Iter-43 | MAE=1.132 | MAPE=1.50%
11:30:37 |  Iter-44 | MAE=1.051 | MAPE=1.36%
11:33:01 |  Iter-45 | MAE=0.802 | MAPE=1.05%
11:36:14 |  Iter-46 | MAE=0.999 | MAPE=1.32%
11:41:52 |  Iter-47 | MAE=2.360 | MAPE=3.25%
11:44:58 |  Iter-48 | MAE=0.143 | MAPE=0.19%
11:47:20 |  Iter-49 | MAE=0.562 | MAPE=0.77%
11:51:02 |  Iter-50 | MAE=0.430 | MAPE=0.59%
11:53:57 |  Iter-51 | MAE=3.314 | MAPE=4.30%
11:58:45 |  Iter-52 | MAE=1.510 | MAPE=1.92%
12:01:35 |  Iter-53 | MAE=0.461 | MAPE=0.59%
12:10:07 |  Iter-54 | MAE=1.801 | MAPE=2.25%
12:14:09 |  Iter-55 | MAE=0.839 | MAPE=1.05%
12:18:04 |  Iter-56 | MAE=0.476 | MAPE=0.59%
12:21:37 |  Iter-57 | MAE=0.733 | MAPE=0.91%
12:27:46 |  Iter-58 | MAE=10.725 | MAPE=11.72%
12:36:47 |  Iter-59 | MAE=6.681 | MAPE=6.88%
12:44:02 |  Iter-60 | MAE=6.044 | MAPE=5.91%
12:46:33 |  Iter-61 | MAE=13.134 | MAPE=12.10%
12:47:49 |  Iter-62 | MAE=7.975 | MAPE=6.75%
12:49:07 |  Iter-63 | MAE=25.577 | MAPE=17.86%
12:51:14 |  Iter-64 | MAE=20.068 | MAPE=16.29%
12:53:30 |  Iter-65 | MAE=2.239 | MAPE=1.87%
12:55:05 |  Iter-66 | MAE=14.489 | MAPE=10.61%
