20:52:20 | ================================================================================
20:52:20 |  S_Mamba | DAU | H1 | walkforward | seed=777
20:52:20 | ================================================================================
20:52:20 | Data: 4513 rows | Features: 16
21:00:35 |  Iter-01 | MAE=1.409 | MAPE=1.71%
21:09:07 |  Iter-02 | MAE=0.236 | MAPE=0.29%
21:17:13 |  Iter-03 | MAE=1.224 | MAPE=1.50%
21:25:31 |  Iter-04 | MAE=1.423 | MAPE=1.78%
21:36:17 |  Iter-05 | MAE=0.160 | MAPE=0.20%
21:44:00 |  Iter-06 | MAE=0.399 | MAPE=0.50%
21:58:40 |  Iter-07 | MAE=1.340 | MAPE=1.70%
22:06:03 |  Iter-08 | MAE=0.358 | MAPE=0.45%
22:12:47 |  Iter-09 | MAE=0.503 | MAPE=0.63%
22:21:34 |  Iter-10 | MAE=0.246 | MAPE=0.30%
22:29:43 |  Iter-11 | MAE=0.599 | MAPE=0.74%
22:36:15 |  Iter-12 | MAE=0.749 | MAPE=0.93%
22:44:35 |  Iter-13 | MAE=1.010 | MAPE=1.27%
22:51:55 |  Iter-14 | MAE=0.109 | MAPE=0.14%
23:00:00 |  Iter-15 | MAE=0.758 | MAPE=0.94%
23:06:54 |  Iter-16 | MAE=0.480 | MAPE=0.60%
23:16:55 |  Iter-17 | MAE=0.388 | MAPE=0.49%
23:32:00 |  Iter-18 | MAE=1.358 | MAPE=1.74%
23:40:04 |  Iter-19 | MAE=0.158 | MAPE=0.20%
23:52:53 |  Iter-20 | MAE=1.868 | MAPE=2.42%
00:00:19 |  Iter-21 | MAE=0.406 | MAPE=0.53%
00:08:55 |  Iter-22 | MAE=1.386 | MAPE=1.74%
00:19:48 |  Iter-23 | MAE=1.124 | MAPE=1.41%
00:30:27 |  Iter-24 | MAE=0.713 | MAPE=0.88%
00:42:12 |  Iter-25 | MAE=0.310 | MAPE=0.38%
00:53:10 |  Iter-26 | MAE=1.477 | MAPE=1.81%
01:03:00 |  Iter-27 | MAE=1.034 | MAPE=1.27%
01:11:07 |  Iter-28 | MAE=0.228 | MAPE=0.28%
01:15:46 |  Iter-29 | MAE=0.640 | MAPE=0.78%
01:23:33 |  Iter-30 | MAE=0.646 | MAPE=0.77%
01:32:38 |  Iter-31 | MAE=1.963 | MAPE=2.30%
01:41:43 |  Iter-32 | MAE=0.638 | MAPE=0.76%
01:49:42 |  Iter-33 | MAE=0.659 | MAPE=0.77%
02:01:42 |  Iter-34 | MAE=1.367 | MAPE=1.63%
02:09:42 |  Iter-35 | MAE=0.686 | MAPE=0.79%
02:18:47 |  Iter-36 | MAE=1.271 | MAPE=1.44%
02:26:40 |  Iter-37 | MAE=0.428 | MAPE=0.48%
02:33:28 |  Iter-38 | MAE=2.567 | MAPE=2.95%
02:41:28 |  Iter-39 | MAE=1.394 | MAPE=1.62%
02:54:58 |  Iter-40 | MAE=1.311 | MAPE=1.49%
03:03:57 |  Iter-41 | MAE=0.181 | MAPE=0.21%
03:14:06 |  Iter-42 | MAE=2.013 | MAPE=2.27%
03:19:56 |  Iter-43 | MAE=1.289 | MAPE=1.47%
03:30:27 |  Iter-44 | MAE=0.137 | MAPE=0.15%
03:38:08 |  Iter-45 | MAE=1.209 | MAPE=1.36%
03:45:42 |  Iter-46 | MAE=0.078 | MAPE=0.09%
04:03:42 |  Iter-47 | MAE=0.738 | MAPE=0.85%
04:25:38 |  Iter-48 | MAE=0.732 | MAPE=0.85%
04:44:35 |  Iter-49 | MAE=0.893 | MAPE=1.03%
04:55:39 |  Iter-50 | MAE=0.675 | MAPE=0.78%
05:04:51 |  Iter-51 | MAE=3.947 | MAPE=4.32%
05:15:10 |  Iter-52 | MAE=0.325 | MAPE=0.35%
05:25:55 |  Iter-53 | MAE=0.980 | MAPE=1.07%
05:36:52 |  Iter-54 | MAE=0.364 | MAPE=0.40%
05:53:12 |  Iter-55 | MAE=0.340 | MAPE=0.37%
06:13:24 |  Iter-56 | MAE=0.835 | MAPE=0.91%
06:24:46 |  Iter-57 | MAE=0.152 | MAPE=0.16%
