18:32:41 | ================================================================================
18:32:41 |  S_Mamba | XANG | H1 | walkforward | seed=2025
18:32:41 | ================================================================================
18:32:41 | Data: 4513 rows | Features: 15
18:41:40 |  Iter-01 | MAE=0.307 | MAPE=0.39%
18:48:13 |  Iter-02 | MAE=0.314 | MAPE=0.40%
18:59:36 |  Iter-03 | MAE=0.324 | MAPE=0.41%
19:07:33 |  Iter-04 | MAE=2.458 | MAPE=3.27%
19:18:29 |  Iter-05 | MAE=0.426 | MAPE=0.57%
19:26:35 |  Iter-06 | MAE=0.715 | MAPE=0.96%
19:38:11 |  Iter-07 | MAE=1.163 | MAPE=1.59%
19:46:55 |  Iter-08 | MAE=0.439 | MAPE=0.59%
19:57:21 |  Iter-09 | MAE=1.305 | MAPE=1.77%
20:05:26 |  Iter-10 | MAE=0.881 | MAPE=1.19%
20:14:33 |  Iter-11 | MAE=0.392 | MAPE=0.53%
20:20:26 |  Iter-12 | MAE=0.634 | MAPE=0.87%
20:25:49 |  Iter-13 | MAE=0.680 | MAPE=0.94%
20:35:37 |  Iter-14 | MAE=0.431 | MAPE=0.59%
20:45:38 |  Iter-15 | MAE=0.281 | MAPE=0.39%
20:53:26 |  Iter-16 | MAE=0.506 | MAPE=0.69%
21:01:03 |  Iter-17 | MAE=0.531 | MAPE=0.73%
21:07:48 |  Iter-18 | MAE=1.357 | MAPE=1.92%
21:16:17 |  Iter-19 | MAE=0.132 | MAPE=0.18%
21:25:42 |  Iter-20 | MAE=0.843 | MAPE=1.20%
21:35:57 |  Iter-21 | MAE=1.062 | MAPE=1.50%
21:46:48 |  Iter-22 | MAE=0.511 | MAPE=0.71%
21:55:22 |  Iter-23 | MAE=1.170 | MAPE=1.62%
22:03:14 |  Iter-24 | MAE=0.285 | MAPE=0.39%
22:09:35 |  Iter-25 | MAE=1.474 | MAPE=2.03%
22:17:47 |  Iter-26 | MAE=1.901 | MAPE=2.64%
22:27:36 |  Iter-27 | MAE=0.340 | MAPE=0.48%
22:35:38 |  Iter-28 | MAE=0.331 | MAPE=0.47%
22:41:55 |  Iter-29 | MAE=0.645 | MAPE=0.90%
22:49:12 |  Iter-30 | MAE=0.477 | MAPE=0.66%
22:55:14 |  Iter-31 | MAE=0.462 | MAPE=0.63%
23:03:05 |  Iter-32 | MAE=0.649 | MAPE=0.90%
23:09:39 |  Iter-33 | MAE=1.055 | MAPE=1.45%
23:18:25 |  Iter-34 | MAE=1.393 | MAPE=1.95%
23:29:52 |  Iter-35 | MAE=0.214 | MAPE=0.29%
23:39:04 |  Iter-36 | MAE=0.540 | MAPE=0.72%
23:46:54 |  Iter-37 | MAE=1.264 | MAPE=1.70%
23:52:02 |  Iter-38 | MAE=3.335 | MAPE=4.65%
23:57:27 |  Iter-39 | MAE=2.273 | MAPE=3.16%
00:01:49 |  Iter-40 | MAE=1.151 | MAPE=1.56%
00:05:34 |  Iter-41 | MAE=0.094 | MAPE=0.13%
00:13:15 |  Iter-42 | MAE=0.843 | MAPE=1.13%
00:21:31 |  Iter-43 | MAE=1.158 | MAPE=1.53%
00:27:50 |  Iter-44 | MAE=1.368 | MAPE=1.76%
00:36:14 |  Iter-45 | MAE=0.478 | MAPE=0.63%
00:42:22 |  Iter-46 | MAE=1.015 | MAPE=1.34%
00:53:56 |  Iter-47 | MAE=2.294 | MAPE=3.15%
01:03:30 |  Iter-48 | MAE=0.349 | MAPE=0.48%
01:10:22 |  Iter-49 | MAE=0.669 | MAPE=0.92%
01:16:59 |  Iter-50 | MAE=0.241 | MAPE=0.33%
01:23:17 |  Iter-51 | MAE=2.468 | MAPE=3.20%
01:34:08 |  Iter-52 | MAE=1.625 | MAPE=2.06%
01:42:18 |  Iter-53 | MAE=0.523 | MAPE=0.67%
01:49:19 |  Iter-54 | MAE=1.936 | MAPE=2.41%
01:56:38 |  Iter-55 | MAE=1.062 | MAPE=1.32%
02:03:16 |  Iter-56 | MAE=0.895 | MAPE=1.11%
02:12:46 |  Iter-57 | MAE=0.099 | MAPE=0.12%
02:21:19 |  Iter-58 | MAE=10.505 | MAPE=11.48%
02:28:14 |  Iter-59 | MAE=6.937 | MAPE=7.14%
02:35:09 |  Iter-60 | MAE=4.393 | MAPE=4.29%
02:44:04 |  Iter-61 | MAE=18.630 | MAPE=17.16%
02:46:01 |  Iter-62 | MAE=8.171 | MAPE=6.93%
02:47:47 |  Iter-63 | MAE=25.988 | MAPE=18.14%
02:50:03 |  Iter-64 | MAE=22.856 | MAPE=18.54%
02:56:49 |  Iter-65 | MAE=2.254 | MAPE=1.93%
02:59:16 |  Iter-66 | MAE=12.276 | MAPE=8.98%
03:05:45 |  Iter-67 | MAE=3.505 | MAPE=2.45%
03:10:50 |  Iter-68 | MAE=0.716 | MAPE=0.49%
03:13:28 |  Iter-69 | MAE=0.710 | MAPE=0.49%
03:19:33 |  Iter-70 | MAE=2.889 | MAPE=1.98%
03:26:05 |  Iter-71 | MAE=4.577 | MAPE=2.90%
03:28:32 |  Iter-72 | MAE=2.054 | MAPE=1.31%
03:30:19 |  Iter-73 | MAE=6.086 | MAPE=3.72%
03:35:09 |  Iter-74 | MAE=7.964 | MAPE=5.48%
03:42:52 |  Iter-75 | MAE=14.285 | MAPE=10.71%
03:53:48 |  Iter-76 | MAE=9.859 | MAPE=7.60%
04:01:57 |  Iter-77 | MAE=0.728 | MAPE=0.55%
04:09:06 |  Iter-78 | MAE=5.161 | MAPE=3.58%
04:16:02 |  Iter-79 | MAE=0.233 | MAPE=0.16%
04:18:37 |  Iter-80 | MAE=4.791 | MAPE=3.43%
04:20:44 |  Iter-81 | MAE=8.558 | MAPE=5.78%
04:23:24 |  Iter-82 | MAE=4.198 | MAPE=2.89%
04:29:40 |  Iter-83 | MAE=5.037 | MAPE=3.53%
04:31:50 |  Iter-84 | MAE=24.299 | MAPE=19.80%
04:41:13 |  Iter-85 | MAE=10.489 | MAPE=7.90%
04:43:30 |  Iter-86 | MAE=0.744 | MAPE=0.58%
04:46:39 |  Iter-87 | MAE=1.201 | MAPE=0.89%
04:49:22 |  Iter-88 | MAE=6.769 | MAPE=5.34%
04:51:19 |  Iter-89 | MAE=4.645 | MAPE=3.82%
04:53:18 |  Iter-90 | MAE=2.365 | MAPE=1.94%
05:02:10 |  Iter-91 | MAE=2.243 | MAPE=1.78%
05:04:27 |  Iter-92 | MAE=1.656 | MAPE=1.37%
05:11:19 |  Iter-93 | MAE=3.744 | MAPE=3.10%
05:13:32 |  Iter-94 | MAE=4.821 | MAPE=3.82%
05:17:47 |  Iter-95 | MAE=0.802 | MAPE=0.63%
05:20:07 |  Iter-96 | MAE=1.114 | MAPE=0.89%
05:29:30 |  Iter-97 | MAE=2.988 | MAPE=2.30%
05:40:46 |  Iter-98 | MAE=1.440 | MAPE=1.11%
05:43:05 |  Iter-99 | MAE=1.916 | MAPE=1.46%
05:45:29 |  Iter-100 | MAE=1.857 | MAPE=1.37%
05:45:29 | 
 OVERALL: MAE=3.182, MAPE=2.80%, R2=0.9621 (40368.8s)
