01:22:56 | ================================================================================
01:22:56 |  TEMPO | DAU | H1 | walkforward | seed=777
01:22:56 | ================================================================================
01:22:56 | Data: 4513 rows | Features: 16
01:32:43 |  Iter-01 | MAE=1.378 | MAPE=1.67%
01:38:52 |  Iter-02 | MAE=0.643 | MAPE=0.78%
01:45:02 |  Iter-03 | MAE=1.268 | MAPE=1.56%
01:52:03 |  Iter-04 | MAE=1.239 | MAPE=1.55%
01:56:36 |  Iter-05 | MAE=0.023 | MAPE=0.03%
02:04:29 |  Iter-06 | MAE=0.090 | MAPE=0.11%
02:10:39 |  Iter-07 | MAE=1.578 | MAPE=2.00%
02:15:12 |  Iter-08 | MAE=0.098 | MAPE=0.12%
02:21:08 |  Iter-09 | MAE=0.420 | MAPE=0.53%
02:30:52 |  Iter-10 | MAE=0.330 | MAPE=0.41%
02:35:50 |  Iter-11 | MAE=0.413 | MAPE=0.51%
02:43:17 |  Iter-12 | MAE=0.703 | MAPE=0.87%
02:49:21 |  Iter-13 | MAE=0.789 | MAPE=0.99%
02:54:12 |  Iter-14 | MAE=0.005 | MAPE=0.01%
03:03:17 |  Iter-15 | MAE=0.709 | MAPE=0.88%
03:10:12 |  Iter-16 | MAE=0.309 | MAPE=0.38%
03:15:49 |  Iter-17 | MAE=0.464 | MAPE=0.58%
03:22:24 |  Iter-18 | MAE=1.379 | MAPE=1.77%
03:28:21 |  Iter-19 | MAE=0.159 | MAPE=0.20%
03:35:10 |  Iter-20 | MAE=1.833 | MAPE=2.37%
03:40:21 |  Iter-21 | MAE=0.290 | MAPE=0.38%
03:44:54 |  Iter-22 | MAE=1.529 | MAPE=1.92%
03:50:50 |  Iter-23 | MAE=1.250 | MAPE=1.56%
04:01:57 |  Iter-24 | MAE=0.822 | MAPE=1.01%
04:09:43 |  Iter-25 | MAE=0.237 | MAPE=0.29%
04:17:50 |  Iter-26 | MAE=1.637 | MAPE=2.00%
04:24:13 |  Iter-27 | MAE=1.312 | MAPE=1.61%
04:29:37 |  Iter-28 | MAE=0.029 | MAPE=0.04%
04:36:25 |  Iter-29 | MAE=0.568 | MAPE=0.69%
04:43:59 |  Iter-30 | MAE=0.651 | MAPE=0.78%
04:48:51 |  Iter-31 | MAE=1.588 | MAPE=1.86%
04:54:21 |  Iter-32 | MAE=0.439 | MAPE=0.52%
05:02:53 |  Iter-33 | MAE=0.868 | MAPE=1.01%
05:08:11 |  Iter-34 | MAE=1.255 | MAPE=1.49%
05:13:15 |  Iter-35 | MAE=0.701 | MAPE=0.81%
05:18:27 |  Iter-36 | MAE=1.450 | MAPE=1.64%
05:30:46 |  Iter-37 | MAE=0.525 | MAPE=0.59%
05:36:55 |  Iter-38 | MAE=2.281 | MAPE=2.62%
05:44:42 |  Iter-39 | MAE=1.750 | MAPE=2.03%
05:51:30 |  Iter-40 | MAE=1.303 | MAPE=1.48%
05:56:40 |  Iter-41 | MAE=0.184 | MAPE=0.21%
06:03:47 |  Iter-42 | MAE=2.302 | MAPE=2.59%
06:09:04 |  Iter-43 | MAE=1.496 | MAPE=1.71%
06:13:26 |  Iter-44 | MAE=0.074 | MAPE=0.08%
06:20:58 |  Iter-45 | MAE=1.117 | MAPE=1.25%
06:26:59 |  Iter-46 | MAE=0.303 | MAPE=0.34%
06:32:53 |  Iter-47 | MAE=0.405 | MAPE=0.47%
06:42:41 |  Iter-48 | MAE=0.268 | MAPE=0.31%
06:49:17 |  Iter-49 | MAE=0.698 | MAPE=0.81%
06:56:11 |  Iter-50 | MAE=0.016 | MAPE=0.02%
07:02:43 |  Iter-51 | MAE=3.624 | MAPE=3.97%
07:11:44 |  Iter-52 | MAE=1.068 | MAPE=1.15%
07:18:10 |  Iter-53 | MAE=0.960 | MAPE=1.05%
07:26:00 |  Iter-54 | MAE=0.517 | MAPE=0.56%
07:35:34 |  Iter-55 | MAE=0.295 | MAPE=0.32%
07:40:28 |  Iter-56 | MAE=0.816 | MAPE=0.88%
07:48:12 |  Iter-57 | MAE=0.283 | MAPE=0.31%
07:58:06 |  Iter-58 | MAE=22.375 | MAPE=19.48%
08:06:55 |  Iter-59 | MAE=12.903 | MAPE=10.28%
08:28:09 |  Iter-60 | MAE=17.038 | MAPE=11.91%
08:33:08 |  Iter-61 | MAE=18.079 | MAPE=11.84%
08:37:48 |  Iter-62 | MAE=5.908 | MAPE=3.81%
08:42:22 |  Iter-63 | MAE=14.742 | MAPE=7.97%
08:47:02 |  Iter-64 | MAE=20.596 | MAPE=12.80%
08:51:36 |  Iter-65 | MAE=6.517 | MAPE=3.97%
08:55:43 |  Iter-66 | MAE=28.327 | MAPE=14.60%
09:00:02 |  Iter-67 | MAE=7.007 | MAPE=3.65%
09:03:43 |  Iter-68 | MAE=4.368 | MAPE=2.29%
09:07:59 |  Iter-69 | MAE=11.744 | MAPE=5.94%
09:12:10 |  Iter-70 | MAE=2.950 | MAPE=1.49%
09:16:14 |  Iter-71 | MAE=14.108 | MAPE=6.30%
09:22:09 |  Iter-72 | MAE=2.084 | MAPE=0.94%
09:27:31 |  Iter-73 | MAE=13.743 | MAPE=5.67%
09:31:29 |  Iter-74 | MAE=9.898 | MAPE=4.51%
09:39:35 |  Iter-75 | MAE=22.360 | MAPE=10.90%
09:44:38 |  Iter-76 | MAE=3.474 | MAPE=1.61%
09:48:53 |  Iter-77 | MAE=16.993 | MAPE=7.16%
09:54:17 |  Iter-78 | MAE=12.628 | MAPE=5.02%
09:59:07 |  Iter-79 | MAE=17.520 | MAPE=7.35%
10:04:04 |  Iter-80 | MAE=0.211 | MAPE=0.09%
10:08:54 |  Iter-81 | MAE=45.748 | MAPE=15.65%
10:24:21 |  Iter-82 | MAE=37.102 | MAPE=13.86%
10:31:17 |  Iter-83 | MAE=28.761 | MAPE=11.84%
10:37:19 |  Iter-84 | MAE=59.424 | MAPE=31.11%
10:41:54 |  Iter-85 | MAE=7.245 | MAPE=3.44%
10:46:01 |  Iter-86 | MAE=5.292 | MAPE=2.78%
10:50:45 |  Iter-87 | MAE=5.335 | MAPE=2.77%
10:55:14 |  Iter-88 | MAE=13.654 | MAPE=7.56%
