23:51:24 | ================================================================================
23:51:24 |  TEMPO | XANG | H1 | walkforward | seed=9999
23:51:24 | ================================================================================
23:51:24 | Data: 4513 rows | Features: 15
23:56:29 |  Iter-01 | MAE=0.234 | MAPE=0.30%
00:02:28 |  Iter-02 | MAE=0.250 | MAPE=0.32%
00:08:40 |  Iter-03 | MAE=0.635 | MAPE=0.81%
00:15:31 |  Iter-04 | MAE=2.752 | MAPE=3.66%
00:21:29 |  Iter-05 | MAE=0.423 | MAPE=0.57%
00:28:50 |  Iter-06 | MAE=0.696 | MAPE=0.94%
00:34:26 |  Iter-07 | MAE=1.363 | MAPE=1.86%
00:39:18 |  Iter-08 | MAE=0.441 | MAPE=0.59%
00:44:31 |  Iter-09 | MAE=1.047 | MAPE=1.42%
00:49:44 |  Iter-10 | MAE=0.821 | MAPE=1.11%
00:55:54 |  Iter-11 | MAE=0.318 | MAPE=0.43%
01:03:12 |  Iter-12 | MAE=0.836 | MAPE=1.14%
01:08:30 |  Iter-13 | MAE=1.137 | MAPE=1.57%
01:13:36 |  Iter-14 | MAE=0.462 | MAPE=0.63%
01:18:56 |  Iter-15 | MAE=0.087 | MAPE=0.12%
01:23:24 |  Iter-16 | MAE=0.233 | MAPE=0.32%
01:31:17 |  Iter-17 | MAE=0.530 | MAPE=0.73%
01:35:16 |  Iter-18 | MAE=1.623 | MAPE=2.29%
01:41:18 |  Iter-19 | MAE=0.247 | MAPE=0.34%
01:45:21 |  Iter-20 | MAE=0.927 | MAPE=1.32%
01:49:23 |  Iter-21 | MAE=0.939 | MAPE=1.33%
01:54:09 |  Iter-22 | MAE=1.016 | MAPE=1.40%
01:57:35 |  Iter-23 | MAE=0.934 | MAPE=1.29%
02:00:53 |  Iter-24 | MAE=0.277 | MAPE=0.38%
02:07:04 |  Iter-25 | MAE=1.490 | MAPE=2.06%
02:10:31 |  Iter-26 | MAE=1.709 | MAPE=2.37%
02:17:12 |  Iter-27 | MAE=0.512 | MAPE=0.72%
02:20:32 |  Iter-28 | MAE=0.195 | MAPE=0.27%
02:23:16 |  Iter-29 | MAE=0.442 | MAPE=0.62%
02:29:05 |  Iter-30 | MAE=0.487 | MAPE=0.67%
02:33:19 |  Iter-31 | MAE=0.015 | MAPE=0.02%
02:37:13 |  Iter-32 | MAE=0.691 | MAPE=0.95%
02:41:43 |  Iter-33 | MAE=0.994 | MAPE=1.36%
02:47:14 |  Iter-34 | MAE=1.208 | MAPE=1.69%
02:52:34 |  Iter-35 | MAE=0.344 | MAPE=0.47%
02:57:36 |  Iter-36 | MAE=0.699 | MAPE=0.94%
03:02:45 |  Iter-37 | MAE=1.045 | MAPE=1.40%
03:07:47 |  Iter-38 | MAE=3.176 | MAPE=4.42%
03:14:37 |  Iter-39 | MAE=2.539 | MAPE=3.53%
03:20:10 |  Iter-40 | MAE=0.899 | MAPE=1.22%
03:24:09 |  Iter-41 | MAE=1.156 | MAPE=1.56%
03:27:58 |  Iter-42 | MAE=1.128 | MAPE=1.52%
03:34:19 |  Iter-43 | MAE=1.254 | MAPE=1.66%
03:39:25 |  Iter-44 | MAE=1.371 | MAPE=1.77%
03:47:34 |  Iter-45 | MAE=0.516 | MAPE=0.68%
03:51:37 |  Iter-46 | MAE=1.390 | MAPE=1.83%
03:56:46 |  Iter-47 | MAE=2.031 | MAPE=2.79%
04:02:22 |  Iter-48 | MAE=0.447 | MAPE=0.61%
04:07:12 |  Iter-49 | MAE=0.531 | MAPE=0.73%
04:13:34 |  Iter-50 | MAE=0.289 | MAPE=0.40%
04:22:33 |  Iter-51 | MAE=2.625 | MAPE=3.41%
04:27:21 |  Iter-52 | MAE=1.653 | MAPE=2.10%
04:32:12 |  Iter-53 | MAE=0.445 | MAPE=0.57%
04:37:27 |  Iter-54 | MAE=1.770 | MAPE=2.21%
04:41:24 |  Iter-55 | MAE=1.058 | MAPE=1.32%
04:50:22 |  Iter-56 | MAE=1.007 | MAPE=1.25%
04:54:17 |  Iter-57 | MAE=0.487 | MAPE=0.60%
04:59:38 |  Iter-58 | MAE=10.488 | MAPE=11.46%
05:11:37 |  Iter-59 | MAE=6.834 | MAPE=7.03%
05:14:44 |  Iter-60 | MAE=3.566 | MAPE=3.48%
05:19:53 |  Iter-61 | MAE=15.038 | MAPE=13.85%
05:21:39 |  Iter-62 | MAE=5.918 | MAPE=5.00%
05:23:34 |  Iter-63 | MAE=20.244 | MAPE=14.13%
05:26:39 |  Iter-64 | MAE=17.985 | MAPE=14.60%
05:29:24 |  Iter-65 | MAE=4.171 | MAPE=3.48%
05:31:59 |  Iter-66 | MAE=10.803 | MAPE=7.90%
05:34:50 |  Iter-67 | MAE=5.286 | MAPE=3.70%
05:39:57 |  Iter-68 | MAE=0.457 | MAPE=0.31%
05:42:55 |  Iter-69 | MAE=1.770 | MAPE=1.22%
05:46:05 |  Iter-70 | MAE=5.665 | MAPE=3.87%
05:48:01 |  Iter-71 | MAE=2.542 | MAPE=1.64%
05:49:56 |  Iter-72 | MAE=0.887 | MAPE=0.56%
05:52:31 |  Iter-73 | MAE=0.470 | MAPE=0.28%
05:55:27 |  Iter-74 | MAE=6.840 | MAPE=4.71%
05:58:46 |  Iter-75 | MAE=17.050 | MAPE=12.79%
06:01:16 |  Iter-76 | MAE=9.339 | MAPE=7.20%
06:03:13 |  Iter-77 | MAE=0.582 | MAPE=0.44%
06:05:23 |  Iter-78 | MAE=6.642 | MAPE=4.61%
06:08:01 |  Iter-79 | MAE=1.154 | MAPE=0.81%
06:10:58 |  Iter-80 | MAE=3.438 | MAPE=2.46%
06:13:34 |  Iter-81 | MAE=7.987 | MAPE=5.40%
06:16:00 |  Iter-82 | MAE=7.249 | MAPE=4.97%
06:18:20 |  Iter-83 | MAE=5.704 | MAPE=4.00%
06:21:39 |  Iter-84 | MAE=27.067 | MAPE=22.05%
06:24:30 |  Iter-85 | MAE=12.362 | MAPE=9.30%
06:26:38 |  Iter-86 | MAE=0.339 | MAPE=0.26%
06:28:51 |  Iter-87 | MAE=0.869 | MAPE=0.67%
06:32:48 |  Iter-88 | MAE=7.211 | MAPE=5.69%
06:37:03 |  Iter-89 | MAE=2.166 | MAPE=1.79%
06:39:12 |  Iter-90 | MAE=2.407 | MAPE=1.98%
06:41:42 |  Iter-91 | MAE=2.176 | MAPE=1.72%
06:43:46 |  Iter-92 | MAE=3.967 | MAPE=3.26%
06:46:02 |  Iter-93 | MAE=4.053 | MAPE=3.35%
06:48:33 |  Iter-94 | MAE=5.343 | MAPE=4.23%
06:51:20 |  Iter-95 | MAE=0.482 | MAPE=0.38%
06:53:27 |  Iter-96 | MAE=1.300 | MAPE=1.01%
06:55:25 |  Iter-97 | MAE=2.702 | MAPE=2.09%
07:01:45 |  Iter-98 | MAE=0.164 | MAPE=0.13%
07:03:55 |  Iter-99 | MAE=0.676 | MAPE=0.52%
07:08:04 |  Iter-100 | MAE=0.697 | MAPE=0.52%
07:08:04 | 
 OVERALL: MAE=3.059, MAPE=2.71%, R2=0.9661 (26200.8s)
07:08:04 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TEMPO/XANG_H1_seed9999/model_checkpoint.pth
07:08:04 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TEMPO/XANG_H1_seed9999/processor.pkl
