16:17:02 | ================================================================================
16:17:02 |  TFT | DAU | H1 | walkforward | seed=777
16:17:02 | ================================================================================
16:17:02 | Data: 4513 rows | Features: 16
16:19:27 |  Iter-01 | MAE=1.369 | MAPE=1.66%
16:21:37 |  Iter-02 | MAE=0.699 | MAPE=0.85%
16:23:55 |  Iter-03 | MAE=1.011 | MAPE=1.24%
16:26:31 |  Iter-04 | MAE=1.244 | MAPE=1.56%
16:28:56 |  Iter-05 | MAE=0.127 | MAPE=0.16%
16:31:10 |  Iter-06 | MAE=0.438 | MAPE=0.55%
16:33:47 |  Iter-07 | MAE=1.633 | MAPE=2.07%
16:36:04 |  Iter-08 | MAE=0.163 | MAPE=0.21%
16:38:25 |  Iter-09 | MAE=0.989 | MAPE=1.24%
16:40:39 |  Iter-10 | MAE=0.245 | MAPE=0.30%
16:42:57 |  Iter-11 | MAE=0.542 | MAPE=0.67%
16:45:18 |  Iter-12 | MAE=0.718 | MAPE=0.89%
16:47:32 |  Iter-13 | MAE=0.081 | MAPE=0.10%
16:50:01 |  Iter-14 | MAE=0.049 | MAPE=0.06%
16:52:27 |  Iter-15 | MAE=0.752 | MAPE=0.94%
16:54:44 |  Iter-16 | MAE=0.508 | MAPE=0.63%
16:57:09 |  Iter-17 | MAE=0.654 | MAPE=0.82%
16:59:31 |  Iter-18 | MAE=0.853 | MAPE=1.09%
17:01:39 |  Iter-19 | MAE=0.401 | MAPE=0.50%
17:04:18 |  Iter-20 | MAE=1.756 | MAPE=2.27%
17:06:50 |  Iter-21 | MAE=0.517 | MAPE=0.67%
17:09:24 |  Iter-22 | MAE=1.500 | MAPE=1.89%
17:12:02 |  Iter-23 | MAE=0.526 | MAPE=0.66%
17:14:47 |  Iter-24 | MAE=0.411 | MAPE=0.51%
17:17:36 |  Iter-25 | MAE=0.698 | MAPE=0.85%
17:20:13 |  Iter-26 | MAE=1.883 | MAPE=2.30%
17:22:42 |  Iter-27 | MAE=1.946 | MAPE=2.38%
17:25:36 |  Iter-28 | MAE=1.130 | MAPE=1.38%
17:28:05 |  Iter-29 | MAE=0.389 | MAPE=0.47%
17:30:49 |  Iter-30 | MAE=0.798 | MAPE=0.95%
17:33:31 |  Iter-31 | MAE=2.055 | MAPE=2.41%
17:36:17 |  Iter-32 | MAE=0.119 | MAPE=0.14%
17:38:53 |  Iter-33 | MAE=0.705 | MAPE=0.82%
17:41:25 |  Iter-34 | MAE=0.911 | MAPE=1.08%
17:44:06 |  Iter-35 | MAE=0.828 | MAPE=0.96%
17:46:26 |  Iter-36 | MAE=1.886 | MAPE=2.13%
17:48:58 |  Iter-37 | MAE=1.826 | MAPE=2.06%
17:51:29 |  Iter-38 | MAE=2.066 | MAPE=2.38%
17:53:48 |  Iter-39 | MAE=1.092 | MAPE=1.27%
17:56:15 |  Iter-40 | MAE=1.381 | MAPE=1.57%
17:58:54 |  Iter-41 | MAE=0.178 | MAPE=0.20%
18:01:23 |  Iter-42 | MAE=2.415 | MAPE=2.72%
18:03:51 |  Iter-43 | MAE=1.349 | MAPE=1.54%
18:06:09 |  Iter-44 | MAE=0.385 | MAPE=0.44%
18:08:43 |  Iter-45 | MAE=1.228 | MAPE=1.38%
18:11:04 |  Iter-46 | MAE=1.005 | MAPE=1.13%
18:13:24 |  Iter-47 | MAE=0.264 | MAPE=0.30%
18:15:44 |  Iter-48 | MAE=0.644 | MAPE=0.75%
18:17:58 |  Iter-49 | MAE=1.058 | MAPE=1.22%
18:20:10 |  Iter-50 | MAE=0.693 | MAPE=0.80%
18:22:35 |  Iter-51 | MAE=3.145 | MAPE=3.45%
18:25:01 |  Iter-52 | MAE=0.603 | MAPE=0.65%
18:27:15 |  Iter-53 | MAE=0.875 | MAPE=0.96%
18:29:41 |  Iter-54 | MAE=0.757 | MAPE=0.82%
18:32:00 |  Iter-55 | MAE=0.585 | MAPE=0.64%
18:34:21 |  Iter-56 | MAE=1.144 | MAPE=1.24%
18:36:31 |  Iter-57 | MAE=0.192 | MAPE=0.21%
18:38:52 |  Iter-58 | MAE=21.980 | MAPE=19.14%
18:41:10 |  Iter-59 | MAE=10.326 | MAPE=8.22%
18:43:31 |  Iter-60 | MAE=15.763 | MAPE=11.01%
18:45:57 |  Iter-61 | MAE=14.024 | MAPE=9.19%
18:48:25 |  Iter-62 | MAE=1.871 | MAPE=1.20%
18:50:50 |  Iter-63 | MAE=27.324 | MAPE=14.78%
18:53:15 |  Iter-64 | MAE=26.614 | MAPE=16.54%
18:55:35 |  Iter-65 | MAE=3.824 | MAPE=2.33%
18:57:57 |  Iter-66 | MAE=28.351 | MAPE=14.61%
19:00:40 |  Iter-67 | MAE=9.519 | MAPE=4.96%
19:03:21 |  Iter-68 | MAE=11.537 | MAPE=6.06%
19:06:06 |  Iter-69 | MAE=11.355 | MAPE=5.74%
19:09:11 |  Iter-70 | MAE=9.421 | MAPE=4.75%
19:11:41 |  Iter-71 | MAE=17.676 | MAPE=7.89%
19:13:50 |  Iter-72 | MAE=0.620 | MAPE=0.28%
19:16:11 |  Iter-73 | MAE=12.803 | MAPE=5.28%
19:18:27 |  Iter-74 | MAE=10.338 | MAPE=4.71%
19:20:49 |  Iter-75 | MAE=19.079 | MAPE=9.30%
19:23:24 |  Iter-76 | MAE=6.815 | MAPE=3.15%
19:25:54 |  Iter-77 | MAE=17.533 | MAPE=7.39%
19:28:35 |  Iter-78 | MAE=8.075 | MAPE=3.21%
19:30:50 |  Iter-79 | MAE=16.906 | MAPE=7.09%
19:33:08 |  Iter-80 | MAE=1.369 | MAPE=0.56%
19:35:30 |  Iter-81 | MAE=48.750 | MAPE=16.68%
19:38:00 |  Iter-82 | MAE=27.456 | MAPE=10.25%
19:41:08 |  Iter-83 | MAE=19.661 | MAPE=8.13%
19:44:24 |  Iter-84 | MAE=56.120 | MAPE=29.39%
19:46:43 |  Iter-85 | MAE=7.662 | MAPE=3.66%
19:49:13 |  Iter-86 | MAE=3.026 | MAPE=1.51%
19:51:43 |  Iter-87 | MAE=5.750 | MAPE=3.04%
19:54:20 |  Iter-88 | MAE=16.159 | MAPE=8.98%
19:56:54 |  Iter-89 | MAE=10.905 | MAPE=6.57%
19:59:13 |  Iter-90 | MAE=2.000 | MAPE=1.18%
20:01:41 |  Iter-91 | MAE=4.635 | MAPE=2.84%
20:04:20 |  Iter-92 | MAE=9.322 | MAPE=6.30%
20:07:04 |  Iter-93 | MAE=5.503 | MAPE=3.80%
20:09:42 |  Iter-94 | MAE=11.139 | MAPE=6.94%
20:12:11 |  Iter-95 | MAE=1.399 | MAPE=0.86%
20:14:56 |  Iter-96 | MAE=3.451 | MAPE=2.08%
20:18:27 |  Iter-97 | MAE=4.094 | MAPE=2.45%
20:21:23 |  Iter-98 | MAE=7.276 | MAPE=4.55%
20:23:54 |  Iter-99 | MAE=2.446 | MAPE=1.51%
20:26:10 |  Iter-100 | MAE=2.997 | MAPE=1.75%
20:26:10 | 
 OVERALL: MAE=6.063, MAPE=3.53%, R2=0.9617 (14948.1s)
20:26:10 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TFT/DAU_H1_seed777/model_checkpoint.pth
20:26:10 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TFT/DAU_H1_seed777/processor.pkl
