01:54:38 | ================================================================================
01:54:38 |  TFT | XANG | H1 | walkforward | seed=9999
01:54:38 | ================================================================================
01:54:38 | ================================================================================
01:54:38 |  TFT | XANG | H1 | walkforward | seed=777
01:54:38 | ================================================================================
01:54:38 | Data: 4513 rows | Features: 15
01:54:38 | Data: 4513 rows | Features: 15
01:57:10 |  Iter-01 | MAE=0.077 | MAPE=0.10%
01:57:28 |  Iter-01 | MAE=0.063 | MAPE=0.08%
01:59:30 |  Iter-02 | MAE=0.456 | MAPE=0.58%
01:59:38 |  Iter-02 | MAE=0.409 | MAPE=0.52%
02:01:57 |  Iter-03 | MAE=0.558 | MAPE=0.71%
02:02:27 |  Iter-03 | MAE=0.352 | MAPE=0.45%
02:04:21 |  Iter-04 | MAE=2.879 | MAPE=3.83%
02:04:48 |  Iter-04 | MAE=2.769 | MAPE=3.68%
02:06:38 |  Iter-05 | MAE=0.402 | MAPE=0.54%
02:07:05 |  Iter-05 | MAE=0.348 | MAPE=0.47%
02:09:35 |  Iter-06 | MAE=0.936 | MAPE=1.26%
02:09:45 |  Iter-06 | MAE=1.370 | MAPE=1.84%
02:11:52 |  Iter-07 | MAE=1.291 | MAPE=1.76%
02:11:59 |  Iter-07 | MAE=1.138 | MAPE=1.55%
02:14:00 |  Iter-08 | MAE=0.492 | MAPE=0.67%
02:14:17 |  Iter-08 | MAE=0.596 | MAPE=0.81%
02:16:36 |  Iter-09 | MAE=0.918 | MAPE=1.24%
02:16:36 |  Iter-09 | MAE=1.237 | MAPE=1.67%
02:18:42 |  Iter-10 | MAE=0.688 | MAPE=0.93%
02:18:59 |  Iter-10 | MAE=0.725 | MAPE=0.98%
02:20:50 |  Iter-11 | MAE=0.275 | MAPE=0.37%
02:21:25 |  Iter-11 | MAE=0.019 | MAPE=0.03%
02:23:17 |  Iter-12 | MAE=0.854 | MAPE=1.17%
02:23:41 |  Iter-12 | MAE=0.805 | MAPE=1.10%
02:25:34 |  Iter-13 | MAE=0.124 | MAPE=0.17%
02:26:04 |  Iter-13 | MAE=0.676 | MAPE=0.93%
02:27:44 |  Iter-14 | MAE=0.807 | MAPE=1.11%
02:28:11 |  Iter-14 | MAE=0.440 | MAPE=0.61%
02:30:07 |  Iter-15 | MAE=0.164 | MAPE=0.23%
02:31:19 |  Iter-15 | MAE=0.042 | MAPE=0.06%
02:32:21 |  Iter-16 | MAE=0.422 | MAPE=0.58%
02:33:52 |  Iter-16 | MAE=0.114 | MAPE=0.16%
02:34:36 |  Iter-17 | MAE=0.899 | MAPE=1.24%
02:36:06 |  Iter-17 | MAE=0.982 | MAPE=1.36%
02:36:55 |  Iter-18 | MAE=1.518 | MAPE=2.15%
02:39:00 |  Iter-18 | MAE=0.667 | MAPE=0.94%
02:39:17 |  Iter-19 | MAE=0.423 | MAPE=0.58%
02:41:22 |  Iter-19 | MAE=0.195 | MAPE=0.27%
02:41:38 |  Iter-20 | MAE=1.393 | MAPE=1.99%
02:43:41 |  Iter-20 | MAE=0.909 | MAPE=1.30%
02:43:59 |  Iter-21 | MAE=0.935 | MAPE=1.33%
02:45:56 |  Iter-21 | MAE=1.059 | MAPE=1.50%
02:46:26 |  Iter-22 | MAE=0.672 | MAPE=0.93%
02:48:00 |  Iter-22 | MAE=1.229 | MAPE=1.70%
02:48:43 |  Iter-23 | MAE=0.858 | MAPE=1.19%
02:50:06 |  Iter-23 | MAE=0.967 | MAPE=1.34%
02:51:01 |  Iter-24 | MAE=0.054 | MAPE=0.07%
02:52:37 |  Iter-24 | MAE=0.083 | MAPE=0.11%
02:53:28 |  Iter-25 | MAE=1.893 | MAPE=2.61%
02:55:25 |  Iter-25 | MAE=1.283 | MAPE=1.77%
02:55:46 |  Iter-26 | MAE=2.123 | MAPE=2.95%
02:57:40 |  Iter-26 | MAE=1.684 | MAPE=2.34%
02:57:57 |  Iter-27 | MAE=0.826 | MAPE=1.16%
03:00:01 |  Iter-27 | MAE=0.409 | MAPE=0.57%
03:00:40 |  Iter-28 | MAE=0.056 | MAPE=0.08%
03:02:18 |  Iter-28 | MAE=0.122 | MAPE=0.17%
03:03:05 |  Iter-29 | MAE=0.567 | MAPE=0.79%
03:04:32 |  Iter-29 | MAE=0.074 | MAPE=0.10%
03:05:38 |  Iter-30 | MAE=0.366 | MAPE=0.50%
03:07:06 |  Iter-30 | MAE=0.419 | MAPE=0.58%
03:08:20 |  Iter-31 | MAE=0.040 | MAPE=0.05%
03:09:24 |  Iter-31 | MAE=0.220 | MAPE=0.30%
03:10:39 |  Iter-32 | MAE=0.661 | MAPE=0.92%
03:11:39 |  Iter-32 | MAE=0.519 | MAPE=0.71%
03:12:58 |  Iter-33 | MAE=0.583 | MAPE=0.80%
03:13:59 |  Iter-33 | MAE=1.213 | MAPE=1.67%
03:15:20 |  Iter-34 | MAE=0.924 | MAPE=1.30%
03:16:34 |  Iter-34 | MAE=0.828 | MAPE=1.16%
03:17:44 |  Iter-35 | MAE=0.800 | MAPE=1.09%
03:19:03 |  Iter-35 | MAE=0.301 | MAPE=0.41%
03:20:40 |  Iter-36 | MAE=0.268 | MAPE=0.36%
03:21:30 |  Iter-36 | MAE=0.369 | MAPE=0.49%
03:23:16 |  Iter-37 | MAE=1.925 | MAPE=2.59%
03:24:21 |  Iter-37 | MAE=1.268 | MAPE=1.70%
03:25:38 |  Iter-38 | MAE=3.168 | MAPE=4.42%
03:27:01 |  Iter-38 | MAE=2.624 | MAPE=3.66%
03:27:46 |  Iter-39 | MAE=2.377 | MAPE=3.31%
03:29:23 |  Iter-39 | MAE=1.848 | MAPE=2.57%
03:30:26 |  Iter-40 | MAE=1.340 | MAPE=1.81%
03:31:38 |  Iter-40 | MAE=1.224 | MAPE=1.66%
03:32:50 |  Iter-41 | MAE=0.988 | MAPE=1.33%
03:33:52 |  Iter-41 | MAE=0.623 | MAPE=0.84%
03:35:18 |  Iter-42 | MAE=0.937 | MAPE=1.26%
03:36:18 |  Iter-42 | MAE=0.840 | MAPE=1.13%
03:37:38 |  Iter-43 | MAE=1.954 | MAPE=2.58%
03:38:31 |  Iter-43 | MAE=1.305 | MAPE=1.72%
03:39:52 |  Iter-44 | MAE=1.251 | MAPE=1.61%
03:40:56 |  Iter-44 | MAE=1.241 | MAPE=1.60%
03:42:35 |  Iter-45 | MAE=0.470 | MAPE=0.62%
03:43:15 |  Iter-45 | MAE=0.930 | MAPE=1.22%
03:44:42 |  Iter-46 | MAE=1.137 | MAPE=1.50%
03:45:45 |  Iter-46 | MAE=1.834 | MAPE=2.42%
03:47:21 |  Iter-47 | MAE=1.408 | MAPE=1.94%
03:48:44 |  Iter-47 | MAE=1.957 | MAPE=2.69%
03:49:43 |  Iter-48 | MAE=0.445 | MAPE=0.61%
03:51:24 |  Iter-48 | MAE=0.139 | MAPE=0.19%
03:52:00 |  Iter-49 | MAE=0.683 | MAPE=0.94%
03:53:45 |  Iter-49 | MAE=0.632 | MAPE=0.87%
03:54:09 |  Iter-50 | MAE=0.216 | MAPE=0.30%
03:55:48 |  Iter-50 | MAE=0.474 | MAPE=0.65%
03:56:26 |  Iter-51 | MAE=2.559 | MAPE=3.32%
03:57:43 |  Iter-51 | MAE=3.478 | MAPE=4.51%
03:58:40 |  Iter-52 | MAE=1.224 | MAPE=1.55%
03:59:40 |  Iter-52 | MAE=1.141 | MAPE=1.44%
04:00:59 |  Iter-53 | MAE=0.179 | MAPE=0.23%
04:02:05 |  Iter-53 | MAE=0.270 | MAPE=0.34%
04:03:31 |  Iter-54 | MAE=2.515 | MAPE=3.14%
04:04:23 |  Iter-54 | MAE=1.744 | MAPE=2.18%
04:06:04 |  Iter-55 | MAE=0.788 | MAPE=0.98%
04:06:40 |  Iter-55 | MAE=1.411 | MAPE=1.76%
04:08:34 |  Iter-56 | MAE=0.187 | MAPE=0.23%
04:08:55 |  Iter-56 | MAE=0.446 | MAPE=0.56%
04:10:46 |  Iter-57 | MAE=0.116 | MAPE=0.14%
04:11:12 |  Iter-57 | MAE=0.499 | MAPE=0.62%
04:13:04 |  Iter-58 | MAE=10.630 | MAPE=11.61%
04:13:20 |  Iter-58 | MAE=10.588 | MAPE=11.57%
04:15:34 |  Iter-59 | MAE=5.692 | MAPE=5.86%
04:15:54 |  Iter-59 | MAE=5.465 | MAPE=5.62%
04:17:42 |  Iter-60 | MAE=5.213 | MAPE=5.10%
04:18:11 |  Iter-60 | MAE=3.894 | MAPE=3.80%
04:20:14 |  Iter-61 | MAE=10.727 | MAPE=9.88%
04:20:36 |  Iter-61 | MAE=8.813 | MAPE=8.11%
04:22:34 |  Iter-62 | MAE=7.900 | MAPE=6.69%
04:22:57 |  Iter-62 | MAE=6.916 | MAPE=5.86%
04:24:55 |  Iter-63 | MAE=22.202 | MAPE=15.49%
04:25:18 |  Iter-63 | MAE=24.702 | MAPE=17.23%
04:27:09 |  Iter-64 | MAE=21.370 | MAPE=17.36%
04:27:47 |  Iter-64 | MAE=21.437 | MAPE=17.40%
04:29:28 |  Iter-65 | MAE=2.360 | MAPE=1.97%
04:30:19 |  Iter-65 | MAE=3.773 | MAPE=2.98%
04:31:36 |  Iter-66 | MAE=12.676 | MAPE=9.30%
04:32:40 |  Iter-66 | MAE=12.744 | MAPE=9.32%
04:33:47 |  Iter-67 | MAE=3.045 | MAPE=2.13%
04:34:56 |  Iter-67 | MAE=2.855 | MAPE=2.03%
04:36:07 |  Iter-68 | MAE=0.154 | MAPE=0.10%
04:37:16 |  Iter-68 | MAE=0.944 | MAPE=0.63%
04:38:29 |  Iter-69 | MAE=4.732 | MAPE=3.25%
04:39:35 |  Iter-69 | MAE=5.161 | MAPE=3.54%
04:40:48 |  Iter-70 | MAE=3.443 | MAPE=2.35%
04:41:49 |  Iter-70 | MAE=3.068 | MAPE=2.09%
04:44:14 |  Iter-71 | MAE=8.151 | MAPE=5.15%
04:44:57 |  Iter-71 | MAE=1.954 | MAPE=1.25%
04:46:21 |  Iter-72 | MAE=0.492 | MAPE=0.31%
04:47:23 |  Iter-72 | MAE=1.486 | MAPE=0.93%
04:48:37 |  Iter-73 | MAE=2.145 | MAPE=1.32%
04:49:36 |  Iter-73 | MAE=1.128 | MAPE=0.69%
04:51:18 |  Iter-74 | MAE=7.799 | MAPE=5.37%
04:52:00 |  Iter-74 | MAE=8.820 | MAPE=6.08%
04:53:31 |  Iter-75 | MAE=15.433 | MAPE=11.58%
04:54:10 |  Iter-75 | MAE=14.033 | MAPE=10.53%
04:55:43 |  Iter-76 | MAE=5.951 | MAPE=4.59%
04:58:06 |  Iter-77 | MAE=2.490 | MAPE=1.88%
04:58:36 |  Iter-76 | MAE=8.337 | MAPE=6.42%
05:00:54 |  Iter-77 | MAE=1.021 | MAPE=0.78%
05:01:33 |  Iter-78 | MAE=4.693 | MAPE=3.24%
05:03:03 |  Iter-78 | MAE=7.592 | MAPE=5.28%
05:04:18 |  Iter-79 | MAE=1.642 | MAPE=1.16%
05:05:19 |  Iter-79 | MAE=0.663 | MAPE=0.46%
05:07:25 |  Iter-80 | MAE=0.222 | MAPE=0.16%
05:07:47 |  Iter-80 | MAE=4.463 | MAPE=3.20%
05:09:56 |  Iter-81 | MAE=10.417 | MAPE=7.04%
05:10:12 |  Iter-81 | MAE=11.462 | MAPE=7.74%
05:12:28 |  Iter-82 | MAE=7.164 | MAPE=4.92%
05:12:37 |  Iter-82 | MAE=5.959 | MAPE=4.10%
05:14:43 |  Iter-83 | MAE=5.945 | MAPE=4.16%
05:14:52 |  Iter-83 | MAE=6.119 | MAPE=4.29%
05:17:01 |  Iter-84 | MAE=25.830 | MAPE=21.05%
05:17:39 |  Iter-84 | MAE=28.096 | MAPE=22.90%
05:19:10 |  Iter-85 | MAE=11.159 | MAPE=8.40%
05:19:51 |  Iter-85 | MAE=11.313 | MAPE=8.52%
05:21:28 |  Iter-86 | MAE=1.685 | MAPE=1.30%
05:21:54 |  Iter-86 | MAE=1.509 | MAPE=1.16%
05:23:34 |  Iter-87 | MAE=0.752 | MAPE=0.57%
05:23:58 |  Iter-87 | MAE=0.841 | MAPE=0.64%
05:26:08 |  Iter-88 | MAE=8.327 | MAPE=6.57%
05:27:32 |  Iter-88 | MAE=9.660 | MAPE=7.63%
05:28:15 |  Iter-89 | MAE=2.855 | MAPE=2.35%
05:29:39 |  Iter-89 | MAE=3.032 | MAPE=2.50%
05:30:24 |  Iter-90 | MAE=2.243 | MAPE=1.84%
05:31:55 |  Iter-90 | MAE=1.864 | MAPE=1.53%
05:32:48 |  Iter-91 | MAE=2.384 | MAPE=1.88%
05:34:23 |  Iter-91 | MAE=2.126 | MAPE=1.68%
05:35:10 |  Iter-92 | MAE=1.822 | MAPE=1.50%
05:36:24 |  Iter-92 | MAE=1.448 | MAPE=1.18%
05:37:26 |  Iter-93 | MAE=4.219 | MAPE=3.48%
05:38:35 |  Iter-93 | MAE=2.949 | MAPE=2.45%
05:39:30 |  Iter-94 | MAE=3.993 | MAPE=3.16%
05:40:33 |  Iter-94 | MAE=2.650 | MAPE=2.11%
05:41:59 |  Iter-95 | MAE=3.190 | MAPE=2.49%
05:42:50 |  Iter-95 | MAE=1.557 | MAPE=1.21%
05:44:07 |  Iter-96 | MAE=2.649 | MAPE=2.10%
05:44:59 |  Iter-96 | MAE=2.776 | MAPE=2.19%
05:46:10 |  Iter-97 | MAE=2.215 | MAPE=1.71%
05:47:19 |  Iter-97 | MAE=2.727 | MAPE=2.11%
05:48:20 |  Iter-98 | MAE=0.743 | MAPE=0.57%
05:49:52 |  Iter-98 | MAE=0.631 | MAPE=0.50%
05:50:38 |  Iter-99 | MAE=0.460 | MAPE=0.34%
05:51:59 |  Iter-99 | MAE=0.120 | MAPE=0.09%
05:52:57 |  Iter-100 | MAE=0.675 | MAPE=0.50%
05:52:57 | 
 OVERALL: MAE=3.096, MAPE=2.70%, R2=0.9648 (14303.2s)
05:52:57 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TFT/XANG_H1_seed777/model_checkpoint.pth
05:52:57 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TFT/XANG_H1_seed777/processor.pkl
05:54:03 |  Iter-100 | MAE=1.869 | MAPE=1.38%
05:54:03 | 
 OVERALL: MAE=3.105, MAPE=2.73%, R2=0.9640 (14368.4s)
05:54:03 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TFT/XANG_H1_seed9999/model_checkpoint.pth
05:54:03 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TFT/XANG_H1_seed9999/processor.pkl
