01:54:40 | ================================================================================
01:54:40 |  TFT | XANG | H1 | walkforward | seed=123
01:54:40 | ================================================================================
01:54:41 | Data: 4513 rows | Features: 15
01:57:20 |  Iter-01 | MAE=0.122 | MAPE=0.16%
01:59:42 |  Iter-02 | MAE=0.341 | MAPE=0.44%
02:02:17 |  Iter-03 | MAE=0.480 | MAPE=0.61%
02:05:12 |  Iter-04 | MAE=2.523 | MAPE=3.36%
02:07:41 |  Iter-05 | MAE=0.396 | MAPE=0.53%
02:10:19 |  Iter-06 | MAE=0.597 | MAPE=0.80%
02:13:06 |  Iter-07 | MAE=1.086 | MAPE=1.48%
02:16:18 |  Iter-08 | MAE=0.350 | MAPE=0.48%
02:18:47 |  Iter-09 | MAE=1.609 | MAPE=2.18%
02:21:40 |  Iter-10 | MAE=0.214 | MAPE=0.29%
02:24:25 |  Iter-11 | MAE=0.170 | MAPE=0.23%
02:27:15 |  Iter-12 | MAE=0.833 | MAPE=1.14%
02:29:42 |  Iter-13 | MAE=0.040 | MAPE=0.06%
02:32:23 |  Iter-14 | MAE=0.108 | MAPE=0.15%
02:34:28 |  Iter-15 | MAE=0.232 | MAPE=0.32%
02:37:04 |  Iter-16 | MAE=0.563 | MAPE=0.77%
02:40:01 |  Iter-17 | MAE=0.566 | MAPE=0.78%
02:42:29 |  Iter-18 | MAE=1.207 | MAPE=1.71%
02:45:11 |  Iter-19 | MAE=0.479 | MAPE=0.67%
02:47:33 |  Iter-20 | MAE=1.098 | MAPE=1.57%
02:49:53 |  Iter-21 | MAE=0.768 | MAPE=1.09%
02:52:28 |  Iter-22 | MAE=1.183 | MAPE=1.63%
02:55:00 |  Iter-23 | MAE=0.952 | MAPE=1.32%
02:57:31 |  Iter-24 | MAE=0.297 | MAPE=0.41%
03:00:27 |  Iter-25 | MAE=1.249 | MAPE=1.72%
03:03:09 |  Iter-26 | MAE=2.001 | MAPE=2.78%
03:05:32 |  Iter-27 | MAE=0.740 | MAPE=1.04%
03:08:00 |  Iter-28 | MAE=0.163 | MAPE=0.23%
03:10:18 |  Iter-29 | MAE=0.342 | MAPE=0.48%
03:13:12 |  Iter-30 | MAE=0.515 | MAPE=0.71%
03:15:36 |  Iter-31 | MAE=0.445 | MAPE=0.61%
03:18:07 |  Iter-32 | MAE=0.644 | MAPE=0.90%
03:20:46 |  Iter-33 | MAE=0.406 | MAPE=0.55%
03:23:24 |  Iter-34 | MAE=0.610 | MAPE=0.85%
03:25:42 |  Iter-35 | MAE=0.613 | MAPE=0.83%
03:28:19 |  Iter-36 | MAE=0.392 | MAPE=0.53%
03:31:18 |  Iter-37 | MAE=1.392 | MAPE=1.87%
03:33:46 |  Iter-38 | MAE=3.368 | MAPE=4.69%
03:36:28 |  Iter-39 | MAE=1.807 | MAPE=2.51%
03:39:23 |  Iter-40 | MAE=0.729 | MAPE=0.99%
03:42:10 |  Iter-41 | MAE=0.713 | MAPE=0.96%
03:44:43 |  Iter-42 | MAE=0.784 | MAPE=1.05%
03:47:17 |  Iter-43 | MAE=1.451 | MAPE=1.91%
03:50:21 |  Iter-44 | MAE=2.158 | MAPE=2.78%
03:53:07 |  Iter-45 | MAE=0.390 | MAPE=0.51%
03:56:18 |  Iter-46 | MAE=1.709 | MAPE=2.25%
03:58:48 |  Iter-47 | MAE=1.895 | MAPE=2.60%
04:01:18 |  Iter-48 | MAE=0.243 | MAPE=0.34%
04:04:07 |  Iter-49 | MAE=0.793 | MAPE=1.09%
