13:49:13 | ================================================================================
13:49:13 |  TTM | DAU | H1 | walkforward | seed=123
13:49:13 | ================================================================================
13:49:14 | Data: 4513 rows | Features: 16
13:53:29 |  Iter-01 | MAE=1.441 | MAPE=1.75%
13:58:10 |  Iter-02 | MAE=0.625 | MAPE=0.76%
14:02:50 |  Iter-03 | MAE=1.220 | MAPE=1.50%
14:06:59 |  Iter-04 | MAE=1.159 | MAPE=1.45%
14:13:21 |  Iter-05 | MAE=0.214 | MAPE=0.27%
14:17:37 |  Iter-06 | MAE=0.788 | MAPE=0.98%
14:21:55 |  Iter-07 | MAE=1.498 | MAPE=1.90%
14:26:11 |  Iter-08 | MAE=0.846 | MAPE=1.07%
14:29:20 |  Iter-09 | MAE=0.714 | MAPE=0.89%
14:32:36 |  Iter-10 | MAE=0.252 | MAPE=0.31%
14:37:26 |  Iter-11 | MAE=0.447 | MAPE=0.55%
14:42:07 |  Iter-12 | MAE=0.671 | MAPE=0.83%
14:46:51 |  Iter-13 | MAE=0.546 | MAPE=0.69%
14:50:53 |  Iter-14 | MAE=0.272 | MAPE=0.34%
14:54:25 |  Iter-15 | MAE=0.887 | MAPE=1.11%
14:58:53 |  Iter-16 | MAE=0.869 | MAPE=1.08%
15:02:59 |  Iter-17 | MAE=0.443 | MAPE=0.56%
15:06:21 |  Iter-18 | MAE=1.252 | MAPE=1.60%
15:10:18 |  Iter-19 | MAE=0.505 | MAPE=0.64%
15:13:52 |  Iter-20 | MAE=1.224 | MAPE=1.58%
15:17:36 |  Iter-21 | MAE=0.717 | MAPE=0.93%
15:21:11 |  Iter-22 | MAE=1.026 | MAPE=1.29%
15:24:42 |  Iter-23 | MAE=0.739 | MAPE=0.92%
15:28:10 |  Iter-24 | MAE=0.811 | MAPE=1.00%
15:31:29 |  Iter-25 | MAE=0.395 | MAPE=0.48%
15:35:57 |  Iter-26 | MAE=2.058 | MAPE=2.52%
15:39:54 |  Iter-27 | MAE=1.446 | MAPE=1.77%
15:43:35 |  Iter-28 | MAE=0.763 | MAPE=0.93%
15:54:05 |  Iter-29 | MAE=0.841 | MAPE=1.02%
15:56:59 |  Iter-30 | MAE=0.248 | MAPE=0.30%
16:00:53 |  Iter-31 | MAE=1.907 | MAPE=2.23%
16:04:12 |  Iter-32 | MAE=0.998 | MAPE=1.19%
16:08:08 |  Iter-33 | MAE=0.313 | MAPE=0.37%
16:11:21 |  Iter-34 | MAE=0.758 | MAPE=0.90%
16:15:36 |  Iter-35 | MAE=0.100 | MAPE=0.12%
16:19:07 |  Iter-36 | MAE=1.436 | MAPE=1.62%
16:22:42 |  Iter-37 | MAE=1.065 | MAPE=1.20%
16:26:48 |  Iter-38 | MAE=2.309 | MAPE=2.65%
16:31:04 |  Iter-39 | MAE=1.706 | MAPE=1.98%
16:35:13 |  Iter-40 | MAE=1.747 | MAPE=1.99%
16:39:03 |  Iter-41 | MAE=0.124 | MAPE=0.14%
16:42:31 |  Iter-42 | MAE=2.091 | MAPE=2.36%
