13:48:20 | ================================================================================
13:48:20 |  TTM | XANG | H1 | walkforward | seed=777
13:48:20 | ================================================================================
13:48:20 | Data: 4513 rows | Features: 15
13:51:11 |  Iter-01 | MAE=0.242 | MAPE=0.31%
13:55:29 |  Iter-02 | MAE=0.255 | MAPE=0.33%
13:59:05 |  Iter-03 | MAE=0.255 | MAPE=0.33%
14:01:48 |  Iter-04 | MAE=2.284 | MAPE=3.04%
14:05:28 |  Iter-05 | MAE=0.354 | MAPE=0.48%
14:09:06 |  Iter-06 | MAE=0.770 | MAPE=1.04%
14:11:41 |  Iter-07 | MAE=1.159 | MAPE=1.58%
14:14:36 |  Iter-08 | MAE=0.515 | MAPE=0.70%
14:17:50 |  Iter-09 | MAE=1.280 | MAPE=1.73%
14:20:41 |  Iter-10 | MAE=0.990 | MAPE=1.34%
14:24:00 |  Iter-11 | MAE=0.254 | MAPE=0.34%
14:27:12 |  Iter-12 | MAE=0.378 | MAPE=0.52%
14:29:42 |  Iter-13 | MAE=0.859 | MAPE=1.18%
14:32:30 |  Iter-14 | MAE=0.148 | MAPE=0.20%
14:34:54 |  Iter-15 | MAE=0.558 | MAPE=0.77%
14:38:19 |  Iter-16 | MAE=0.103 | MAPE=0.14%
14:40:51 |  Iter-17 | MAE=0.623 | MAPE=0.86%
14:44:18 |  Iter-18 | MAE=1.457 | MAPE=2.06%
14:47:41 |  Iter-19 | MAE=0.499 | MAPE=0.70%
14:51:41 |  Iter-20 | MAE=0.811 | MAPE=1.15%
14:54:42 |  Iter-21 | MAE=1.333 | MAPE=1.89%
15:00:22 |  Iter-22 | MAE=0.661 | MAPE=0.91%
15:03:32 |  Iter-23 | MAE=1.176 | MAPE=1.63%
15:07:11 |  Iter-24 | MAE=0.121 | MAPE=0.17%
15:10:05 |  Iter-25 | MAE=1.494 | MAPE=2.06%
15:13:26 |  Iter-26 | MAE=1.739 | MAPE=2.42%
15:17:11 |  Iter-27 | MAE=0.593 | MAPE=0.83%
15:19:59 |  Iter-28 | MAE=0.291 | MAPE=0.41%
15:23:12 |  Iter-29 | MAE=0.484 | MAPE=0.67%
15:25:24 |  Iter-30 | MAE=0.468 | MAPE=0.65%
15:28:31 |  Iter-31 | MAE=0.345 | MAPE=0.47%
15:30:49 |  Iter-32 | MAE=0.691 | MAPE=0.97%
15:33:18 |  Iter-33 | MAE=0.499 | MAPE=0.68%
15:36:03 |  Iter-34 | MAE=1.183 | MAPE=1.66%
15:39:02 |  Iter-35 | MAE=0.517 | MAPE=0.70%
15:42:22 |  Iter-36 | MAE=0.597 | MAPE=0.80%
15:45:44 |  Iter-37 | MAE=1.274 | MAPE=1.71%
15:48:39 |  Iter-38 | MAE=3.172 | MAPE=4.42%
15:51:43 |  Iter-39 | MAE=2.105 | MAPE=2.93%
15:54:55 |  Iter-40 | MAE=1.392 | MAPE=1.88%
15:57:30 |  Iter-41 | MAE=0.319 | MAPE=0.43%
16:00:19 |  Iter-42 | MAE=1.121 | MAPE=1.51%
16:04:00 |  Iter-43 | MAE=0.978 | MAPE=1.29%
16:07:05 |  Iter-44 | MAE=0.910 | MAPE=1.17%
16:10:24 |  Iter-45 | MAE=0.698 | MAPE=0.91%
16:13:29 |  Iter-46 | MAE=0.941 | MAPE=1.24%
16:16:03 |  Iter-47 | MAE=2.145 | MAPE=2.95%
16:18:27 |  Iter-48 | MAE=0.471 | MAPE=0.64%
16:21:26 |  Iter-49 | MAE=0.867 | MAPE=1.19%
16:25:38 |  Iter-50 | MAE=0.843 | MAPE=1.16%
16:28:19 |  Iter-51 | MAE=2.734 | MAPE=3.55%
16:31:23 |  Iter-52 | MAE=1.036 | MAPE=1.31%
16:33:42 |  Iter-53 | MAE=0.097 | MAPE=0.12%
16:36:46 |  Iter-54 | MAE=2.112 | MAPE=2.64%
16:39:20 |  Iter-55 | MAE=0.964 | MAPE=1.20%
16:42:11 |  Iter-56 | MAE=0.716 | MAPE=0.89%
16:45:08 |  Iter-57 | MAE=0.346 | MAPE=0.43%
16:48:44 |  Iter-58 | MAE=10.363 | MAPE=11.32%
16:52:17 |  Iter-59 | MAE=5.781 | MAPE=5.95%
16:55:46 |  Iter-60 | MAE=5.282 | MAPE=5.16%
16:58:35 |  Iter-61 | MAE=12.038 | MAPE=11.08%
17:00:42 |  Iter-62 | MAE=6.738 | MAPE=5.69%
17:02:49 |  Iter-63 | MAE=21.401 | MAPE=14.88%
17:06:02 |  Iter-64 | MAE=20.360 | MAPE=16.53%
17:08:15 |  Iter-65 | MAE=2.287 | MAPE=1.86%
17:10:25 |  Iter-66 | MAE=12.386 | MAPE=9.10%
17:14:04 |  Iter-67 | MAE=12.121 | MAPE=8.48%
17:18:54 |  Iter-68 | MAE=11.425 | MAPE=7.79%
17:21:18 |  Iter-69 | MAE=2.479 | MAPE=1.68%
17:23:53 |  Iter-70 | MAE=0.340 | MAPE=0.23%
17:26:28 |  Iter-71 | MAE=5.625 | MAPE=3.55%
17:29:03 |  Iter-72 | MAE=0.249 | MAPE=0.16%
17:31:12 |  Iter-73 | MAE=3.424 | MAPE=2.11%
17:33:30 |  Iter-74 | MAE=7.966 | MAPE=5.48%
17:37:33 |  Iter-75 | MAE=12.889 | MAPE=9.67%
17:40:16 |  Iter-76 | MAE=7.384 | MAPE=5.70%
17:43:51 |  Iter-77 | MAE=0.131 | MAPE=0.10%
17:45:58 |  Iter-78 | MAE=6.980 | MAPE=4.85%
17:48:49 |  Iter-79 | MAE=0.376 | MAPE=0.26%
17:51:47 |  Iter-80 | MAE=4.256 | MAPE=3.04%
17:54:01 |  Iter-81 | MAE=9.917 | MAPE=6.70%
17:56:45 |  Iter-82 | MAE=3.605 | MAPE=2.46%
17:59:24 |  Iter-83 | MAE=5.089 | MAPE=3.56%
18:01:46 |  Iter-84 | MAE=23.675 | MAPE=19.29%
18:03:51 |  Iter-85 | MAE=10.580 | MAPE=8.00%
18:06:05 |  Iter-86 | MAE=0.388 | MAPE=0.29%
18:08:37 |  Iter-87 | MAE=1.601 | MAPE=1.19%
18:10:51 |  Iter-88 | MAE=6.634 | MAPE=5.23%
18:13:21 |  Iter-89 | MAE=3.052 | MAPE=2.51%
18:16:14 |  Iter-90 | MAE=2.855 | MAPE=2.34%
18:18:33 |  Iter-91 | MAE=3.371 | MAPE=2.65%
18:20:52 |  Iter-92 | MAE=2.520 | MAPE=2.06%
18:23:47 |  Iter-93 | MAE=1.472 | MAPE=1.22%
18:25:48 |  Iter-94 | MAE=5.140 | MAPE=4.07%
18:28:35 |  Iter-95 | MAE=1.672 | MAPE=1.31%
18:31:03 |  Iter-96 | MAE=1.316 | MAPE=1.04%
18:33:32 |  Iter-97 | MAE=2.474 | MAPE=1.91%
18:36:31 |  Iter-98 | MAE=1.082 | MAPE=0.84%
18:38:32 |  Iter-99 | MAE=1.301 | MAPE=0.99%
18:40:46 |  Iter-100 | MAE=1.242 | MAPE=0.92%
18:40:46 | 
 OVERALL: MAE=3.125, MAPE=2.73%, R2=0.9661 (17545.5s)
18:40:46 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TTM/XANG_H1_seed777/model_checkpoint.pth
18:40:46 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TTM/XANG_H1_seed777/processor.pkl
