22:55:45 | ================================================================================
22:55:45 |  TimeMachine | DAU | H1 | walkforward | seed=123
22:55:45 | ================================================================================
22:55:45 | Data: 4513 rows | Features: 16
23:07:49 |  Iter-01 | MAE=1.406 | MAPE=1.71%
23:18:09 |  Iter-02 | MAE=0.671 | MAPE=0.81%
23:30:49 |  Iter-03 | MAE=1.079 | MAPE=1.32%
23:47:32 |  Iter-04 | MAE=1.115 | MAPE=1.39%
23:57:43 |  Iter-05 | MAE=0.026 | MAPE=0.03%
00:07:24 |  Iter-06 | MAE=0.328 | MAPE=0.41%
00:18:21 |  Iter-07 | MAE=1.170 | MAPE=1.48%
00:24:46 |  Iter-08 | MAE=0.357 | MAPE=0.45%
00:37:19 |  Iter-09 | MAE=0.560 | MAPE=0.70%
00:50:47 |  Iter-10 | MAE=0.368 | MAPE=0.45%
01:00:13 |  Iter-11 | MAE=0.572 | MAPE=0.71%
01:10:56 |  Iter-12 | MAE=0.803 | MAPE=1.00%
01:22:18 |  Iter-13 | MAE=0.346 | MAPE=0.44%
01:32:31 |  Iter-14 | MAE=0.509 | MAPE=0.64%
01:41:16 |  Iter-15 | MAE=0.717 | MAPE=0.89%
02:00:22 |  Iter-16 | MAE=0.503 | MAPE=0.63%
02:14:37 |  Iter-17 | MAE=0.556 | MAPE=0.70%
02:25:28 |  Iter-18 | MAE=1.291 | MAPE=1.65%
02:39:28 |  Iter-19 | MAE=0.047 | MAPE=0.06%
02:58:19 |  Iter-20 | MAE=1.567 | MAPE=2.03%
03:12:34 |  Iter-21 | MAE=0.421 | MAPE=0.55%
03:27:29 |  Iter-22 | MAE=1.088 | MAPE=1.37%
03:37:26 |  Iter-23 | MAE=1.229 | MAPE=1.54%
03:47:08 |  Iter-24 | MAE=0.690 | MAPE=0.85%
04:01:00 |  Iter-25 | MAE=0.307 | MAPE=0.37%
04:08:59 |  Iter-26 | MAE=1.645 | MAPE=2.01%
04:22:31 |  Iter-27 | MAE=1.216 | MAPE=1.49%
04:33:17 |  Iter-28 | MAE=0.506 | MAPE=0.62%
04:42:01 |  Iter-29 | MAE=0.494 | MAPE=0.60%
04:56:07 |  Iter-30 | MAE=0.605 | MAPE=0.72%
05:07:09 |  Iter-31 | MAE=1.691 | MAPE=1.98%
05:16:50 |  Iter-32 | MAE=0.827 | MAPE=0.98%
05:28:15 |  Iter-33 | MAE=0.507 | MAPE=0.59%
05:39:24 |  Iter-34 | MAE=1.187 | MAPE=1.41%
05:56:03 |  Iter-35 | MAE=0.303 | MAPE=0.35%
06:09:07 |  Iter-36 | MAE=1.236 | MAPE=1.40%
06:20:34 |  Iter-37 | MAE=0.342 | MAPE=0.39%
06:31:53 |  Iter-38 | MAE=2.203 | MAPE=2.53%
06:41:24 |  Iter-39 | MAE=1.412 | MAPE=1.64%
06:52:07 |  Iter-40 | MAE=1.376 | MAPE=1.57%
07:07:09 |  Iter-41 | MAE=0.454 | MAPE=0.52%
07:18:50 |  Iter-42 | MAE=2.155 | MAPE=2.43%
07:34:05 |  Iter-43 | MAE=1.351 | MAPE=1.55%
07:44:19 |  Iter-44 | MAE=0.161 | MAPE=0.18%
07:55:37 |  Iter-45 | MAE=1.051 | MAPE=1.18%
08:07:27 |  Iter-46 | MAE=0.181 | MAPE=0.20%
08:22:47 |  Iter-47 | MAE=0.494 | MAPE=0.57%
08:39:12 |  Iter-48 | MAE=0.559 | MAPE=0.65%
08:49:10 |  Iter-49 | MAE=0.681 | MAPE=0.79%
08:58:16 |  Iter-50 | MAE=0.776 | MAPE=0.90%
09:07:02 |  Iter-51 | MAE=3.111 | MAPE=3.41%
09:16:08 |  Iter-52 | MAE=0.337 | MAPE=0.36%
09:34:15 |  Iter-53 | MAE=0.763 | MAPE=0.83%
09:51:26 |  Iter-54 | MAE=0.718 | MAPE=0.78%
10:06:18 |  Iter-55 | MAE=0.350 | MAPE=0.38%
10:17:26 |  Iter-56 | MAE=0.804 | MAPE=0.87%
10:31:44 |  Iter-57 | MAE=0.356 | MAPE=0.39%
10:44:05 |  Iter-58 | MAE=21.882 | MAPE=19.05%
10:58:09 |  Iter-59 | MAE=14.208 | MAPE=11.32%
11:10:54 |  Iter-60 | MAE=15.360 | MAPE=10.73%
11:29:40 |  Iter-61 | MAE=22.496 | MAPE=14.74%
11:37:37 |  Iter-62 | MAE=4.930 | MAPE=3.18%
11:45:26 |  Iter-63 | MAE=29.411 | MAPE=15.90%
11:51:44 |  Iter-64 | MAE=18.938 | MAPE=11.77%
12:00:21 |  Iter-65 | MAE=2.481 | MAPE=1.51%
12:13:37 |  Iter-66 | MAE=27.714 | MAPE=14.29%
12:23:45 |  Iter-67 | MAE=8.707 | MAPE=4.54%
12:31:25 |  Iter-68 | MAE=6.091 | MAPE=3.20%
12:38:50 |  Iter-69 | MAE=12.128 | MAPE=6.13%
12:48:00 |  Iter-70 | MAE=4.551 | MAPE=2.29%
12:58:00 |  Iter-71 | MAE=17.409 | MAPE=7.77%
13:05:30 |  Iter-72 | MAE=1.995 | MAPE=0.90%
13:17:28 |  Iter-73 | MAE=14.330 | MAPE=5.91%
