16:51:12 | ================================================================================
16:51:12 |  TimeMachine | XANG | H1 | walkforward | seed=9999
16:51:12 | ================================================================================
16:51:12 | Data: 4513 rows | Features: 15
17:00:59 |  Iter-01 | MAE=0.279 | MAPE=0.36%
17:10:23 |  Iter-02 | MAE=0.209 | MAPE=0.27%
17:19:13 |  Iter-03 | MAE=0.372 | MAPE=0.47%
17:28:53 |  Iter-04 | MAE=2.463 | MAPE=3.28%
17:36:59 |  Iter-05 | MAE=0.413 | MAPE=0.56%
17:47:22 |  Iter-06 | MAE=0.839 | MAPE=1.13%
17:57:23 |  Iter-07 | MAE=1.265 | MAPE=1.72%
18:04:29 |  Iter-08 | MAE=0.445 | MAPE=0.60%
18:10:28 |  Iter-09 | MAE=1.208 | MAPE=1.63%
18:23:30 |  Iter-10 | MAE=1.115 | MAPE=1.51%
18:31:15 |  Iter-11 | MAE=0.279 | MAPE=0.38%
18:37:52 |  Iter-12 | MAE=0.568 | MAPE=0.78%
18:46:49 |  Iter-13 | MAE=0.900 | MAPE=1.24%
18:52:51 |  Iter-14 | MAE=0.314 | MAPE=0.43%
18:57:26 |  Iter-15 | MAE=0.288 | MAPE=0.40%
19:05:19 |  Iter-16 | MAE=0.304 | MAPE=0.42%
19:11:17 |  Iter-17 | MAE=0.568 | MAPE=0.78%
19:17:19 |  Iter-18 | MAE=1.431 | MAPE=2.02%
19:24:55 |  Iter-19 | MAE=0.283 | MAPE=0.39%
19:33:44 |  Iter-20 | MAE=0.775 | MAPE=1.10%
19:41:12 |  Iter-21 | MAE=1.009 | MAPE=1.43%
19:48:20 |  Iter-22 | MAE=0.604 | MAPE=0.83%
19:57:52 |  Iter-23 | MAE=1.281 | MAPE=1.77%
20:04:47 |  Iter-24 | MAE=0.275 | MAPE=0.38%
20:09:13 |  Iter-25 | MAE=1.413 | MAPE=1.95%
20:16:39 |  Iter-26 | MAE=1.549 | MAPE=2.15%
20:23:59 |  Iter-27 | MAE=0.405 | MAPE=0.57%
20:31:43 |  Iter-28 | MAE=0.385 | MAPE=0.54%
20:38:48 |  Iter-29 | MAE=0.385 | MAPE=0.54%
20:47:42 |  Iter-30 | MAE=0.401 | MAPE=0.55%
20:54:14 |  Iter-31 | MAE=0.463 | MAPE=0.63%
21:00:34 |  Iter-32 | MAE=0.662 | MAPE=0.92%
21:06:26 |  Iter-33 | MAE=0.777 | MAPE=1.06%
21:13:02 |  Iter-34 | MAE=1.172 | MAPE=1.64%
21:19:28 |  Iter-35 | MAE=0.628 | MAPE=0.85%
21:28:24 |  Iter-36 | MAE=0.382 | MAPE=0.51%
21:39:44 |  Iter-37 | MAE=1.093 | MAPE=1.47%
21:44:44 |  Iter-38 | MAE=3.164 | MAPE=4.41%
21:50:16 |  Iter-39 | MAE=2.449 | MAPE=3.40%
21:54:39 |  Iter-40 | MAE=1.388 | MAPE=1.88%
21:59:48 |  Iter-41 | MAE=0.365 | MAPE=0.49%
22:07:56 |  Iter-42 | MAE=0.900 | MAPE=1.21%
22:13:04 |  Iter-43 | MAE=0.999 | MAPE=1.32%
22:21:46 |  Iter-44 | MAE=1.445 | MAPE=1.86%
22:29:38 |  Iter-45 | MAE=0.485 | MAPE=0.64%
22:35:06 |  Iter-46 | MAE=1.061 | MAPE=1.40%
22:45:02 |  Iter-47 | MAE=2.253 | MAPE=3.10%
22:54:31 |  Iter-48 | MAE=0.191 | MAPE=0.26%
23:02:15 |  Iter-49 | MAE=0.498 | MAPE=0.69%
23:08:13 |  Iter-50 | MAE=0.278 | MAPE=0.38%
23:15:09 |  Iter-51 | MAE=2.529 | MAPE=3.28%
23:21:44 |  Iter-52 | MAE=1.490 | MAPE=1.89%
23:27:23 |  Iter-53 | MAE=0.538 | MAPE=0.69%
23:33:24 |  Iter-54 | MAE=2.004 | MAPE=2.50%
23:42:54 |  Iter-55 | MAE=0.955 | MAPE=1.19%
23:49:41 |  Iter-56 | MAE=0.952 | MAPE=1.18%
00:00:27 |  Iter-57 | MAE=0.275 | MAPE=0.34%
00:10:33 |  Iter-58 | MAE=10.201 | MAPE=11.14%
00:19:41 |  Iter-59 | MAE=6.866 | MAPE=7.07%
00:33:17 |  Iter-60 | MAE=5.290 | MAPE=5.17%
00:39:22 |  Iter-61 | MAE=17.823 | MAPE=16.41%
00:42:38 |  Iter-62 | MAE=6.807 | MAPE=5.76%
00:45:39 |  Iter-63 | MAE=25.245 | MAPE=17.62%
00:48:40 |  Iter-64 | MAE=20.933 | MAPE=16.99%
00:51:07 |  Iter-65 | MAE=2.121 | MAPE=1.76%
00:54:20 |  Iter-66 | MAE=12.752 | MAPE=9.33%
01:02:36 |  Iter-67 | MAE=3.049 | MAPE=2.14%
01:05:30 |  Iter-68 | MAE=3.262 | MAPE=2.23%
01:10:43 |  Iter-69 | MAE=1.312 | MAPE=0.91%
01:16:19 |  Iter-70 | MAE=1.792 | MAPE=1.22%
01:22:29 |  Iter-71 | MAE=7.158 | MAPE=4.52%
01:26:19 |  Iter-72 | MAE=3.660 | MAPE=2.33%
01:35:08 |  Iter-73 | MAE=2.916 | MAPE=1.78%
01:40:11 |  Iter-74 | MAE=8.171 | MAPE=5.63%
01:47:03 |  Iter-75 | MAE=16.181 | MAPE=12.14%
01:50:13 |  Iter-76 | MAE=10.780 | MAPE=8.31%
01:59:00 |  Iter-77 | MAE=0.717 | MAPE=0.54%
02:05:55 |  Iter-78 | MAE=6.852 | MAPE=4.76%
02:11:52 |  Iter-79 | MAE=1.376 | MAPE=0.97%
02:18:53 |  Iter-80 | MAE=2.806 | MAPE=2.01%
02:24:21 |  Iter-81 | MAE=9.776 | MAPE=6.60%
02:30:29 |  Iter-82 | MAE=6.083 | MAPE=4.17%
02:35:44 |  Iter-83 | MAE=4.243 | MAPE=2.98%
02:45:07 |  Iter-84 | MAE=26.476 | MAPE=21.57%
02:50:20 |  Iter-85 | MAE=15.085 | MAPE=11.36%
02:57:47 |  Iter-86 | MAE=0.815 | MAPE=0.61%
03:04:01 |  Iter-87 | MAE=1.006 | MAPE=0.74%
03:16:00 |  Iter-88 | MAE=7.606 | MAPE=6.00%
03:18:42 |  Iter-89 | MAE=4.512 | MAPE=3.71%
03:30:31 |  Iter-90 | MAE=2.402 | MAPE=1.97%
03:33:41 |  Iter-91 | MAE=2.758 | MAPE=2.16%
03:39:49 |  Iter-92 | MAE=6.556 | MAPE=5.40%
03:44:16 |  Iter-93 | MAE=5.664 | MAPE=4.68%
03:47:45 |  Iter-94 | MAE=5.315 | MAPE=4.21%
03:51:06 |  Iter-95 | MAE=0.562 | MAPE=0.44%
04:00:21 |  Iter-96 | MAE=1.857 | MAPE=1.48%
04:03:27 |  Iter-97 | MAE=2.193 | MAPE=1.70%
04:08:12 |  Iter-98 | MAE=1.940 | MAPE=1.50%
04:13:54 |  Iter-99 | MAE=0.728 | MAPE=0.56%
04:17:02 |  Iter-100 | MAE=2.649 | MAPE=1.95%
04:17:02 | 
 OVERALL: MAE=3.377, MAPE=2.94%, R2=0.9590 (41150.4s)
04:17:02 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TimeMachine/XANG_H1_seed9999/model_checkpoint.pth
04:17:02 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TimeMachine/XANG_H1_seed9999/processor.pkl
