15:54:55 | ================================================================================
15:54:55 |  TimeMixer | DAU | H1 | walkforward | seed=777
15:54:55 | ================================================================================
15:54:56 | Data: 4513 rows | Features: 16
15:57:48 |  Iter-01 | MAE=1.236 | MAPE=1.50%
16:01:00 |  Iter-02 | MAE=0.249 | MAPE=0.30%
16:02:56 |  Iter-03 | MAE=1.266 | MAPE=1.55%
16:07:51 |  Iter-04 | MAE=1.298 | MAPE=1.62%
16:10:41 |  Iter-05 | MAE=0.042 | MAPE=0.05%
16:13:08 |  Iter-06 | MAE=0.667 | MAPE=0.83%
16:18:47 |  Iter-07 | MAE=1.667 | MAPE=2.11%
16:20:58 |  Iter-08 | MAE=0.256 | MAPE=0.32%
16:25:09 |  Iter-09 | MAE=0.323 | MAPE=0.40%
16:31:16 |  Iter-10 | MAE=0.316 | MAPE=0.39%
16:34:33 |  Iter-11 | MAE=0.260 | MAPE=0.32%
16:36:47 |  Iter-12 | MAE=0.776 | MAPE=0.96%
16:38:39 |  Iter-13 | MAE=0.996 | MAPE=1.26%
16:40:34 |  Iter-14 | MAE=0.344 | MAPE=0.43%
16:42:29 |  Iter-15 | MAE=0.766 | MAPE=0.95%
16:44:17 |  Iter-16 | MAE=0.500 | MAPE=0.62%
16:48:38 |  Iter-17 | MAE=0.660 | MAPE=0.83%
16:51:24 |  Iter-18 | MAE=0.878 | MAPE=1.13%
16:53:12 |  Iter-19 | MAE=0.180 | MAPE=0.23%
16:56:11 |  Iter-20 | MAE=1.915 | MAPE=2.48%
16:58:02 |  Iter-21 | MAE=0.251 | MAPE=0.33%
17:02:36 |  Iter-22 | MAE=1.129 | MAPE=1.42%
17:05:06 |  Iter-23 | MAE=0.834 | MAPE=1.04%
17:07:11 |  Iter-24 | MAE=0.635 | MAPE=0.78%
17:10:03 |  Iter-25 | MAE=0.488 | MAPE=0.59%
17:14:04 |  Iter-26 | MAE=1.729 | MAPE=2.12%
17:16:27 |  Iter-27 | MAE=1.423 | MAPE=1.74%
17:19:34 |  Iter-28 | MAE=0.341 | MAPE=0.42%
17:30:37 |  Iter-29 | MAE=0.338 | MAPE=0.41%
17:32:57 |  Iter-30 | MAE=1.293 | MAPE=1.54%
17:35:13 |  Iter-31 | MAE=1.889 | MAPE=2.21%
17:37:26 |  Iter-32 | MAE=0.556 | MAPE=0.66%
17:43:52 |  Iter-33 | MAE=0.918 | MAPE=1.07%
17:49:03 |  Iter-34 | MAE=1.382 | MAPE=1.64%
