13:13:36 | ================================================================================
13:13:36 |  TimeMixer | XANG | H1 | walkforward | seed=9999
13:13:36 | ================================================================================
13:13:36 | Data: 4513 rows | Features: 15
13:22:39 |  Iter-01 | MAE=0.240 | MAPE=0.30%
13:28:12 |  Iter-02 | MAE=0.205 | MAPE=0.26%
13:35:24 |  Iter-03 | MAE=0.873 | MAPE=1.12%
13:40:08 |  Iter-04 | MAE=2.642 | MAPE=3.51%
13:44:14 |  Iter-05 | MAE=0.362 | MAPE=0.49%
13:49:13 |  Iter-06 | MAE=0.540 | MAPE=0.73%
13:54:50 |  Iter-07 | MAE=1.326 | MAPE=1.81%
14:00:52 |  Iter-08 | MAE=0.403 | MAPE=0.54%
14:07:11 |  Iter-09 | MAE=1.172 | MAPE=1.59%
14:11:12 |  Iter-10 | MAE=0.853 | MAPE=1.16%
14:14:33 |  Iter-11 | MAE=0.357 | MAPE=0.48%
14:18:34 |  Iter-12 | MAE=0.790 | MAPE=1.08%
14:23:58 |  Iter-13 | MAE=0.583 | MAPE=0.81%
14:31:03 |  Iter-14 | MAE=0.304 | MAPE=0.42%
14:35:48 |  Iter-15 | MAE=0.237 | MAPE=0.33%
14:40:54 |  Iter-16 | MAE=0.413 | MAPE=0.57%
14:49:59 |  Iter-17 | MAE=0.632 | MAPE=0.87%
14:54:43 |  Iter-18 | MAE=0.899 | MAPE=1.27%
14:58:48 |  Iter-19 | MAE=0.279 | MAPE=0.39%
15:02:30 |  Iter-20 | MAE=1.112 | MAPE=1.59%
15:07:38 |  Iter-21 | MAE=0.727 | MAPE=1.03%
15:11:25 |  Iter-22 | MAE=0.810 | MAPE=1.12%
15:17:49 |  Iter-23 | MAE=1.118 | MAPE=1.55%
15:23:03 |  Iter-24 | MAE=0.104 | MAPE=0.14%
15:31:34 |  Iter-25 | MAE=1.418 | MAPE=1.96%
15:37:00 |  Iter-26 | MAE=2.106 | MAPE=2.92%
15:41:34 |  Iter-27 | MAE=0.332 | MAPE=0.47%
15:47:35 |  Iter-28 | MAE=0.218 | MAPE=0.31%
15:51:24 |  Iter-29 | MAE=0.329 | MAPE=0.46%
15:59:21 |  Iter-30 | MAE=0.418 | MAPE=0.58%
16:02:56 |  Iter-31 | MAE=0.361 | MAPE=0.50%
16:08:51 |  Iter-32 | MAE=0.667 | MAPE=0.94%
