00:16:18 | ================================================================================
00:16:18 |  TimeXer | DAU | H1 | walkforward | seed=123
00:16:18 | ================================================================================
00:16:18 | Data: 4513 rows | Features: 16
00:22:08 |  Iter-01 | MAE=1.438 | MAPE=1.74%
00:29:25 |  Iter-02 | MAE=0.690 | MAPE=0.83%
00:35:13 |  Iter-03 | MAE=0.918 | MAPE=1.13%
00:40:53 |  Iter-04 | MAE=0.642 | MAPE=0.80%
00:48:17 |  Iter-05 | MAE=0.076 | MAPE=0.10%
00:54:11 |  Iter-06 | MAE=0.659 | MAPE=0.82%
01:01:41 |  Iter-07 | MAE=0.996 | MAPE=1.26%
01:09:11 |  Iter-08 | MAE=0.093 | MAPE=0.12%
01:15:30 |  Iter-09 | MAE=0.114 | MAPE=0.14%
01:21:43 |  Iter-10 | MAE=0.964 | MAPE=1.19%
01:26:07 |  Iter-11 | MAE=0.034 | MAPE=0.04%
01:38:33 |  Iter-12 | MAE=0.608 | MAPE=0.76%
01:43:42 |  Iter-13 | MAE=0.493 | MAPE=0.62%
01:47:08 |  Iter-14 | MAE=0.645 | MAPE=0.81%
01:54:12 |  Iter-15 | MAE=0.794 | MAPE=0.99%
02:00:58 |  Iter-16 | MAE=0.184 | MAPE=0.23%
02:08:21 |  Iter-17 | MAE=0.511 | MAPE=0.64%
02:15:31 |  Iter-18 | MAE=1.472 | MAPE=1.89%
02:19:23 |  Iter-19 | MAE=1.359 | MAPE=1.71%
02:26:53 |  Iter-20 | MAE=1.413 | MAPE=1.83%
02:32:40 |  Iter-21 | MAE=0.345 | MAPE=0.45%
02:38:15 |  Iter-22 | MAE=0.907 | MAPE=1.14%
02:43:30 |  Iter-23 | MAE=0.825 | MAPE=1.03%
02:50:35 |  Iter-24 | MAE=1.465 | MAPE=1.80%
02:57:01 |  Iter-25 | MAE=0.328 | MAPE=0.40%
03:00:53 |  Iter-26 | MAE=1.005 | MAPE=1.23%
03:06:08 |  Iter-27 | MAE=1.630 | MAPE=2.00%
03:11:55 |  Iter-28 | MAE=0.135 | MAPE=0.16%
03:17:36 |  Iter-29 | MAE=0.203 | MAPE=0.25%
03:26:05 |  Iter-30 | MAE=0.988 | MAPE=1.18%
03:31:20 |  Iter-31 | MAE=1.486 | MAPE=1.74%
03:36:47 |  Iter-32 | MAE=0.165 | MAPE=0.20%
03:42:03 |  Iter-33 | MAE=1.004 | MAPE=1.17%
03:47:07 |  Iter-34 | MAE=1.228 | MAPE=1.46%
03:52:05 |  Iter-35 | MAE=0.504 | MAPE=0.58%
