12:23:18 | ================================================================================
12:23:18 |  TimeXer | XANG | H1 | walkforward | seed=123
12:23:18 | ================================================================================
12:23:18 | Data: 4513 rows | Features: 15
12:26:49 |  Iter-01 | MAE=0.331 | MAPE=0.42%
12:28:55 |  Iter-02 | MAE=0.332 | MAPE=0.43%
12:33:47 |  Iter-03 | MAE=0.410 | MAPE=0.52%
12:36:41 |  Iter-04 | MAE=3.135 | MAPE=4.17%
12:38:52 |  Iter-05 | MAE=0.734 | MAPE=0.98%
12:42:19 |  Iter-06 | MAE=0.672 | MAPE=0.90%
12:45:19 |  Iter-07 | MAE=0.899 | MAPE=1.23%
12:48:00 |  Iter-08 | MAE=0.451 | MAPE=0.61%
12:50:11 |  Iter-09 | MAE=0.251 | MAPE=0.34%
12:53:57 |  Iter-10 | MAE=0.021 | MAPE=0.03%
12:55:50 |  Iter-11 | MAE=0.052 | MAPE=0.07%
12:58:39 |  Iter-12 | MAE=0.334 | MAPE=0.46%
13:01:31 |  Iter-13 | MAE=0.479 | MAPE=0.66%
13:04:31 |  Iter-14 | MAE=0.272 | MAPE=0.37%
13:07:02 |  Iter-15 | MAE=0.435 | MAPE=0.60%
13:11:11 |  Iter-16 | MAE=0.281 | MAPE=0.39%
13:14:35 |  Iter-17 | MAE=0.802 | MAPE=1.11%
13:17:09 |  Iter-18 | MAE=1.228 | MAPE=1.74%
13:20:40 |  Iter-19 | MAE=0.576 | MAPE=0.80%
13:24:34 |  Iter-20 | MAE=0.890 | MAPE=1.27%
13:27:51 |  Iter-21 | MAE=0.813 | MAPE=1.15%
13:30:29 |  Iter-22 | MAE=0.720 | MAPE=0.99%
13:34:19 |  Iter-23 | MAE=0.196 | MAPE=0.27%
13:37:19 |  Iter-24 | MAE=0.687 | MAPE=0.94%
13:39:50 |  Iter-25 | MAE=1.562 | MAPE=2.16%
13:42:36 |  Iter-26 | MAE=1.631 | MAPE=2.26%
13:44:54 |  Iter-27 | MAE=0.096 | MAPE=0.13%
13:47:07 |  Iter-28 | MAE=0.481 | MAPE=0.67%
13:50:01 |  Iter-29 | MAE=1.038 | MAPE=1.45%
13:51:50 |  Iter-30 | MAE=0.791 | MAPE=1.09%
13:53:43 |  Iter-31 | MAE=0.243 | MAPE=0.33%
13:56:54 |  Iter-32 | MAE=0.651 | MAPE=0.90%
13:58:39 |  Iter-33 | MAE=0.644 | MAPE=0.89%
14:02:08 |  Iter-34 | MAE=0.570 | MAPE=0.80%
14:05:42 |  Iter-35 | MAE=0.863 | MAPE=1.18%
14:07:59 |  Iter-36 | MAE=1.067 | MAPE=1.43%
14:09:40 |  Iter-37 | MAE=0.414 | MAPE=0.56%
14:14:07 |  Iter-38 | MAE=2.724 | MAPE=3.80%
14:17:48 |  Iter-39 | MAE=1.863 | MAPE=2.59%
14:21:22 |  Iter-40 | MAE=1.444 | MAPE=1.96%
14:24:46 |  Iter-41 | MAE=0.577 | MAPE=0.78%
14:27:47 |  Iter-42 | MAE=0.825 | MAPE=1.11%
14:31:32 |  Iter-43 | MAE=1.268 | MAPE=1.67%
