03:57:00 | ================================================================================
03:57:00 |  Time_MoE | DAU | H1 | walkforward | seed=777
03:57:00 | ================================================================================
03:57:00 | Data: 4513 rows | Features: 16
04:15:01 |  Iter-01 | MAE=1.367 | MAPE=1.66%
04:20:19 |  Iter-02 | MAE=0.313 | MAPE=0.38%
04:28:00 |  Iter-03 | MAE=1.186 | MAPE=1.46%
04:46:54 |  Iter-04 | MAE=1.263 | MAPE=1.58%
05:08:29 |  Iter-05 | MAE=0.236 | MAPE=0.30%
05:15:56 |  Iter-06 | MAE=0.592 | MAPE=0.74%
05:34:57 |  Iter-07 | MAE=1.360 | MAPE=1.72%
05:41:52 |  Iter-08 | MAE=0.248 | MAPE=0.31%
05:55:53 |  Iter-09 | MAE=0.616 | MAPE=0.77%
06:00:57 |  Iter-10 | MAE=0.457 | MAPE=0.56%
06:06:59 |  Iter-11 | MAE=0.526 | MAPE=0.65%
06:25:16 |  Iter-12 | MAE=0.644 | MAPE=0.80%
06:46:54 |  Iter-13 | MAE=0.712 | MAPE=0.90%
07:05:43 |  Iter-14 | MAE=0.234 | MAPE=0.29%
07:22:59 |  Iter-15 | MAE=0.682 | MAPE=0.85%
07:37:33 |  Iter-16 | MAE=0.486 | MAPE=0.61%
07:43:01 |  Iter-17 | MAE=0.484 | MAPE=0.61%
07:48:10 |  Iter-18 | MAE=1.113 | MAPE=1.43%
07:55:08 |  Iter-19 | MAE=0.316 | MAPE=0.40%
08:12:12 |  Iter-20 | MAE=1.597 | MAPE=2.07%
08:17:54 |  Iter-21 | MAE=0.328 | MAPE=0.43%
08:23:56 |  Iter-22 | MAE=1.427 | MAPE=1.79%
08:29:28 |  Iter-23 | MAE=1.051 | MAPE=1.31%
08:50:51 |  Iter-24 | MAE=0.644 | MAPE=0.79%
08:55:59 |  Iter-25 | MAE=0.429 | MAPE=0.52%
09:16:29 |  Iter-26 | MAE=2.109 | MAPE=2.58%
09:21:27 |  Iter-27 | MAE=1.024 | MAPE=1.25%
09:43:04 |  Iter-28 | MAE=0.620 | MAPE=0.76%
10:02:55 |  Iter-29 | MAE=0.386 | MAPE=0.47%
10:08:54 |  Iter-30 | MAE=0.569 | MAPE=0.68%
10:16:00 |  Iter-31 | MAE=2.061 | MAPE=2.41%
10:21:41 |  Iter-32 | MAE=0.688 | MAPE=0.82%
10:27:44 |  Iter-33 | MAE=0.033 | MAPE=0.04%
10:46:16 |  Iter-34 | MAE=1.650 | MAPE=1.96%
10:53:04 |  Iter-35 | MAE=0.851 | MAPE=0.98%
11:15:45 |  Iter-36 | MAE=1.463 | MAPE=1.65%
11:21:19 |  Iter-37 | MAE=0.660 | MAPE=0.74%
11:39:30 |  Iter-38 | MAE=2.237 | MAPE=2.57%
12:02:40 |  Iter-39 | MAE=1.088 | MAPE=1.26%
12:08:56 |  Iter-40 | MAE=1.913 | MAPE=2.18%
