13:49:14 | ================================================================================
13:49:14 |  TimesFM | DAU | H1 | walkforward | seed=123
13:49:14 | ================================================================================
13:49:14 | Data: 4513 rows | Features: 16
13:51:41 |  Iter-01 | MAE=1.199 | MAPE=1.45%
13:54:28 |  Iter-02 | MAE=0.555 | MAPE=0.67%
13:57:12 |  Iter-03 | MAE=1.054 | MAPE=1.29%
13:59:31 |  Iter-04 | MAE=1.076 | MAPE=1.35%
14:02:09 |  Iter-05 | MAE=0.432 | MAPE=0.54%
14:05:01 |  Iter-06 | MAE=0.150 | MAPE=0.19%
14:07:36 |  Iter-07 | MAE=1.250 | MAPE=1.59%
14:10:44 |  Iter-08 | MAE=1.008 | MAPE=1.27%
14:12:56 |  Iter-09 | MAE=0.034 | MAPE=0.04%
14:16:15 |  Iter-10 | MAE=0.857 | MAPE=1.06%
14:18:20 |  Iter-11 | MAE=0.158 | MAPE=0.20%
14:20:25 |  Iter-12 | MAE=0.303 | MAPE=0.38%
14:23:28 |  Iter-13 | MAE=0.130 | MAPE=0.16%
14:26:27 |  Iter-14 | MAE=0.492 | MAPE=0.62%
14:28:54 |  Iter-15 | MAE=0.989 | MAPE=1.23%
14:30:56 |  Iter-16 | MAE=0.219 | MAPE=0.27%
14:33:43 |  Iter-17 | MAE=0.607 | MAPE=0.76%
14:36:23 |  Iter-18 | MAE=1.413 | MAPE=1.81%
14:38:47 |  Iter-19 | MAE=0.430 | MAPE=0.54%
14:40:46 |  Iter-20 | MAE=1.508 | MAPE=1.95%
14:43:23 |  Iter-21 | MAE=1.094 | MAPE=1.42%
14:46:00 |  Iter-22 | MAE=1.387 | MAPE=1.74%
14:48:08 |  Iter-23 | MAE=1.138 | MAPE=1.42%
14:50:36 |  Iter-24 | MAE=0.928 | MAPE=1.14%
14:53:45 |  Iter-25 | MAE=0.471 | MAPE=0.57%
14:55:47 |  Iter-26 | MAE=1.944 | MAPE=2.38%
14:58:14 |  Iter-27 | MAE=1.822 | MAPE=2.23%
15:00:51 |  Iter-28 | MAE=0.536 | MAPE=0.65%
15:02:57 |  Iter-29 | MAE=0.685 | MAPE=0.83%
15:05:11 |  Iter-30 | MAE=0.661 | MAPE=0.79%
15:07:38 |  Iter-31 | MAE=1.750 | MAPE=2.05%
15:10:22 |  Iter-32 | MAE=0.588 | MAPE=0.70%
15:12:42 |  Iter-33 | MAE=0.367 | MAPE=0.43%
15:15:13 |  Iter-34 | MAE=1.144 | MAPE=1.36%
15:17:30 |  Iter-35 | MAE=0.275 | MAPE=0.32%
15:20:26 |  Iter-36 | MAE=2.116 | MAPE=2.39%
15:22:47 |  Iter-37 | MAE=0.659 | MAPE=0.74%
15:25:03 |  Iter-38 | MAE=2.753 | MAPE=3.16%
15:27:33 |  Iter-39 | MAE=2.200 | MAPE=2.55%
15:29:32 |  Iter-40 | MAE=1.040 | MAPE=1.19%
15:32:35 |  Iter-41 | MAE=0.237 | MAPE=0.27%
15:34:55 |  Iter-42 | MAE=1.957 | MAPE=2.20%
15:37:19 |  Iter-43 | MAE=1.431 | MAPE=1.64%
15:39:38 |  Iter-44 | MAE=0.580 | MAPE=0.66%
15:41:45 |  Iter-45 | MAE=0.419 | MAPE=0.47%
15:44:15 |  Iter-46 | MAE=0.859 | MAPE=0.96%
15:47:01 |  Iter-47 | MAE=0.915 | MAPE=1.05%
15:49:17 |  Iter-48 | MAE=1.066 | MAPE=1.23%
15:51:31 |  Iter-49 | MAE=0.387 | MAPE=0.45%
15:54:42 |  Iter-50 | MAE=0.646 | MAPE=0.75%
15:56:53 |  Iter-51 | MAE=2.726 | MAPE=2.99%
15:59:32 |  Iter-52 | MAE=0.773 | MAPE=0.84%
16:02:02 |  Iter-53 | MAE=1.008 | MAPE=1.10%
16:04:35 |  Iter-54 | MAE=0.650 | MAPE=0.70%
16:07:27 |  Iter-55 | MAE=0.106 | MAPE=0.11%
16:09:41 |  Iter-56 | MAE=1.331 | MAPE=1.44%
16:12:16 |  Iter-57 | MAE=0.595 | MAPE=0.64%
16:14:20 |  Iter-58 | MAE=20.623 | MAPE=17.96%
16:16:49 |  Iter-59 | MAE=12.194 | MAPE=9.71%
16:19:35 |  Iter-60 | MAE=14.593 | MAPE=10.20%
16:21:26 |  Iter-61 | MAE=11.739 | MAPE=7.69%
16:23:10 |  Iter-62 | MAE=1.379 | MAPE=0.89%
16:25:03 |  Iter-63 | MAE=27.518 | MAPE=14.88%
16:27:52 |  Iter-64 | MAE=24.961 | MAPE=15.51%
16:30:19 |  Iter-65 | MAE=4.540 | MAPE=2.77%
16:32:29 |  Iter-66 | MAE=28.650 | MAPE=14.77%
16:35:37 |  Iter-67 | MAE=2.563 | MAPE=1.34%
16:38:49 |  Iter-68 | MAE=5.252 | MAPE=2.76%
16:40:43 |  Iter-69 | MAE=6.834 | MAPE=3.46%
16:43:51 |  Iter-70 | MAE=5.178 | MAPE=2.61%
16:46:11 |  Iter-71 | MAE=18.506 | MAPE=8.26%
16:50:08 |  Iter-72 | MAE=6.125 | MAPE=2.75%
16:53:23 |  Iter-73 | MAE=15.186 | MAPE=6.26%
16:56:39 |  Iter-74 | MAE=5.281 | MAPE=2.41%
17:00:29 |  Iter-75 | MAE=29.492 | MAPE=14.38%
17:03:43 |  Iter-76 | MAE=5.010 | MAPE=2.32%
17:05:48 |  Iter-77 | MAE=21.209 | MAPE=8.94%
17:09:27 |  Iter-78 | MAE=13.523 | MAPE=5.37%
17:11:44 |  Iter-79 | MAE=15.547 | MAPE=6.52%
17:14:08 |  Iter-80 | MAE=2.358 | MAPE=0.96%
17:16:38 |  Iter-81 | MAE=47.349 | MAPE=16.20%
17:19:05 |  Iter-82 | MAE=23.214 | MAPE=8.68%
17:21:34 |  Iter-83 | MAE=22.775 | MAPE=9.41%
17:24:00 |  Iter-84 | MAE=63.820 | MAPE=33.44%
17:26:50 |  Iter-85 | MAE=11.160 | MAPE=5.45%
17:29:30 |  Iter-86 | MAE=2.349 | MAPE=1.16%
17:31:27 |  Iter-87 | MAE=5.622 | MAPE=2.92%
17:34:42 |  Iter-88 | MAE=13.150 | MAPE=7.28%
17:37:10 |  Iter-89 | MAE=15.332 | MAPE=9.25%
17:39:55 |  Iter-90 | MAE=1.869 | MAPE=1.18%
17:41:45 |  Iter-91 | MAE=3.217 | MAPE=1.97%
17:43:38 |  Iter-92 | MAE=11.380 | MAPE=7.68%
17:46:11 |  Iter-93 | MAE=7.116 | MAPE=4.88%
17:48:19 |  Iter-94 | MAE=13.042 | MAPE=8.15%
17:51:12 |  Iter-95 | MAE=3.300 | MAPE=2.01%
17:53:21 |  Iter-96 | MAE=1.565 | MAPE=0.94%
17:55:54 |  Iter-97 | MAE=0.440 | MAPE=0.27%
17:58:07 |  Iter-98 | MAE=7.769 | MAPE=4.85%
18:00:39 |  Iter-99 | MAE=2.454 | MAPE=1.49%
18:03:50 |  Iter-100 | MAE=3.559 | MAPE=2.08%
18:03:50 | 
 OVERALL: MAE=6.119, MAPE=3.55%, R2=0.9583 (15278.3s)
18:03:50 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TimesFM/DAU_H1_seed123/model_checkpoint.pth
18:03:50 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TimesFM/DAU_H1_seed123/processor.pkl
