19:50:13 | ================================================================================
19:50:13 |  TimesFM | XANG | H1 | walkforward | seed=2025
19:50:13 | ================================================================================
19:50:13 | Data: 4513 rows | Features: 15
19:53:34 |  Iter-01 | MAE=0.165 | MAPE=0.21%
19:56:44 |  Iter-02 | MAE=0.212 | MAPE=0.27%
19:59:34 |  Iter-03 | MAE=0.326 | MAPE=0.42%
20:01:49 |  Iter-04 | MAE=2.287 | MAPE=3.04%
20:04:11 |  Iter-05 | MAE=0.698 | MAPE=0.94%
20:06:47 |  Iter-06 | MAE=0.821 | MAPE=1.10%
20:10:04 |  Iter-07 | MAE=1.217 | MAPE=1.66%
20:12:50 |  Iter-08 | MAE=0.534 | MAPE=0.73%
20:15:16 |  Iter-09 | MAE=0.946 | MAPE=1.28%
20:18:05 |  Iter-10 | MAE=0.716 | MAPE=0.97%
20:21:18 |  Iter-11 | MAE=0.361 | MAPE=0.49%
20:23:54 |  Iter-12 | MAE=0.580 | MAPE=0.79%
20:26:36 |  Iter-13 | MAE=0.060 | MAPE=0.08%
20:29:38 |  Iter-14 | MAE=0.045 | MAPE=0.06%
20:32:03 |  Iter-15 | MAE=0.275 | MAPE=0.38%
20:35:06 |  Iter-16 | MAE=0.272 | MAPE=0.37%
20:37:57 |  Iter-17 | MAE=0.553 | MAPE=0.76%
20:40:56 |  Iter-18 | MAE=1.235 | MAPE=1.75%
20:43:50 |  Iter-19 | MAE=0.101 | MAPE=0.14%
20:46:27 |  Iter-20 | MAE=1.014 | MAPE=1.44%
20:49:20 |  Iter-21 | MAE=1.156 | MAPE=1.64%
20:52:05 |  Iter-22 | MAE=0.607 | MAPE=0.84%
20:54:48 |  Iter-23 | MAE=0.850 | MAPE=1.18%
20:57:38 |  Iter-24 | MAE=0.222 | MAPE=0.30%
21:00:36 |  Iter-25 | MAE=1.629 | MAPE=2.25%
21:03:13 |  Iter-26 | MAE=1.714 | MAPE=2.38%
21:06:00 |  Iter-27 | MAE=0.862 | MAPE=1.21%
21:08:38 |  Iter-28 | MAE=0.358 | MAPE=0.50%
21:11:08 |  Iter-29 | MAE=0.488 | MAPE=0.68%
21:14:13 |  Iter-30 | MAE=0.115 | MAPE=0.16%
21:17:23 |  Iter-31 | MAE=0.300 | MAPE=0.41%
21:19:41 |  Iter-32 | MAE=0.656 | MAPE=0.90%
21:22:56 |  Iter-33 | MAE=0.732 | MAPE=1.00%
21:25:37 |  Iter-34 | MAE=0.748 | MAPE=1.05%
21:28:30 |  Iter-35 | MAE=0.944 | MAPE=1.28%
21:31:16 |  Iter-36 | MAE=0.656 | MAPE=0.88%
21:34:25 |  Iter-37 | MAE=1.440 | MAPE=1.94%
21:37:24 |  Iter-38 | MAE=2.787 | MAPE=3.88%
21:40:03 |  Iter-39 | MAE=1.901 | MAPE=2.64%
21:41:59 |  Iter-40 | MAE=1.380 | MAPE=1.87%
21:44:46 |  Iter-41 | MAE=0.226 | MAPE=0.31%
