13:49:13 | ================================================================================
13:49:13 |  TimesNet | DAU | H1 | walkforward | seed=123
13:49:13 | ================================================================================
13:49:14 | Data: 4513 rows | Features: 16
13:51:43 |  Iter-01 | MAE=1.161 | MAPE=1.41%
13:54:00 |  Iter-02 | MAE=0.289 | MAPE=0.35%
13:56:22 |  Iter-03 | MAE=1.309 | MAPE=1.61%
13:58:56 |  Iter-04 | MAE=1.291 | MAPE=1.61%
14:01:14 |  Iter-05 | MAE=0.088 | MAPE=0.11%
14:03:39 |  Iter-06 | MAE=0.503 | MAPE=0.63%
14:06:09 |  Iter-07 | MAE=1.381 | MAPE=1.75%
14:08:31 |  Iter-08 | MAE=0.535 | MAPE=0.67%
14:10:52 |  Iter-09 | MAE=0.964 | MAPE=1.21%
14:13:59 |  Iter-10 | MAE=0.384 | MAPE=0.47%
14:16:12 |  Iter-11 | MAE=0.416 | MAPE=0.51%
14:18:43 |  Iter-12 | MAE=0.581 | MAPE=0.72%
14:21:13 |  Iter-13 | MAE=0.846 | MAPE=1.07%
14:23:30 |  Iter-14 | MAE=0.430 | MAPE=0.54%
14:26:09 |  Iter-15 | MAE=0.774 | MAPE=0.96%
14:28:22 |  Iter-16 | MAE=0.813 | MAPE=1.01%
14:30:56 |  Iter-17 | MAE=0.577 | MAPE=0.73%
14:33:09 |  Iter-18 | MAE=0.810 | MAPE=1.04%
14:35:59 |  Iter-19 | MAE=0.128 | MAPE=0.16%
14:38:13 |  Iter-20 | MAE=2.000 | MAPE=2.59%
14:40:39 |  Iter-21 | MAE=0.398 | MAPE=0.52%
14:43:14 |  Iter-22 | MAE=1.541 | MAPE=1.94%
14:46:00 |  Iter-23 | MAE=1.113 | MAPE=1.39%
14:48:42 |  Iter-24 | MAE=0.751 | MAPE=0.92%
14:51:12 |  Iter-25 | MAE=0.238 | MAPE=0.29%
14:53:25 |  Iter-26 | MAE=2.101 | MAPE=2.57%
14:55:39 |  Iter-27 | MAE=1.474 | MAPE=1.80%
14:58:00 |  Iter-28 | MAE=0.539 | MAPE=0.66%
15:00:18 |  Iter-29 | MAE=0.853 | MAPE=1.03%
15:02:27 |  Iter-30 | MAE=0.932 | MAPE=1.11%
15:04:36 |  Iter-31 | MAE=2.008 | MAPE=2.35%
15:06:53 |  Iter-32 | MAE=0.832 | MAPE=0.99%
15:09:15 |  Iter-33 | MAE=0.447 | MAPE=0.52%
15:11:45 |  Iter-34 | MAE=1.299 | MAPE=1.55%
15:14:03 |  Iter-35 | MAE=0.220 | MAPE=0.25%
15:16:32 |  Iter-36 | MAE=1.661 | MAPE=1.88%
15:18:58 |  Iter-37 | MAE=0.954 | MAPE=1.07%
15:21:36 |  Iter-38 | MAE=2.502 | MAPE=2.88%
15:23:54 |  Iter-39 | MAE=1.371 | MAPE=1.59%
15:26:11 |  Iter-40 | MAE=1.377 | MAPE=1.57%
15:28:28 |  Iter-41 | MAE=0.074 | MAPE=0.09%
15:30:46 |  Iter-42 | MAE=2.312 | MAPE=2.60%
15:33:07 |  Iter-43 | MAE=1.392 | MAPE=1.59%
15:35:26 |  Iter-44 | MAE=0.177 | MAPE=0.20%
15:37:54 |  Iter-45 | MAE=1.032 | MAPE=1.16%
15:40:09 |  Iter-46 | MAE=0.570 | MAPE=0.64%
15:42:29 |  Iter-47 | MAE=0.790 | MAPE=0.91%
15:44:40 |  Iter-48 | MAE=0.512 | MAPE=0.59%
15:46:51 |  Iter-49 | MAE=1.094 | MAPE=1.27%
15:49:15 |  Iter-50 | MAE=0.638 | MAPE=0.74%
15:51:47 |  Iter-51 | MAE=3.467 | MAPE=3.80%
15:54:14 |  Iter-52 | MAE=0.330 | MAPE=0.36%
15:56:30 |  Iter-53 | MAE=1.119 | MAPE=1.22%
15:58:49 |  Iter-54 | MAE=0.785 | MAPE=0.85%
16:01:04 |  Iter-55 | MAE=0.277 | MAPE=0.30%
16:03:28 |  Iter-56 | MAE=0.947 | MAPE=1.03%
16:06:01 |  Iter-57 | MAE=0.240 | MAPE=0.26%
16:08:24 |  Iter-58 | MAE=22.359 | MAPE=19.47%
16:11:01 |  Iter-59 | MAE=15.272 | MAPE=12.16%
16:14:32 |  Iter-60 | MAE=9.987 | MAPE=6.97%
16:17:25 |  Iter-61 | MAE=20.854 | MAPE=13.66%
16:21:08 |  Iter-62 | MAE=15.004 | MAPE=9.67%
16:24:18 |  Iter-63 | MAE=26.012 | MAPE=14.07%
16:26:33 |  Iter-64 | MAE=17.513 | MAPE=10.88%
16:29:30 |  Iter-65 | MAE=3.215 | MAPE=1.96%
16:32:27 |  Iter-66 | MAE=30.201 | MAPE=15.57%
16:34:41 |  Iter-67 | MAE=5.932 | MAPE=3.09%
16:36:56 |  Iter-68 | MAE=11.064 | MAPE=5.81%
16:40:02 |  Iter-69 | MAE=24.090 | MAPE=12.19%
16:42:13 |  Iter-70 | MAE=2.937 | MAPE=1.48%
16:44:24 |  Iter-71 | MAE=18.050 | MAPE=8.06%
16:46:35 |  Iter-72 | MAE=4.700 | MAPE=2.11%
16:48:46 |  Iter-73 | MAE=17.827 | MAPE=7.35%
16:51:26 |  Iter-74 | MAE=1.249 | MAPE=0.57%
16:54:07 |  Iter-75 | MAE=17.109 | MAPE=8.34%
16:56:18 |  Iter-76 | MAE=8.509 | MAPE=3.94%
16:58:29 |  Iter-77 | MAE=17.330 | MAPE=7.30%
17:00:48 |  Iter-78 | MAE=6.527 | MAPE=2.59%
17:03:00 |  Iter-79 | MAE=14.249 | MAPE=5.98%
17:05:19 |  Iter-80 | MAE=5.364 | MAPE=2.19%
17:07:31 |  Iter-81 | MAE=47.207 | MAPE=16.15%
17:09:46 |  Iter-82 | MAE=19.612 | MAPE=7.33%
17:11:58 |  Iter-83 | MAE=30.567 | MAPE=12.58%
17:14:13 |  Iter-84 | MAE=59.867 | MAPE=31.34%
17:16:40 |  Iter-85 | MAE=8.778 | MAPE=4.24%
17:18:51 |  Iter-86 | MAE=1.043 | MAPE=0.52%
17:21:03 |  Iter-87 | MAE=4.065 | MAPE=2.11%
17:23:18 |  Iter-88 | MAE=12.507 | MAPE=6.90%
17:25:28 |  Iter-89 | MAE=14.320 | MAPE=8.61%
17:27:52 |  Iter-90 | MAE=3.192 | MAPE=1.88%
17:30:03 |  Iter-91 | MAE=5.073 | MAPE=3.10%
17:33:00 |  Iter-92 | MAE=16.210 | MAPE=10.97%
17:35:11 |  Iter-93 | MAE=3.564 | MAPE=2.46%
17:37:23 |  Iter-94 | MAE=14.322 | MAPE=8.94%
17:40:50 |  Iter-95 | MAE=5.028 | MAPE=3.07%
17:43:09 |  Iter-96 | MAE=1.659 | MAPE=1.00%
17:46:04 |  Iter-97 | MAE=5.719 | MAPE=3.43%
17:48:28 |  Iter-98 | MAE=3.266 | MAPE=2.04%
17:50:49 |  Iter-99 | MAE=0.365 | MAPE=0.22%
17:53:09 |  Iter-100 | MAE=7.362 | MAPE=4.29%
17:53:09 | 
 OVERALL: MAE=6.327, MAPE=3.70%, R2=0.9586 (14637.7s)
17:53:09 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TimesNet/DAU_H1_seed123/model_checkpoint.pth
17:53:09 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TimesNet/DAU_H1_seed123/processor.pkl
