14:23:58 | ================================================================================
14:23:58 |  TimesNet | XANG | H1 | walkforward | seed=2025
14:23:58 | ================================================================================
14:23:58 | Data: 4513 rows | Features: 15
14:27:11 |  Iter-01 | MAE=0.102 | MAPE=0.13%
14:29:27 |  Iter-02 | MAE=0.263 | MAPE=0.34%
14:32:09 |  Iter-03 | MAE=0.576 | MAPE=0.74%
14:35:18 |  Iter-04 | MAE=2.653 | MAPE=3.53%
14:38:23 |  Iter-05 | MAE=0.413 | MAPE=0.56%
14:40:48 |  Iter-06 | MAE=0.615 | MAPE=0.83%
14:43:29 |  Iter-07 | MAE=1.153 | MAPE=1.57%
14:46:32 |  Iter-08 | MAE=0.490 | MAPE=0.67%
14:48:53 |  Iter-09 | MAE=0.889 | MAPE=1.20%
14:51:37 |  Iter-10 | MAE=0.972 | MAPE=1.32%
14:54:57 |  Iter-11 | MAE=0.120 | MAPE=0.16%
14:57:42 |  Iter-12 | MAE=0.359 | MAPE=0.49%
15:00:05 |  Iter-13 | MAE=1.037 | MAPE=1.43%
15:02:45 |  Iter-14 | MAE=0.261 | MAPE=0.36%
15:05:43 |  Iter-15 | MAE=0.146 | MAPE=0.20%
15:09:14 |  Iter-16 | MAE=1.046 | MAPE=1.44%
15:12:00 |  Iter-17 | MAE=0.698 | MAPE=0.96%
15:15:04 |  Iter-18 | MAE=1.221 | MAPE=1.73%
15:17:32 |  Iter-19 | MAE=0.183 | MAPE=0.26%
15:20:47 |  Iter-20 | MAE=1.277 | MAPE=1.82%
15:23:33 |  Iter-21 | MAE=0.649 | MAPE=0.92%
15:26:05 |  Iter-22 | MAE=1.105 | MAPE=1.53%
15:29:03 |  Iter-23 | MAE=1.262 | MAPE=1.74%
15:31:59 |  Iter-24 | MAE=0.309 | MAPE=0.42%
15:35:11 |  Iter-25 | MAE=1.356 | MAPE=1.87%
15:38:20 |  Iter-26 | MAE=1.945 | MAPE=2.70%
15:41:22 |  Iter-27 | MAE=0.145 | MAPE=0.20%
15:44:15 |  Iter-28 | MAE=0.311 | MAPE=0.44%
15:47:28 |  Iter-29 | MAE=0.491 | MAPE=0.68%
15:50:05 |  Iter-30 | MAE=0.690 | MAPE=0.95%
15:52:54 |  Iter-31 | MAE=1.130 | MAPE=1.55%
15:56:25 |  Iter-32 | MAE=0.606 | MAPE=0.85%
15:59:42 |  Iter-33 | MAE=0.298 | MAPE=0.41%
16:02:03 |  Iter-34 | MAE=1.772 | MAPE=2.49%
16:05:00 |  Iter-35 | MAE=0.220 | MAPE=0.30%
16:08:40 |  Iter-36 | MAE=0.361 | MAPE=0.48%
16:11:45 |  Iter-37 | MAE=1.424 | MAPE=1.91%
16:14:49 |  Iter-38 | MAE=3.150 | MAPE=4.39%
16:18:16 |  Iter-39 | MAE=2.778 | MAPE=3.86%
16:21:05 |  Iter-40 | MAE=1.328 | MAPE=1.80%
16:23:44 |  Iter-41 | MAE=0.209 | MAPE=0.28%
16:26:46 |  Iter-42 | MAE=0.715 | MAPE=0.96%
16:30:15 |  Iter-43 | MAE=0.826 | MAPE=1.09%
16:32:53 |  Iter-44 | MAE=0.915 | MAPE=1.18%
16:35:51 |  Iter-45 | MAE=0.425 | MAPE=0.56%
16:39:11 |  Iter-46 | MAE=1.162 | MAPE=1.53%
16:42:01 |  Iter-47 | MAE=2.445 | MAPE=3.36%
16:44:33 |  Iter-48 | MAE=0.201 | MAPE=0.28%
16:47:45 |  Iter-49 | MAE=0.586 | MAPE=0.81%
16:50:46 |  Iter-50 | MAE=0.674 | MAPE=0.93%
16:53:34 |  Iter-51 | MAE=3.652 | MAPE=4.74%
16:56:24 |  Iter-52 | MAE=1.261 | MAPE=1.60%
17:00:00 |  Iter-53 | MAE=0.846 | MAPE=1.08%
17:03:32 |  Iter-54 | MAE=1.804 | MAPE=2.25%
17:06:37 |  Iter-55 | MAE=1.200 | MAPE=1.50%
17:09:52 |  Iter-56 | MAE=1.412 | MAPE=1.75%
17:13:09 |  Iter-57 | MAE=0.549 | MAPE=0.68%
17:16:02 |  Iter-58 | MAE=10.870 | MAPE=11.87%
17:19:02 |  Iter-59 | MAE=6.809 | MAPE=7.01%
17:22:04 |  Iter-60 | MAE=3.829 | MAPE=3.74%
17:24:57 |  Iter-61 | MAE=14.726 | MAPE=13.56%
17:27:40 |  Iter-62 | MAE=5.425 | MAPE=4.57%
17:30:27 |  Iter-63 | MAE=18.181 | MAPE=12.69%
17:32:42 |  Iter-64 | MAE=19.805 | MAPE=16.06%
