15:55:15 | ================================================================================
15:55:15 |  UniTS | DAU | H1 | walkforward | seed=123
15:55:15 | ================================================================================
15:55:15 | Data: 4513 rows | Features: 16
15:58:51 |  Iter-01 | MAE=0.851 | MAPE=1.03%
16:02:23 |  Iter-02 | MAE=0.324 | MAPE=0.39%
16:06:02 |  Iter-03 | MAE=1.685 | MAPE=2.07%
16:09:34 |  Iter-04 | MAE=1.986 | MAPE=2.48%
16:13:00 |  Iter-05 | MAE=0.735 | MAPE=0.93%
16:16:20 |  Iter-06 | MAE=0.951 | MAPE=1.19%
16:19:52 |  Iter-07 | MAE=1.414 | MAPE=1.79%
16:23:18 |  Iter-08 | MAE=0.369 | MAPE=0.47%
16:26:44 |  Iter-09 | MAE=0.044 | MAPE=0.05%
16:30:36 |  Iter-10 | MAE=0.299 | MAPE=0.37%
16:34:40 |  Iter-11 | MAE=0.244 | MAPE=0.30%
16:38:19 |  Iter-12 | MAE=0.974 | MAPE=1.21%
16:41:45 |  Iter-13 | MAE=1.577 | MAPE=1.99%
16:45:32 |  Iter-14 | MAE=0.063 | MAPE=0.08%
16:49:12 |  Iter-15 | MAE=0.036 | MAPE=0.05%
16:53:18 |  Iter-16 | MAE=0.368 | MAPE=0.46%
16:56:40 |  Iter-17 | MAE=0.804 | MAPE=1.01%
17:00:08 |  Iter-18 | MAE=1.106 | MAPE=1.42%
17:03:46 |  Iter-19 | MAE=0.943 | MAPE=1.19%
17:07:08 |  Iter-20 | MAE=2.372 | MAPE=3.07%
17:10:42 |  Iter-21 | MAE=0.185 | MAPE=0.24%
17:14:10 |  Iter-22 | MAE=2.360 | MAPE=2.97%
17:17:38 |  Iter-23 | MAE=0.265 | MAPE=0.33%
17:21:12 |  Iter-24 | MAE=0.886 | MAPE=1.09%
17:24:44 |  Iter-25 | MAE=0.338 | MAPE=0.41%
17:28:34 |  Iter-26 | MAE=1.629 | MAPE=1.99%
17:32:14 |  Iter-27 | MAE=0.600 | MAPE=0.73%
17:36:00 |  Iter-28 | MAE=0.108 | MAPE=0.13%
17:39:35 |  Iter-29 | MAE=0.060 | MAPE=0.07%
17:43:09 |  Iter-30 | MAE=1.020 | MAPE=1.22%
17:46:25 |  Iter-31 | MAE=0.970 | MAPE=1.14%
17:50:18 |  Iter-32 | MAE=0.940 | MAPE=1.12%
17:53:46 |  Iter-33 | MAE=1.758 | MAPE=2.05%
17:57:20 |  Iter-34 | MAE=1.265 | MAPE=1.51%
18:00:41 |  Iter-35 | MAE=2.634 | MAPE=3.04%
18:04:15 |  Iter-36 | MAE=2.172 | MAPE=2.45%
18:07:42 |  Iter-37 | MAE=0.775 | MAPE=0.87%
18:11:09 |  Iter-38 | MAE=1.770 | MAPE=2.04%
18:14:50 |  Iter-39 | MAE=0.270 | MAPE=0.31%
18:18:11 |  Iter-40 | MAE=1.281 | MAPE=1.46%
18:21:32 |  Iter-41 | MAE=0.123 | MAPE=0.14%
18:24:53 |  Iter-42 | MAE=1.122 | MAPE=1.26%
18:28:15 |  Iter-43 | MAE=0.992 | MAPE=1.13%
18:31:52 |  Iter-44 | MAE=0.752 | MAPE=0.85%
18:35:22 |  Iter-45 | MAE=1.635 | MAPE=1.84%
18:38:47 |  Iter-46 | MAE=0.193 | MAPE=0.22%
18:42:11 |  Iter-47 | MAE=1.509 | MAPE=1.74%
18:45:35 |  Iter-48 | MAE=0.452 | MAPE=0.52%
18:48:54 |  Iter-49 | MAE=0.459 | MAPE=0.53%
18:52:18 |  Iter-50 | MAE=0.119 | MAPE=0.14%
18:55:49 |  Iter-51 | MAE=4.411 | MAPE=4.83%
18:59:19 |  Iter-52 | MAE=0.307 | MAPE=0.33%
19:02:44 |  Iter-53 | MAE=1.096 | MAPE=1.20%
19:06:02 |  Iter-54 | MAE=1.065 | MAPE=1.16%
19:09:32 |  Iter-55 | MAE=0.160 | MAPE=0.17%
19:12:56 |  Iter-56 | MAE=0.796 | MAPE=0.86%
19:16:46 |  Iter-57 | MAE=0.301 | MAPE=0.33%
19:20:10 |  Iter-58 | MAE=22.337 | MAPE=19.45%
19:23:34 |  Iter-59 | MAE=10.393 | MAPE=8.28%
19:26:52 |  Iter-60 | MAE=15.422 | MAPE=10.78%
19:32:05 |  Iter-61 | MAE=18.534 | MAPE=12.14%
19:39:12 |  Iter-62 | MAE=8.703 | MAPE=5.61%
19:42:30 |  Iter-63 | MAE=28.507 | MAPE=15.42%
19:45:47 |  Iter-64 | MAE=24.908 | MAPE=15.48%
19:49:11 |  Iter-65 | MAE=11.050 | MAPE=6.74%
19:52:30 |  Iter-66 | MAE=30.175 | MAPE=15.55%
19:55:47 |  Iter-67 | MAE=1.448 | MAPE=0.75%
19:59:05 |  Iter-68 | MAE=0.307 | MAPE=0.16%
20:02:22 |  Iter-69 | MAE=8.654 | MAPE=4.38%
20:05:40 |  Iter-70 | MAE=2.878 | MAPE=1.45%
20:08:58 |  Iter-71 | MAE=24.327 | MAPE=10.86%
20:12:16 |  Iter-72 | MAE=1.934 | MAPE=0.87%
20:15:34 |  Iter-73 | MAE=17.314 | MAPE=7.14%
20:18:52 |  Iter-74 | MAE=23.855 | MAPE=10.87%
20:22:10 |  Iter-75 | MAE=14.449 | MAPE=7.04%
20:25:28 |  Iter-76 | MAE=10.658 | MAPE=4.93%
20:28:46 |  Iter-77 | MAE=20.318 | MAPE=8.56%
20:32:03 |  Iter-78 | MAE=10.579 | MAPE=4.20%
20:35:21 |  Iter-79 | MAE=17.187 | MAPE=7.21%
20:38:39 |  Iter-80 | MAE=5.743 | MAPE=2.34%
20:41:57 |  Iter-81 | MAE=46.694 | MAPE=15.97%
20:45:22 |  Iter-82 | MAE=26.770 | MAPE=10.00%
20:48:40 |  Iter-83 | MAE=24.017 | MAPE=9.91%
20:51:58 |  Iter-84 | MAE=57.216 | MAPE=29.98%
20:55:16 |  Iter-85 | MAE=7.093 | MAPE=3.41%
20:58:34 |  Iter-86 | MAE=2.525 | MAPE=1.27%
21:01:52 |  Iter-87 | MAE=6.033 | MAPE=3.16%
21:05:10 |  Iter-88 | MAE=11.124 | MAPE=6.15%
21:08:27 |  Iter-89 | MAE=16.850 | MAPE=10.18%
21:11:45 |  Iter-90 | MAE=2.164 | MAPE=1.34%
21:15:03 |  Iter-91 | MAE=2.362 | MAPE=1.44%
21:18:21 |  Iter-92 | MAE=16.052 | MAPE=10.85%
21:21:39 |  Iter-93 | MAE=5.387 | MAPE=3.69%
21:24:57 |  Iter-94 | MAE=13.679 | MAPE=8.54%
21:28:15 |  Iter-95 | MAE=2.331 | MAPE=1.42%
21:31:32 |  Iter-96 | MAE=0.393 | MAPE=0.24%
