10:47:33 | ================================================================================
10:47:33 |  UniTS | XANG | H1 | walkforward | seed=9999
10:47:33 | ================================================================================
10:47:33 | Data: 4513 rows | Features: 15
10:49:28 |  Iter-01 | MAE=0.126 | MAPE=0.16%
10:51:08 |  Iter-02 | MAE=0.207 | MAPE=0.26%
10:52:43 |  Iter-03 | MAE=0.758 | MAPE=0.97%
10:54:27 |  Iter-04 | MAE=2.973 | MAPE=3.96%
10:56:12 |  Iter-05 | MAE=0.912 | MAPE=1.22%
10:58:53 |  Iter-06 | MAE=0.195 | MAPE=0.26%
11:01:01 |  Iter-07 | MAE=1.333 | MAPE=1.82%
11:02:46 |  Iter-08 | MAE=0.515 | MAPE=0.69%
11:04:33 |  Iter-09 | MAE=1.033 | MAPE=1.40%
11:06:27 |  Iter-10 | MAE=1.085 | MAPE=1.47%
11:08:53 |  Iter-11 | MAE=0.478 | MAPE=0.65%
11:10:50 |  Iter-12 | MAE=1.115 | MAPE=1.52%
11:12:33 |  Iter-13 | MAE=1.571 | MAPE=2.17%
11:14:45 |  Iter-14 | MAE=0.368 | MAPE=0.51%
11:16:23 |  Iter-15 | MAE=0.690 | MAPE=0.95%
11:18:42 |  Iter-16 | MAE=0.337 | MAPE=0.46%
11:20:56 |  Iter-17 | MAE=0.714 | MAPE=0.98%
11:22:39 |  Iter-18 | MAE=1.331 | MAPE=1.88%
11:24:17 |  Iter-19 | MAE=0.577 | MAPE=0.80%
11:26:12 |  Iter-20 | MAE=2.221 | MAPE=3.17%
11:28:00 |  Iter-21 | MAE=0.714 | MAPE=1.01%
11:29:31 |  Iter-22 | MAE=1.581 | MAPE=2.18%
11:30:57 |  Iter-23 | MAE=0.441 | MAPE=0.61%
11:32:30 |  Iter-24 | MAE=0.230 | MAPE=0.32%
11:34:14 |  Iter-25 | MAE=1.162 | MAPE=1.60%
11:36:00 |  Iter-26 | MAE=1.562 | MAPE=2.17%
11:38:11 |  Iter-27 | MAE=0.512 | MAPE=0.72%
11:40:49 |  Iter-28 | MAE=0.954 | MAPE=1.34%
11:42:56 |  Iter-29 | MAE=0.562 | MAPE=0.78%
11:44:33 |  Iter-30 | MAE=0.318 | MAPE=0.44%
11:46:09 |  Iter-31 | MAE=0.318 | MAPE=0.44%
11:47:57 |  Iter-32 | MAE=0.793 | MAPE=1.12%
11:49:51 |  Iter-33 | MAE=0.357 | MAPE=0.50%
11:51:26 |  Iter-34 | MAE=1.681 | MAPE=2.36%
11:53:01 |  Iter-35 | MAE=1.851 | MAPE=2.52%
11:54:53 |  Iter-36 | MAE=1.058 | MAPE=1.42%
11:56:49 |  Iter-37 | MAE=0.942 | MAPE=1.27%
11:58:39 |  Iter-38 | MAE=2.922 | MAPE=4.07%
12:00:17 |  Iter-39 | MAE=0.523 | MAPE=0.73%
12:01:51 |  Iter-40 | MAE=1.614 | MAPE=2.19%
12:03:45 |  Iter-41 | MAE=0.140 | MAPE=0.19%
12:05:36 |  Iter-42 | MAE=0.109 | MAPE=0.15%
12:07:07 |  Iter-43 | MAE=1.392 | MAPE=1.84%
12:08:58 |  Iter-44 | MAE=1.559 | MAPE=2.01%
12:10:51 |  Iter-45 | MAE=0.413 | MAPE=0.54%
12:12:44 |  Iter-46 | MAE=0.375 | MAPE=0.50%
12:14:35 |  Iter-47 | MAE=2.390 | MAPE=3.29%
12:16:23 |  Iter-48 | MAE=1.092 | MAPE=1.50%
12:18:27 |  Iter-49 | MAE=0.553 | MAPE=0.76%
12:20:12 |  Iter-50 | MAE=0.159 | MAPE=0.22%
12:22:06 |  Iter-51 | MAE=3.804 | MAPE=4.94%
12:24:06 |  Iter-52 | MAE=1.192 | MAPE=1.51%
12:25:50 |  Iter-53 | MAE=0.187 | MAPE=0.24%
12:27:27 |  Iter-54 | MAE=2.002 | MAPE=2.50%
12:29:25 |  Iter-55 | MAE=0.481 | MAPE=0.60%
12:31:24 |  Iter-56 | MAE=1.226 | MAPE=1.52%
12:33:08 |  Iter-57 | MAE=0.675 | MAPE=0.83%
12:34:48 |  Iter-58 | MAE=11.879 | MAPE=12.98%
12:36:41 |  Iter-59 | MAE=4.774 | MAPE=4.91%
12:38:33 |  Iter-60 | MAE=3.903 | MAPE=3.81%
12:40:06 |  Iter-61 | MAE=6.976 | MAPE=6.43%
12:41:41 |  Iter-62 | MAE=8.489 | MAPE=7.20%
12:43:14 |  Iter-63 | MAE=25.291 | MAPE=17.65%
12:44:49 |  Iter-64 | MAE=19.082 | MAPE=15.49%
12:46:22 |  Iter-65 | MAE=2.112 | MAPE=1.74%
12:47:58 |  Iter-66 | MAE=13.372 | MAPE=9.79%
12:49:36 |  Iter-67 | MAE=4.199 | MAPE=2.93%
12:51:14 |  Iter-68 | MAE=1.104 | MAPE=0.76%
12:52:49 |  Iter-69 | MAE=0.831 | MAPE=0.57%
