13:49:13 | ================================================================================
13:49:13 |  iTransformer | DAU | H1 | walkforward | seed=123
13:49:13 | ================================================================================
13:49:14 | Data: 4513 rows | Features: 16
13:51:48 |  Iter-01 | MAE=1.074 | MAPE=1.30%
13:54:10 |  Iter-02 | MAE=0.900 | MAPE=1.09%
13:56:28 |  Iter-03 | MAE=0.839 | MAPE=1.03%
13:58:58 |  Iter-04 | MAE=0.674 | MAPE=0.84%
14:01:19 |  Iter-05 | MAE=0.470 | MAPE=0.59%
14:03:37 |  Iter-06 | MAE=0.272 | MAPE=0.34%
14:06:00 |  Iter-07 | MAE=1.276 | MAPE=1.62%
14:09:08 |  Iter-08 | MAE=1.199 | MAPE=1.51%
14:11:52 |  Iter-09 | MAE=0.796 | MAPE=1.00%
14:15:31 |  Iter-10 | MAE=0.521 | MAPE=0.64%
14:17:49 |  Iter-11 | MAE=0.288 | MAPE=0.36%
14:20:22 |  Iter-12 | MAE=0.596 | MAPE=0.74%
14:22:40 |  Iter-13 | MAE=0.426 | MAPE=0.54%
14:25:10 |  Iter-14 | MAE=0.145 | MAPE=0.18%
14:27:34 |  Iter-15 | MAE=0.703 | MAPE=0.88%
14:30:11 |  Iter-16 | MAE=0.235 | MAPE=0.29%
14:32:33 |  Iter-17 | MAE=0.466 | MAPE=0.59%
14:34:55 |  Iter-18 | MAE=1.444 | MAPE=1.85%
14:37:04 |  Iter-19 | MAE=0.455 | MAPE=0.57%
14:39:21 |  Iter-20 | MAE=1.119 | MAPE=1.45%
14:41:31 |  Iter-21 | MAE=0.123 | MAPE=0.16%
14:43:57 |  Iter-22 | MAE=0.874 | MAPE=1.10%
14:46:15 |  Iter-23 | MAE=0.190 | MAPE=0.24%
14:48:33 |  Iter-24 | MAE=0.680 | MAPE=0.84%
14:50:59 |  Iter-25 | MAE=0.087 | MAPE=0.11%
14:53:25 |  Iter-26 | MAE=1.808 | MAPE=2.21%
14:55:34 |  Iter-27 | MAE=1.495 | MAPE=1.83%
14:58:15 |  Iter-28 | MAE=0.194 | MAPE=0.24%
15:00:29 |  Iter-29 | MAE=0.640 | MAPE=0.78%
15:03:18 |  Iter-30 | MAE=0.584 | MAPE=0.70%
15:05:55 |  Iter-31 | MAE=2.306 | MAPE=2.70%
15:08:20 |  Iter-32 | MAE=0.024 | MAPE=0.03%
15:10:36 |  Iter-33 | MAE=0.152 | MAPE=0.18%
15:13:13 |  Iter-34 | MAE=1.102 | MAPE=1.31%
15:15:27 |  Iter-35 | MAE=0.438 | MAPE=0.51%
15:17:44 |  Iter-36 | MAE=2.059 | MAPE=2.33%
15:20:11 |  Iter-37 | MAE=0.516 | MAPE=0.58%
15:22:32 |  Iter-38 | MAE=1.980 | MAPE=2.28%
15:24:58 |  Iter-39 | MAE=1.882 | MAPE=2.18%
15:27:15 |  Iter-40 | MAE=1.184 | MAPE=1.35%
15:29:36 |  Iter-41 | MAE=0.370 | MAPE=0.42%
15:31:53 |  Iter-42 | MAE=1.744 | MAPE=1.97%
15:34:19 |  Iter-43 | MAE=1.608 | MAPE=1.84%
15:36:51 |  Iter-44 | MAE=0.051 | MAPE=0.06%
15:39:33 |  Iter-45 | MAE=0.859 | MAPE=0.96%
15:41:57 |  Iter-46 | MAE=0.228 | MAPE=0.26%
15:44:25 |  Iter-47 | MAE=0.782 | MAPE=0.90%
15:46:49 |  Iter-48 | MAE=0.552 | MAPE=0.64%
15:49:28 |  Iter-49 | MAE=0.517 | MAPE=0.60%
15:51:52 |  Iter-50 | MAE=1.166 | MAPE=1.35%
15:54:08 |  Iter-51 | MAE=3.385 | MAPE=3.70%
15:56:20 |  Iter-52 | MAE=0.142 | MAPE=0.15%
15:59:06 |  Iter-53 | MAE=1.110 | MAPE=1.21%
16:01:26 |  Iter-54 | MAE=0.869 | MAPE=0.94%
16:03:42 |  Iter-55 | MAE=0.198 | MAPE=0.21%
16:06:02 |  Iter-56 | MAE=1.244 | MAPE=1.35%
16:08:25 |  Iter-57 | MAE=0.423 | MAPE=0.46%
16:10:48 |  Iter-58 | MAE=21.191 | MAPE=18.45%
16:12:59 |  Iter-59 | MAE=11.059 | MAPE=8.81%
16:16:17 |  Iter-60 | MAE=9.730 | MAPE=6.78%
16:18:33 |  Iter-61 | MAE=13.796 | MAPE=9.04%
16:20:50 |  Iter-62 | MAE=0.888 | MAPE=0.57%
16:23:02 |  Iter-63 | MAE=26.492 | MAPE=14.33%
16:25:41 |  Iter-64 | MAE=15.419 | MAPE=9.58%
16:29:19 |  Iter-65 | MAE=9.456 | MAPE=5.76%
16:32:03 |  Iter-66 | MAE=27.553 | MAPE=14.20%
16:36:52 |  Iter-67 | MAE=3.418 | MAPE=1.78%
16:39:28 |  Iter-68 | MAE=10.324 | MAPE=5.42%
16:42:11 |  Iter-69 | MAE=7.869 | MAPE=3.98%
16:44:35 |  Iter-70 | MAE=9.748 | MAPE=4.91%
16:47:02 |  Iter-71 | MAE=18.913 | MAPE=8.44%
16:49:52 |  Iter-72 | MAE=6.484 | MAPE=2.91%
16:53:09 |  Iter-73 | MAE=12.302 | MAPE=5.07%
16:56:04 |  Iter-74 | MAE=3.176 | MAPE=1.45%
16:58:28 |  Iter-75 | MAE=22.853 | MAPE=11.14%
17:00:53 |  Iter-76 | MAE=9.681 | MAPE=4.48%
17:04:12 |  Iter-77 | MAE=17.837 | MAPE=7.52%
17:06:28 |  Iter-78 | MAE=8.622 | MAPE=3.43%
17:10:31 |  Iter-79 | MAE=6.018 | MAPE=2.52%
17:12:55 |  Iter-80 | MAE=1.300 | MAPE=0.53%
17:15:58 |  Iter-81 | MAE=37.563 | MAPE=12.85%
17:20:34 |  Iter-82 | MAE=28.813 | MAPE=10.76%
17:23:18 |  Iter-83 | MAE=23.229 | MAPE=9.60%
17:26:02 |  Iter-84 | MAE=68.228 | MAPE=35.72%
17:29:44 |  Iter-85 | MAE=7.250 | MAPE=3.44%
17:34:12 |  Iter-86 | MAE=4.802 | MAPE=2.51%
17:39:24 |  Iter-87 | MAE=2.111 | MAPE=1.09%
17:42:19 |  Iter-88 | MAE=26.211 | MAPE=14.57%
17:46:42 |  Iter-89 | MAE=9.168 | MAPE=5.50%
17:54:38 |  Iter-90 | MAE=3.082 | MAPE=1.92%
17:57:32 |  Iter-91 | MAE=5.536 | MAPE=3.38%
18:00:26 |  Iter-92 | MAE=14.372 | MAPE=9.69%
18:02:53 |  Iter-93 | MAE=8.790 | MAPE=6.08%
18:05:31 |  Iter-94 | MAE=13.409 | MAPE=8.37%
18:08:52 |  Iter-95 | MAE=3.118 | MAPE=1.92%
18:11:46 |  Iter-96 | MAE=1.884 | MAPE=1.12%
18:14:47 |  Iter-97 | MAE=3.515 | MAPE=2.10%
18:16:59 |  Iter-98 | MAE=8.378 | MAPE=5.23%
18:20:17 |  Iter-99 | MAE=0.594 | MAPE=0.36%
18:22:49 |  Iter-100 | MAE=7.438 | MAPE=4.33%
18:22:49 | 
 OVERALL: MAE=5.991, MAPE=3.48%, R2=0.9600 (16416.8s)
18:22:49 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/iTransformer/DAU_H1_seed123/model_checkpoint.pth
18:22:49 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/iTransformer/DAU_H1_seed123/processor.pkl
