09:28:47 | ================================================================================
09:28:47 |  iTransformer | XANG | H1 | walkforward | seed=777
09:28:47 | ================================================================================
09:28:47 | Data: 4513 rows | Features: 15
09:31:15 |  Iter-01 | MAE=0.247 | MAPE=0.31%
09:34:10 |  Iter-02 | MAE=0.254 | MAPE=0.33%
09:37:22 |  Iter-03 | MAE=0.502 | MAPE=0.64%
09:39:53 |  Iter-04 | MAE=2.532 | MAPE=3.37%
09:42:18 |  Iter-05 | MAE=0.429 | MAPE=0.58%
09:44:46 |  Iter-06 | MAE=0.625 | MAPE=0.84%
09:47:00 |  Iter-07 | MAE=1.475 | MAPE=2.01%
09:49:55 |  Iter-08 | MAE=0.500 | MAPE=0.68%
09:52:27 |  Iter-09 | MAE=0.717 | MAPE=0.97%
09:55:21 |  Iter-10 | MAE=0.859 | MAPE=1.16%
09:58:27 |  Iter-11 | MAE=0.656 | MAPE=0.89%
10:01:11 |  Iter-12 | MAE=0.550 | MAPE=0.75%
10:03:58 |  Iter-13 | MAE=0.630 | MAPE=0.87%
10:06:40 |  Iter-14 | MAE=0.083 | MAPE=0.11%
10:09:07 |  Iter-15 | MAE=0.134 | MAPE=0.19%
10:11:29 |  Iter-16 | MAE=0.563 | MAPE=0.77%
10:14:13 |  Iter-17 | MAE=0.582 | MAPE=0.80%
10:17:12 |  Iter-18 | MAE=1.002 | MAPE=1.42%
10:20:04 |  Iter-19 | MAE=0.617 | MAPE=0.86%
10:23:06 |  Iter-20 | MAE=1.388 | MAPE=1.98%
10:25:33 |  Iter-21 | MAE=1.194 | MAPE=1.69%
10:28:39 |  Iter-22 | MAE=0.344 | MAPE=0.48%
10:31:18 |  Iter-23 | MAE=0.874 | MAPE=1.21%
10:33:38 |  Iter-24 | MAE=0.212 | MAPE=0.29%
10:36:32 |  Iter-25 | MAE=0.939 | MAPE=1.30%
10:38:56 |  Iter-26 | MAE=1.486 | MAPE=2.06%
10:41:19 |  Iter-27 | MAE=0.420 | MAPE=0.59%
10:43:52 |  Iter-28 | MAE=0.103 | MAPE=0.15%
10:46:41 |  Iter-29 | MAE=0.340 | MAPE=0.47%
10:49:15 |  Iter-30 | MAE=0.631 | MAPE=0.87%
10:51:44 |  Iter-31 | MAE=0.551 | MAPE=0.75%
10:54:06 |  Iter-32 | MAE=0.685 | MAPE=0.95%
10:56:56 |  Iter-33 | MAE=1.484 | MAPE=2.04%
10:59:39 |  Iter-34 | MAE=1.150 | MAPE=1.61%
11:02:53 |  Iter-35 | MAE=0.592 | MAPE=0.81%
11:05:19 |  Iter-36 | MAE=1.023 | MAPE=1.37%
11:08:14 |  Iter-37 | MAE=1.578 | MAPE=2.12%
11:11:07 |  Iter-38 | MAE=3.017 | MAPE=4.21%
11:13:41 |  Iter-39 | MAE=2.154 | MAPE=2.99%
11:16:32 |  Iter-40 | MAE=2.138 | MAPE=2.89%
11:19:52 |  Iter-41 | MAE=0.758 | MAPE=1.02%
11:22:29 |  Iter-42 | MAE=1.211 | MAPE=1.63%
11:24:46 |  Iter-43 | MAE=1.185 | MAPE=1.57%
11:27:31 |  Iter-44 | MAE=1.224 | MAPE=1.58%
11:30:13 |  Iter-45 | MAE=0.691 | MAPE=0.90%
11:32:27 |  Iter-46 | MAE=1.489 | MAPE=1.96%
11:35:03 |  Iter-47 | MAE=2.375 | MAPE=3.26%
11:38:16 |  Iter-48 | MAE=0.134 | MAPE=0.18%
11:41:53 |  Iter-49 | MAE=0.593 | MAPE=0.81%
11:44:08 |  Iter-50 | MAE=0.687 | MAPE=0.95%
11:46:45 |  Iter-51 | MAE=3.058 | MAPE=3.97%
11:49:55 |  Iter-52 | MAE=1.109 | MAPE=1.40%
11:52:11 |  Iter-53 | MAE=0.297 | MAPE=0.38%
11:55:07 |  Iter-54 | MAE=1.505 | MAPE=1.88%
11:58:28 |  Iter-55 | MAE=1.028 | MAPE=1.28%
12:00:47 |  Iter-56 | MAE=0.519 | MAPE=0.64%
12:02:59 |  Iter-57 | MAE=0.206 | MAPE=0.25%
12:06:26 |  Iter-58 | MAE=10.486 | MAPE=11.46%
12:08:55 |  Iter-59 | MAE=4.080 | MAPE=4.19%
12:11:29 |  Iter-60 | MAE=3.786 | MAPE=3.69%
12:14:11 |  Iter-61 | MAE=9.885 | MAPE=9.11%
12:16:24 |  Iter-62 | MAE=5.473 | MAPE=4.62%
12:18:36 |  Iter-63 | MAE=17.922 | MAPE=12.51%
12:21:17 |  Iter-64 | MAE=21.868 | MAPE=17.78%
12:24:18 |  Iter-65 | MAE=3.242 | MAPE=2.56%
12:26:46 |  Iter-66 | MAE=10.151 | MAPE=7.44%
12:29:43 |  Iter-67 | MAE=5.620 | MAPE=3.88%
12:32:06 |  Iter-68 | MAE=2.157 | MAPE=1.47%
12:34:07 |  Iter-69 | MAE=0.534 | MAPE=0.36%
12:36:53 |  Iter-70 | MAE=0.103 | MAPE=0.07%
12:39:21 |  Iter-71 | MAE=7.852 | MAPE=4.95%
12:41:49 |  Iter-72 | MAE=0.883 | MAPE=0.54%
