target,product,horizon,n,MAE_model,MAE_naive,MASE,RMSE_model,RMSE_naive,Theil_U
XANG,MG95,1,100,2.9084,3.2725,0.8887,5.2129,6.0355,0.8637
XANG,MG95,3,99,4.7981,6.3544,0.7551,8.8729,10.4855,0.8462
XANG,MG95,5,100,5.0856,8.3814,0.6068,8.6388,13.3792,0.6457
XANG,MG95,7,147,4.4501,7.522,0.5916,8.3126,13.8202,0.6015
XANG,MG95,10,200,6.0787,6.8149,0.892,12.3719,14.6582,0.844
XANG,MG95,20,297,5.8475,8.9044,0.6567,11.2609,18.614,0.605
XANG,MG95,60,597,8.7593,9.8347,0.8907,18.0874,19.1333,0.9453
DAU,DO 0.001%,1,100,5.6156,6.1979,0.906,11.4394,11.7443,0.974
DAU,DO 0.001%,3,99,8.7193,11.5676,0.7538,16.6169,20.2431,0.8209
DAU,DO 0.001%,5,100,9.1187,15.241,0.5983,15.6788,25.6764,0.6106
DAU,DO 0.001%,7,147,9.7226,14.674,0.6626,18.5109,26.9744,0.6862
DAU,DO 0.001%,10,200,12.0609,14.4948,0.8321,23.2686,28.7254,0.81
DAU,DO 0.001%,20,297,9.6677,16.2744,0.594,20.3892,34.4892,0.5912
DAU,DO 0.001%,60,597,13.6388,15.2372,0.8951,31.4601,34.5791,0.9098
