Target,Horizon,Model,Loss_Type,MCS_pvalue,In_MCS
DAU,1,Autoformer,mae,1.0,1
DAU,1,Chronos,mae,1.0,1
DAU,1,DLinear,mae,1.0,1
DAU,1,GUMNet,mae,1.0,1
DAU,1,GUMNetHet,mae,1.0,1
DAU,1,GUMNet_Adaptive,mae,1.0,1
DAU,1,GUMNet_Decomp,mae,1.0,1
DAU,1,GUMNet_Diffusion,mae,1.0,1
DAU,1,GUMNet_Fourier,mae,1.0,1
DAU,1,GUMNet_Fusion,mae,1.0,1
DAU,1,GUMNet_Graph,mae,1.0,1
DAU,1,GUMNet_Mamba,mae,1.0,1
DAU,1,GUMNet_MoE_Sparse,mae,1.0,1
DAU,1,GUMNet_Patch,mae,1.0,1
DAU,1,GUMNet_RL,mae,1.0,1
DAU,1,GUMNet_Wavelet,mae,1.0,1
DAU,1,GUMNet_iTrans,mae,1.0,1
DAU,1,LTSF_Linear,mae,1.0,1
DAU,1,Moirai,mae,1.0,1
DAU,1,NBEATS,mae,1.0,1
DAU,1,NHits,mae,1.0,1
DAU,1,PatchTST,mae,1.0,1
DAU,1,RLinear,mae,1.0,1
DAU,1,TFT,mae,1.0,1
DAU,1,TTM,mae,1.0,1
DAU,1,TimeMixer,mae,1.0,1
DAU,1,TimesFM,mae,1.0,1
DAU,1,TimesNet,mae,1.0,1
DAU,1,iTransformer,mae,1.0,1
DAU,1,Autoformer,mse,1.0,1
DAU,1,Chronos,mse,1.0,1
DAU,1,DLinear,mse,1.0,1
DAU,1,GUMNet,mse,1.0,1
DAU,1,GUMNetHet,mse,1.0,1
DAU,1,GUMNet_Adaptive,mse,1.0,1
DAU,1,GUMNet_Decomp,mse,1.0,1
DAU,1,GUMNet_Diffusion,mse,1.0,1
DAU,1,GUMNet_Fourier,mse,1.0,1
DAU,1,GUMNet_Fusion,mse,1.0,1
DAU,1,GUMNet_Graph,mse,1.0,1
DAU,1,GUMNet_Mamba,mse,1.0,1
DAU,1,GUMNet_MoE_Sparse,mse,1.0,1
DAU,1,GUMNet_Patch,mse,1.0,1
DAU,1,GUMNet_RL,mse,1.0,1
DAU,1,GUMNet_Wavelet,mse,1.0,1
DAU,1,GUMNet_iTrans,mse,1.0,1
DAU,1,LTSF_Linear,mse,1.0,1
DAU,1,Moirai,mse,1.0,1
DAU,1,NBEATS,mse,1.0,1
DAU,1,NHits,mse,1.0,1
DAU,1,PatchTST,mse,1.0,1
DAU,1,RLinear,mse,1.0,1
DAU,1,TFT,mse,1.0,1
DAU,1,TTM,mse,1.0,1
DAU,1,TimeMixer,mse,1.0,1
DAU,1,TimesFM,mse,1.0,1
DAU,1,TimesNet,mse,1.0,1
DAU,1,iTransformer,mse,1.0,1
DAU,3,Autoformer,mae,1.0,1
DAU,3,Chronos,mae,1.0,1
DAU,3,DLinear,mae,1.0,1
DAU,3,GUMNet,mae,1.0,1
DAU,3,GUMNetHet,mae,1.0,1
DAU,3,GUMNet_Adaptive,mae,1.0,1
DAU,3,GUMNet_Decomp,mae,1.0,1
DAU,3,GUMNet_Diffusion,mae,1.0,1
DAU,3,GUMNet_Fourier,mae,1.0,1
DAU,3,GUMNet_Fusion,mae,1.0,1
DAU,3,GUMNet_Graph,mae,1.0,1
DAU,3,GUMNet_Mamba,mae,1.0,1
DAU,3,GUMNet_MoE_Sparse,mae,1.0,1
DAU,3,GUMNet_Patch,mae,1.0,1
DAU,3,GUMNet_RL,mae,1.0,1
DAU,3,GUMNet_Wavelet,mae,1.0,1
DAU,3,GUMNet_iTrans,mae,1.0,1
DAU,3,LTSF_Linear,mae,1.0,1
DAU,3,Moirai,mae,1.0,1
DAU,3,PatchTST,mae,1.0,1
DAU,3,RLinear,mae,1.0,1
DAU,3,TFT,mae,1.0,1
DAU,3,TTM,mae,1.0,1
DAU,3,TimeMixer,mae,1.0,1
DAU,3,TimesFM,mae,1.0,1
DAU,3,TimesNet,mae,1.0,1
DAU,3,iTransformer,mae,1.0,1
DAU,3,Autoformer,mse,1.0,1
DAU,3,Chronos,mse,1.0,1
DAU,3,DLinear,mse,1.0,1
DAU,3,GUMNet,mse,1.0,1
DAU,3,GUMNetHet,mse,1.0,1
DAU,3,GUMNet_Adaptive,mse,1.0,1
DAU,3,GUMNet_Decomp,mse,1.0,1
DAU,3,GUMNet_Diffusion,mse,1.0,1
DAU,3,GUMNet_Fourier,mse,1.0,1
DAU,3,GUMNet_Fusion,mse,1.0,1
DAU,3,GUMNet_Graph,mse,1.0,1
DAU,3,GUMNet_Mamba,mse,1.0,1
DAU,3,GUMNet_MoE_Sparse,mse,1.0,1
DAU,3,GUMNet_Patch,mse,1.0,1
DAU,3,GUMNet_RL,mse,1.0,1
DAU,3,GUMNet_Wavelet,mse,1.0,1
DAU,3,GUMNet_iTrans,mse,1.0,1
DAU,3,LTSF_Linear,mse,1.0,1
DAU,3,Moirai,mse,1.0,1
DAU,3,PatchTST,mse,1.0,1
DAU,3,RLinear,mse,1.0,1
DAU,3,TFT,mse,1.0,1
DAU,3,TTM,mse,1.0,1
DAU,3,TimeMixer,mse,1.0,1
DAU,3,TimesFM,mse,1.0,1
DAU,3,TimesNet,mse,1.0,1
DAU,3,iTransformer,mse,1.0,1
DAU,5,Autoformer,mae,0.001,0
DAU,5,Chronos,mae,1.0,1
DAU,5,DLinear,mae,0.068,0
DAU,5,GUMNet,mae,1.0,1
DAU,5,GUMNetHet,mae,1.0,1
DAU,5,GUMNet_Adaptive,mae,1.0,1
DAU,5,GUMNet_Decomp,mae,1.0,1
DAU,5,GUMNet_Diffusion,mae,1.0,1
DAU,5,GUMNet_Fourier,mae,1.0,1
DAU,5,GUMNet_Fusion,mae,1.0,1
DAU,5,GUMNet_Graph,mae,0.053,0
DAU,5,GUMNet_Mamba,mae,1.0,1
DAU,5,GUMNet_MoE_Sparse,mae,1.0,1
DAU,5,GUMNet_Patch,mae,1.0,1
DAU,5,GUMNet_RL,mae,1.0,1
DAU,5,GUMNet_Wavelet,mae,1.0,1
DAU,5,GUMNet_iTrans,mae,1.0,1
DAU,5,LTSF_Linear,mae,1.0,1
DAU,5,Moirai,mae,1.0,1
DAU,5,PatchTST,mae,1.0,1
DAU,5,RLinear,mae,1.0,1
DAU,5,TFT,mae,1.0,1
DAU,5,TTM,mae,1.0,1
DAU,5,TimeMixer,mae,1.0,1
DAU,5,TimesFM,mae,1.0,1
DAU,5,TimesNet,mae,0.063,0
DAU,5,iTransformer,mae,1.0,1
DAU,5,Autoformer,mse,0.028,0
DAU,5,Chronos,mse,1.0,1
DAU,5,DLinear,mse,1.0,1
DAU,5,GUMNet,mse,1.0,1
DAU,5,GUMNetHet,mse,1.0,1
DAU,5,GUMNet_Adaptive,mse,1.0,1
DAU,5,GUMNet_Decomp,mse,1.0,1
DAU,5,GUMNet_Diffusion,mse,1.0,1
DAU,5,GUMNet_Fourier,mse,1.0,1
DAU,5,GUMNet_Fusion,mse,1.0,1
DAU,5,GUMNet_Graph,mse,0.053,0
DAU,5,GUMNet_Mamba,mse,1.0,1
DAU,5,GUMNet_MoE_Sparse,mse,1.0,1
DAU,5,GUMNet_Patch,mse,1.0,1
DAU,5,GUMNet_RL,mse,1.0,1
DAU,5,GUMNet_Wavelet,mse,1.0,1
DAU,5,GUMNet_iTrans,mse,1.0,1
DAU,5,LTSF_Linear,mse,1.0,1
DAU,5,Moirai,mse,1.0,1
DAU,5,PatchTST,mse,1.0,1
DAU,5,RLinear,mse,1.0,1
DAU,5,TFT,mse,1.0,1
DAU,5,TTM,mse,1.0,1
DAU,5,TimeMixer,mse,1.0,1
DAU,5,TimesFM,mse,1.0,1
DAU,5,TimesNet,mse,0.053,0
DAU,5,iTransformer,mse,1.0,1
DAU,7,Autoformer,mae,1.0,1
DAU,7,Chronos,mae,1.0,1
DAU,7,DLinear,mae,1.0,1
DAU,7,GUMNet,mae,0.018,0
DAU,7,GUMNetHet,mae,1.0,1
DAU,7,GUMNet_Adaptive,mae,1.0,1
DAU,7,GUMNet_Decomp,mae,1.0,1
DAU,7,GUMNet_Diffusion,mae,1.0,1
DAU,7,GUMNet_Fourier,mae,1.0,1
DAU,7,GUMNet_Fusion,mae,1.0,1
DAU,7,GUMNet_Graph,mae,1.0,1
DAU,7,GUMNet_Mamba,mae,1.0,1
