Model,Paradigm,XANG_Seeds,DAU_Seeds,XANG_MAE_mean,XANG_MAE_std,DAU_MAE_mean,DAU_MAE_std,XANG_RMSE_mean,XANG_RMSE_std,DAU_RMSE_mean,DAU_RMSE_std,XANG_MAPE_mean,XANG_MAPE_std,DAU_MAPE_mean,DAU_MAPE_std,XANG_CRPS_mean,XANG_CRPS_std,DAU_CRPS_mean,DAU_CRPS_std,XANG_DA_mean,XANG_DA_std,DAU_DA_mean,DAU_DA_std,XANG_R2_mean,XANG_R2_std,DAU_R2_mean,DAU_R2_std,XANG_MASE_mean,XANG_MASE_std,DAU_MASE_mean,DAU_MASE_std,XANG_SMAPE_mean,XANG_SMAPE_std,DAU_SMAPE_mean,DAU_SMAPE_std
PatchTST,P2 Transformer,5,1,2.8989042,0.07689336834187982,6.146751,0.0,5.1836518,0.11030644237106009,11.872754,0.0,2.54646,0.0527574298085114,3.584,0.0,2.902778,0.08553190040271529,6.146751,0.0,60.403999999999996,1.087062095742463,62.12,0.0,0.9709833999999999,0.001251420249156937,0.958842,0.0,0.6000686,0.015917012792606544,1.079843,0.0,2.54418,0.05102224612852718,3.5876,0.0
RLinear,P1 Linear,5,1,2.9517419773542404,0.0864579091962125,5.798225735783576,0.0,5.1264619110679925,0.16791523194512795,11.21523324388642,0.0,2.5804230264547323,0.06628982930330578,3.3715571097315773,0.0,2.9745264999999996,0.08214645590194385,,0.0,58.48717171717171,1.1249754550712678,60.60606060606061,0.0,0.9716026567497,0.0018796822955365821,0.9632745476062974,0.0,0.61572225,0.017004193561809978,,0.0,2.6056,0.06035606846042903,,0.0
TimesFM,P6 Foundation,5,1,2.9560082000000003,0.09492865529522683,6.112611,0.0,5.338491599999999,0.18423793986538153,11.864844,0.0,2.58244,0.06722748247554713,3.5448,0.0,2.9916092499999998,0.07019357655574697,,0.0,60.306,2.293927636173384,57.07,0.0,0.9692014,0.0021383551248564917,0.958897,0.0,0.6118892,0.019650069204967195,1.073846,0.0,2.58496,0.06807856050182022,3.5526,0.0
DLinear,P1 Linear,5,1,3.018799040151453,0.023761296188239214,6.034611210751532,0.0,5.55305415264273,0.10783393937698683,11.652639795587222,0.0,2.6483493266435003,0.019431614393527225,3.5124143491926185,0.0,3.017562,0.026421537691815093,,0.0,55.86109090909091,0.990598183084635,55.05050505050505,0.0,0.966703017542514,0.0012961530861996806,0.9603540181535232,0.0,0.62463075,0.0054692000043425025,,0.0,2.6546,0.023799894957751415,,0.0
LTSF_Linear,P1 Linear,5,1,3.03061535885787,0.022822819706506715,5.772568641489744,0.0,5.542662762414298,0.05386271796068184,11.186683455617015,0.0,2.6566932554414335,0.01720353115301791,3.367762287431545,0.0,3.031495,0.02544076515162233,,0.0,57.47616161616162,1.1711444559926698,58.080808080808076,0.0,0.9668370936735551,0.0006439812109776095,0.9634612881435355,0.0,0.62751475,0.005265943143208036,,0.0,2.662775,0.019773767344641247,,0.0
GUMNet_Wavelet,P8 GUMNet Ours,5,1,3.0339370000000003,0.06651609699914751,5.786972,0.0,5.5894746,0.17515534466821156,11.280719,0.0,2.62878,0.04627921347646261,3.3203,0.0,2.16608275,0.08230788099682496,,0.0,55.55799999999999,1.0602528000434626,56.57,0.0,0.9662446000000001,0.002128304263962287,0.962844,0.0,0.62802,0.013768702727562981,1.016638,0.0,2.6251399999999996,0.0459006143749732,3.35,0.0
GUMNet_Fourier,P8 GUMNet Ours,5,1,3.0371726000000003,0.041772128404475674,5.816764,0.0,5.5065984,0.13327726681861396,11.12276,0.0,2.61528,0.032097813009611724,3.3364,0.0,2.1651700000000003,0.028129545348263348,,0.0,52.124,1.407630633369422,56.57,0.0,0.9672510000000001,0.0015941503065896813,0.963878,0.0,0.6286900000000001,0.008646858365903762,1.021872,0.0,2.6111200000000006,0.032113511175204716,3.3485,0.0
Moirai,P6 Foundation,5,1,3.0389768,0.03674494645743826,5.786341,0.0,5.6521913999999995,0.08756076943608938,11.557703,0.0,2.65958,0.029884470883721502,3.3784,0.0,3.0373810000000003,0.040926836849431755,,0.0,57.074,2.1652768876058337,57.07,0.0,0.9655082,0.0010680897715080152,0.960997,0.0,0.6290634,0.007605931332848084,1.016528,0.0,2.6646600000000005,0.02506173178373764,3.3868,0.0
iTransformer,P3 Inverted,5,1,3.0505693999999997,0.1398630916297791,6.160148,0.0,5.6194744,0.2977063991039494,12.004797,0.0,2.65432,0.0888659529853813,3.6005,0.0,3.0679929999999995,0.1514404051615684,,0.0,56.870000000000005,0.6841344897021333,57.07,0.0,0.9658190000000001,0.0036488984639203186,0.957922,0.0,0.631463,0.028951288054247237,1.082197,0.0,2.64796,0.08931565596243468,3.603,0.0
NBEATS,P1 Linear,5,1,3.0626975999999995,0.05992004600665799,6.347685,0.0,5.5709102,0.10821050416923497,11.608988,0.0,2.67998,0.04866491138387088,3.7158,0.0,3.0660909999999997,0.06656154350674279,,0.0,54.14399999999999,0.8679078292076856,57.07,0.0,0.9664884,0.001298757652527995,0.96065,0.0,0.6339738,0.01240338368994524,1.115143,0.0,2.67794,0.04384580253570465,3.7193,0.0
