Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H1_MASE_mean,H1_MASE_std,H1_SMAPE_mean,H1_SMAPE_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H3_MASE_mean,H3_MASE_std,H3_SMAPE_mean,H3_SMAPE_std
GUMNetHet,P8 GUMNet Ours,1,5.602343,0.0,11.381993,0.0,3.2397,0.0,4.777177,0.0,84.92,0.0,0.962174,0.0,0.984203,0.0,3.264,0.0,1,8.853582,0.0,17.038021,0.0,5.3494,0.0,6.724314,0.0,76.65,0.0,0.91563,0.0,1.589251,0.0,5.3854,0.0
GUMNet_Adaptive,P8 GUMNet Ours,1,5.714831,0.0,11.511433,0.0,3.3184,0.0,4.891908,0.0,59.09,0.0,0.961309,0.0,1.003965,0.0,3.3557,0.0,1,9.789583,0.0,18.615747,0.0,5.8258,0.0,8.413508,0.0,51.53,0.0,0.899281,0.0,1.757267,0.0,5.7408,0.0
GUMNet_iTrans,P8 GUMNet Ours,1,5.715551,0.0,11.277808,0.0,3.3361,0.0,,0.0,60.61,0.0,0.962864,0.0,1.004091,0.0,3.3507,0.0,1,9.114112,0.0,18.114175,0.0,5.3955,0.0,6.990515,0.0,50.0,0.0,0.904636,0.0,1.636018,0.0,5.3869,0.0
TimeMachine,P5 SSM,1,5.731295,0.0,11.63041,0.0,3.3066,0.0,5.731295,0.0,60.1,0.0,0.960505,0.0,1.006857,0.0,3.319,0.0,1,9.629765,0.0,18.635489,0.0,5.7272,0.0,9.629765,0.0,53.06,0.0,0.899068,0.0,1.728579,0.0,5.813,0.0
TimeMixer,P4 Frequency,1,5.745297,0.0,11.153752,0.0,3.346,0.0,5.745297,0.0,60.1,0.0,0.963676,0.0,1.009317,0.0,3.3479,0.0,1,9.491711,0.0,18.139616,0.0,5.6808,0.0,,0.0,47.96,0.0,0.904368,0.0,1.703798,0.0,5.7647,0.0
Time_MoE,P7 SparseMoE,1,5.74584,0.0,11.1504,0.0,3.3739,0.0,,0.0,59.6,0.0,0.963698,0.0,1.009413,0.0,3.3842,0.0,1,9.628775,0.0,18.285361,0.0,5.811,0.0,9.628775,0.0,46.43,0.0,0.902825,0.0,1.728401,0.0,5.8985,0.0
S_Mamba,P5 SSM,1,5.746563,0.0,11.446657,0.0,3.3736,0.0,,0.0,58.08,0.0,0.961743,0.0,1.00954,0.0,3.3948,0.0,1,9.569985,0.0,18.646269,0.0,5.7167,0.0,,0.0,39.8,0.0,0.898951,0.0,1.717848,0.0,5.7843,0.0
LTSF_Linear,P1 Linear,1,5.772568641489744,0.0,11.186683455617015,0.0,3.367762287431545,0.0,,0.0,58.080808080808076,0.0,0.9634612881435355,0.0,,0.0,,0.0,1,9.442139,0.0,17.961918,0.0,5.6556,0.0,,0.0,46.43,0.0,0.906232,0.0,1.694899,0.0,5.7009,0.0
Moirai,P6 Foundation,1,5.786341,0.0,11.557703,0.0,3.3784,0.0,,0.0,57.07,0.0,0.960997,0.0,1.016528,0.0,3.3868,0.0,1,9.107155,0.0,17.716611,0.0,5.4016,0.0,9.107155,0.0,42.86,0.0,0.908776,0.0,1.634769,0.0,5.4581,0.0
GUMNet_Wavelet,P8 GUMNet Ours,1,5.786972,0.0,11.280719,0.0,3.3203,0.0,,0.0,56.57,0.0,0.962844,0.0,1.016638,0.0,3.35,0.0,1,9.185202,0.0,17.423405,0.0,5.4248,0.0,6.408764,0.0,51.53,0.0,0.91177,0.0,1.648778,0.0,5.4405,0.0
