Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H5_Seeds,H5_MAE_mean,H5_MAE_std,H5_RMSE_mean,H5_RMSE_std,H5_MAPE_mean,H5_MAPE_std,H5_CRPS_mean,H5_CRPS_std,H5_DA_mean,H5_DA_std,H5_R2_mean,H5_R2_std,H7_Seeds,H7_MAE_mean,H7_MAE_std,H7_RMSE_mean,H7_RMSE_std,H7_MAPE_mean,H7_MAPE_std,H7_CRPS_mean,H7_CRPS_std,H7_DA_mean,H7_DA_std,H7_R2_mean,H7_R2_std
PatchTST,P2 Transformer,5,2.8989042,0.07689336834187982,5.1836518,0.11030644237106009,2.54646,0.0527574298085114,2.902778,0.08553190040271529,60.403999999999996,1.087062095742463,0.9709833999999999,0.001251420249156937,5,4.8268632,0.027545315582871734,8.3076726,0.04029464725543547,4.2280999999999995,0.0245921125566714,4.8270297499999995,0.030794347187227327,47.858000000000004,1.5265962138037699,0.9251318,0.00072671766181924,5,5.530584999999999,0.029817096867401395,9.082550999999999,0.025708665908599534,4.823259999999999,0.02668749519906278,5.52823925,0.03292129047725039,49.294,4.935401098188473,0.9109579999999999,0.0005038618858377957,5,4.8798738,0.34376966893337163,8.7109232,0.5805835300586472,4.394139999999999,0.27739423642173977,4.84042775,0.3740882613704785,45.958000000000006,2.4040998315377835,0.8890368000000001,0.01504989383882823
RLinear,P1 Linear,5,2.9517419773542404,0.0864579091962125,5.1264619110679925,0.16791523194512795,2.5804230264547323,0.06628982930330578,2.9745264999999996,0.08214645590194385,58.48717171717171,1.1249754550712678,0.9716026567497,0.0018796822955365821,5,4.977911199999999,0.19309689536851693,8.6616666,0.30549965154585695,4.39296,0.1365429251188065,4.9244265,0.17973577295783388,42.248000000000005,2.819336092061392,0.918516,0.005746204068774444,5,5.6991246,0.15588970889908033,9.348287599999999,0.24984768047480435,5.003839999999999,0.11088364351878065,5.67428525,0.16520301187837805,44.948,4.428793966758897,0.9056045999999999,0.004997138605242009,5,5.018378399999999,0.18506263984456722,9.021056,0.31141030197666875,4.514740000000001,0.16861450234188027,5.079559249999999,0.15522481695652762,46.506,2.4985243644999735,0.8813802000000001,0.008076867719605177
TimesFM,P6 Foundation,5,2.9560082000000003,0.09492865529522683,5.338491599999999,0.18423793986538153,2.58244,0.06722748247554713,2.9916092499999998,0.07019357655574697,60.306,2.293927636173384,0.9692014,0.0021383551248564917,5,4.974561,0.0503711089852112,8.5522982,0.10636986811950092,4.40376,0.05069096960998092,4.974561,0.0503711089852112,46.327999999999996,1.7489356763471882,0.9206476,0.0019723690932480294,5,5.539390200000001,0.06753381128708791,9.110997,0.17417310503404348,4.8652,0.06196247251361085,5.5574345,0.06382033979265549,46.36,2.524020602134618,0.9103668,0.003472314928113502,5,5.033659,0.031760887871720225,8.895377,0.05219533110537728,4.524439999999999,0.03172617846510966,5.04325675,0.02829060749944202,50.14,2.3776543062438655,0.8847956,0.0013516979840186214
DLinear,P1 Linear,5,3.018799040151453,0.023761296188239214,5.55305415264273,0.10783393937698683,2.6483493266435003,0.019431614393527225,3.017562,0.026421537691815093,55.86109090909091,0.990598183084635,0.966703017542514,0.0012961530861996806,5,5.2412558,0.14870238980379571,9.687411200000001,0.22201743483735725,4.630740000000001,0.11584419881893089,5.29630525,0.1117510232176311,45.001999999999995,2.2898943207056512,0.8981474,0.004591450167430745,5,6.1008135999999995,0.14918324577592487,10.618217999999999,0.34748164263454284,5.3651800000000005,0.13034359823175054,6.15514325,0.11428471761214398,44.846,1.2511210972563778,0.8781723999999999,0.007963616881794363,5,4.8346226,0.16762747557915436,8.7761984,0.2862620261261352,4.3695,0.13292707775318013,4.8938275,0.13265599229303576,45.822,1.4910318574732055,0.8877463999999999,0.007220712446843449
LTSF_Linear,P1 Linear,5,3.03061535885787,0.022822819706506715,5.542662762414298,0.05386271796068184,2.6566932554414335,0.01720353115301791,3.031495,0.02544076515162233,57.47616161616162,1.1711444559926698,0.9668370936735551,0.0006439812109776095,5,5.2970254,0.08312117650418567,9.4320628,0.23446531738267853,4.659039999999999,0.0638624334018051,5.271978000000001,0.0741589593070183,44.084,1.6635696558906083,0.9034372000000002,0.004816789777434762,5,5.9271758000000005,0.1437734640904224,10.192681400000001,0.3905841215418771,5.236839999999999,0.11346574108513997,5.970046999999999,0.129030276576856,48.888,2.445079957792791,0.887697,0.00882550701093144,5,4.9065936,0.16518950621707162,8.795399800000002,0.2966005502168863,4.42042,0.12130229016799295,4.9711065,0.11532517016354212,47.604,3.4511018530318687,0.8872464000000001,0.007528306253069142
GUMNet_Wavelet,P8 GUMNet Ours,5,3.0339370000000003,0.06651609699914751,5.5894746,0.17515534466821156,2.62878,0.04627921347646261,2.16608275,0.08230788099682496,55.55799999999999,1.0602528000434626,0.9662446000000001,0.002128304263962287,5,5.2665332000000005,0.041551081388575294,9.4546046,0.08712166626643446,4.59272,0.03715585552776298,3.6706366000000004,0.07203294932348664,44.18599999999999,2.3393383680006616,0.9030267999999999,0.001784992481776863,5,5.4946538,0.17119646018116144,9.4037104,0.3665992795817251,4.864140000000001,0.15597817283197038,3.7961855,0.0599346921344391,51.61600000000001,3.9588614524885823,0.904405,0.00762075526440787,5,4.7579912,0.11317459495381475,8.729619199999998,0.2810258734703267,4.31038,0.08926175888923539,3.4073890000000002,0.051393545698852086,51.166000000000004,2.2159476528113204,0.8889381999999999,0.007127063445767848
GUMNet_Fourier,P8 GUMNet Ours,5,3.0371726000000003,0.041772128404475674,5.5065984,0.13327726681861396,2.61528,0.032097813009611724,2.1651700000000003,0.028129545348263348,52.124,1.407630633369422,0.9672510000000001,0.0015941503065896813,5,5.0633444,0.16024900174615764,8.8472866,0.2840583320084804,4.43718,0.12340699169820156,3.4714872,0.13405952265825807,46.736000000000004,3.571456845602364,0.9150044000000002,0.005478426292285015,5,4.807923199999999,0.1224015295809655,8.1498312,0.10914164671178435,4.31704,0.0959115342385889,3.3510835,0.05793860539182837,53.938,3.2336876781779655,0.9282944000000001,0.0019169021466939873,5,4.3918128,0.17148760207245298,8.1306586,0.44262483391269375,4.06224,0.14512591222796856,3.129023,0.13872878628280444,51.166,2.181601246790989,0.9034702000000001,0.010583221672061846
Moirai,P6 Foundation,5,3.0389768,0.03674494645743826,5.6521913999999995,0.08756076943608938,2.65958,0.029884470883721502,3.0373810000000003,0.040926836849431755,57.074,2.1652768876058337,0.9655082,0.0010680897715080152,5,4.828652,0.06868804839562688,8.283243600000002,0.12072694366478441,4.23278,0.05656947586817483,4.828652,0.06868804839562688,48.367999999999995,1.5932909338849564,0.9255572000000001,0.0021631616120854095,5,5.475074,0.04880058772596925,9.0710084,0.06211787055783573,4.780620000000001,0.03237489150560968,5.47962275,0.05360425421724961,46.968,1.6589924653234578,0.9111803999999999,0.0012184386073988411,5,5.045538,0.23984969580301754,9.1127228,0.44429428232530743,4.5324,0.1812961444708627,5.1045732500000005,0.23341816983300062,43.972,1.1374075786629867,0.878814,0.011927682775795128
iTransformer,P3 Inverted,5,3.0505693999999997,0.1398630916297791,5.6194744,0.2977063991039494,2.65432,0.0888659529853813,3.0679929999999995,0.1514404051615684,56.870000000000005,0.6841344897021333,0.9658190000000001,0.0036488984639203186,5,4.9617678,0.2344593419844046,8.757187400000001,0.4552855542832868,4.39766,0.19233722052686528,4.94438925,0.2592371670964399,45.51200000000001,2.9279508192590944,0.9165876,0.008770505609142516,5,5.3571196,0.2999951142112817,8.8323038,0.4802029887218113,4.75544,0.2135038229165931,5.301989,0.3119285501625331,49.291999999999994,2.2740747569066415,0.9155485999999999,0.008891896594090586,5,4.789456800000001,0.09968308749512143,8.5350162,0.16130940751785044,4.3454,0.07120432571129365,4.80334775,0.1070331955805653,49.52,1.8423137626365396,0.8939062,0.004026059482918748
NBEATS,P1 Linear,5,3.0626975999999995,0.05992004600665799,5.5709102,0.10821050416923497,2.67998,0.04866491138387088,3.0660909999999997,0.06656154350674279,54.14399999999999,0.8679078292076856,0.9664884,0.001298757652527995,5,5.2681434000000005,0.12213926971879274,9.2153942,0.21643402292652575,4.62664,0.0836011865944497,5.28884925,0.12846727360766827,49.49,1.9620091742904777,0.9078286,0.004314609998597813,5,5.370335799999999,0.1308810923753314,8.9789714,0.16465489364194483,4.72476,0.11752331853721637,5.34663175,0.13639250527315475,48.284,1.8815057799539168,0.9129484,0.003162039316643613,5,4.7540016,0.13548780869229532,8.5451108,0.2143790945166064,4.3040400000000005,0.09295761614843633,4.694656999999999,0.07305665701700266,48.494,1.9446192429367777,0.8936262000000001,0.005360930456553231
