Model,Paradigm,H1_Seeds,H1_MAE_mean,H1_MAE_std,H1_RMSE_mean,H1_RMSE_std,H1_MAPE_mean,H1_MAPE_std,H1_CRPS_mean,H1_CRPS_std,H1_DA_mean,H1_DA_std,H1_R2_mean,H1_R2_std,H1_MASE_mean,H1_MASE_std,H1_SMAPE_mean,H1_SMAPE_std,H3_Seeds,H3_MAE_mean,H3_MAE_std,H3_RMSE_mean,H3_RMSE_std,H3_MAPE_mean,H3_MAPE_std,H3_CRPS_mean,H3_CRPS_std,H3_DA_mean,H3_DA_std,H3_R2_mean,H3_R2_std,H3_MASE_mean,H3_MASE_std,H3_SMAPE_mean,H3_SMAPE_std
PatchTST,P2 Transformer,5,2.8989042,0.07689336834187982,5.1836518,0.11030644237106009,2.54646,0.0527574298085114,2.902778,0.08553190040271529,60.403999999999996,1.087062095742463,0.9709833999999999,0.001251420249156937,0.6000686,0.015917012792606544,2.54418,0.05102224612852718,5,4.8268632,0.027545315582871734,8.3076726,0.04029464725543547,4.2280999999999995,0.0245921125566714,4.8270297499999995,0.030794347187227327,47.858000000000004,1.5265962138037699,0.9251318,0.00072671766181924,1.0006968,0.0057104673854247515,4.28308,0.023529504882168855
RLinear,P1 Linear,5,2.9517419773542404,0.0864579091962125,5.1264619110679925,0.16791523194512795,2.5804230264547323,0.06628982930330578,2.9745264999999996,0.08214645590194385,58.48717171717171,1.1249754550712678,0.9716026567497,0.0018796822955365821,0.61572225,0.017004193561809978,2.6056,0.06035606846042903,5,4.977911199999999,0.19309689536851693,8.6616666,0.30549965154585695,4.39296,0.1365429251188065,4.9244265,0.17973577295783388,42.248000000000005,2.819336092061392,0.918516,0.005746204068774444,1.0320117999999998,0.040032538232792576,4.4265,0.14116916093821638
TimesFM,P6 Foundation,5,2.9560082000000003,0.09492865529522683,5.338491599999999,0.18423793986538153,2.58244,0.06722748247554713,2.9916092499999998,0.07019357655574697,60.306,2.293927636173384,0.9692014,0.0021383551248564917,0.6118892,0.019650069204967195,2.58496,0.06807856050182022,5,4.974561,0.0503711089852112,8.5522982,0.10636986811950092,4.40376,0.05069096960998092,4.974561,0.0503711089852112,46.327999999999996,1.7489356763471882,0.9206476,0.0019723690932480294,1.0313174,0.010442757271908593,4.43354,0.05162230525654568
DLinear,P1 Linear,5,3.018799040151453,0.023761296188239214,5.55305415264273,0.10783393937698683,2.6483493266435003,0.019431614393527225,3.017562,0.026421537691815093,55.86109090909091,0.990598183084635,0.966703017542514,0.0012961530861996806,0.62463075,0.0054692000043425025,2.6546,0.023799894957751415,5,5.2412558,0.14870238980379571,9.687411200000001,0.22201743483735725,4.630740000000001,0.11584419881893089,5.29630525,0.1117510232176311,45.001999999999995,2.2898943207056512,0.8981474,0.004591450167430745,1.086608,0.030828713758442823,4.74648,0.11417562612046403
LTSF_Linear,P1 Linear,5,3.03061535885787,0.022822819706506715,5.542662762414298,0.05386271796068184,2.6566932554414335,0.01720353115301791,3.031495,0.02544076515162233,57.47616161616162,1.1711444559926698,0.9668370936735551,0.0006439812109776095,0.62751475,0.005265943143208036,2.662775,0.019773767344641247,5,5.2970254,0.08312117650418567,9.4320628,0.23446531738267853,4.659039999999999,0.0638624334018051,5.271978000000001,0.0741589593070183,44.084,1.6635696558906083,0.9034372000000002,0.004816789777434762,1.0981698,0.017232515630632685,4.753120000000001,0.07906406010318437
GUMNet_Wavelet,P8 GUMNet Ours,5,3.0339370000000003,0.06651609699914751,5.5894746,0.17515534466821156,2.62878,0.04627921347646261,2.16608275,0.08230788099682496,55.55799999999999,1.0602528000434626,0.9662446000000001,0.002128304263962287,0.62802,0.013768702727562981,2.6251399999999996,0.0459006143749732,5,5.2665332000000005,0.041551081388575294,9.4546046,0.08712166626643446,4.59272,0.03715585552776298,3.6706366000000004,0.07203294932348664,44.18599999999999,2.3393383680006616,0.9030267999999999,0.001784992481776863,1.0918481999999998,0.008614248972487437,4.62488,0.03806228579578483
GUMNet_Fourier,P8 GUMNet Ours,5,3.0371726000000003,0.041772128404475674,5.5065984,0.13327726681861396,2.61528,0.032097813009611724,2.1651700000000003,0.028129545348263348,52.124,1.407630633369422,0.9672510000000001,0.0015941503065896813,0.6286900000000001,0.008646858365903762,2.6111200000000006,0.032113511175204716,5,5.0633444,0.16024900174615764,8.8472866,0.2840583320084804,4.43718,0.12340699169820156,3.4714872,0.13405952265825807,46.736000000000004,3.571456845602364,0.9150044000000002,0.005478426292285015,1.0497236,0.03322236618063201,4.456840000000001,0.11374574453578477
Moirai,P6 Foundation,5,3.0389768,0.03674494645743826,5.6521913999999995,0.08756076943608938,2.65958,0.029884470883721502,3.0373810000000003,0.040926836849431755,57.074,2.1652768876058337,0.9655082,0.0010680897715080152,0.6290634,0.007605931332848084,2.6646600000000005,0.02506173178373764,5,4.828652,0.06868804839562688,8.283243600000002,0.12072694366478441,4.23278,0.05656947586817483,4.828652,0.06868804839562688,48.367999999999995,1.5932909338849564,0.9255572000000001,0.0021631616120854095,1.0010678,0.014240222040403695,4.28596,0.05374184961461594
iTransformer,P3 Inverted,5,3.0505693999999997,0.1398630916297791,5.6194744,0.2977063991039494,2.65432,0.0888659529853813,3.0679929999999995,0.1514404051615684,56.870000000000005,0.6841344897021333,0.9658190000000001,0.0036488984639203186,0.631463,0.028951288054247237,2.64796,0.08931565596243468,5,4.9617678,0.2344593419844046,8.757187400000001,0.4552855542832868,4.39766,0.19233722052686528,4.94438925,0.2592371670964399,45.51200000000001,2.9279508192590944,0.9165876,0.008770505609142516,1.0286648,0.048607553081388526,4.41052,0.17529489895601652
NBEATS,P1 Linear,5,3.0626975999999995,0.05992004600665799,5.5709102,0.10821050416923497,2.67998,0.04866491138387088,3.0660909999999997,0.06656154350674279,54.14399999999999,0.8679078292076856,0.9664884,0.001298757652527995,0.6339738,0.01240338368994524,2.67794,0.04384580253570465,5,5.2681434000000005,0.12213926971879274,9.2153942,0.21643402292652575,4.62664,0.0836011865944497,5.28884925,0.12846727360766827,49.49,1.9620091742904777,0.9078286,0.004314609998597813,1.092182,0.025321587943886927,4.6572000000000005,0.08100841931552549
