model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
Autoformer,DAU,10,9.86076,20.315808,6.5602,6.8235,0.807966,2.78269,43.32,9.86076,,
Autoformer,DAU,1,5.807937,11.547294,3.3354,3.3464,0.961068,1.020322,55.05,5.807937,,
Autoformer,DAU,20,13.624452,29.605593,9.4022,9.6283,0.443588,4.990917,48.49,13.624452,,
Autoformer,DAU,3,9.48393,18.15345,5.6705,5.7211,0.904222,1.702401,46.43,,,
Autoformer,DAU,5,11.270229,18.729293,6.7476,6.9701,0.897578,1.979921,46.46,,,
Autoformer,DAU,60,9.373924,24.510097,7.7379,8.7373,-0.195572,5.805609,48.42,9.373924,,
Autoformer,DAU,7,10.907427,21.965168,7.0541,7.0625,0.818098,2.667298,47.26,10.907427,,
Autoformer,XANG,10,5.065794,10.245743,4.6473,4.8897,0.809408,1.413045,47.81,,,
Autoformer,XANG,1,3.203514,5.790676,2.782,2.7927,0.963806,0.663122,57.07,,,
Autoformer,XANG,20,6.598191,11.720062,6.4157,6.6785,0.661053,2.219654,46.49,,,
Autoformer,XANG,3,5.44122,10.010007,4.7599,4.8825,0.891308,1.128064,47.96,,,
Autoformer,XANG,5,6.134165,10.346086,5.4268,5.6811,0.884461,1.269762,45.96,,,
Autoformer,XANG,60,7.434481,14.125253,7.7191,8.3668,-0.172735,2.168372,47.41,,,
Autoformer,XANG,7,4.968704,8.842251,4.4466,4.5647,0.886172,1.226706,51.03,,,
BiMamba,XANG,10,5.060272,10.15854,4.6325,4.8728,0.812639,1.411505,48.97,5.060272,,
BiMamba,XANG,1,3.332033,6.249059,2.9093,2.9254,0.957849,0.689726,54.55,,,
BiMamba,XANG,20,6.697364,12.171394,6.428,6.6579,0.634445,2.253016,40.47,,,
BiMamba,XANG,3,5.421562,10.028633,4.7672,4.9117,0.890903,1.123989,40.82,5.421562,,
BiMamba,XANG,5,6.543872,11.208513,5.8221,6.1453,0.864396,1.354571,53.54,,,
BiMamba,XANG,60,7.507008,14.415804,7.7059,8.4887,-0.221476,2.189525,48.9,7.507008,,
BiMamba,XANG,7,5.250041,9.11537,4.7345,4.8953,0.879031,1.296165,46.92,,,
CARD,XANG,10,4.880596,9.910938,4.4794,4.7266,0.821661,1.361386,52.06,,,
CARD,XANG,1,3.109814,5.337806,2.7269,2.7333,0.969246,0.643727,58.59,,,
CARD,XANG,20,5.838192,11.304749,5.7535,6.1661,0.684649,1.963988,47.16,,,
CARD,XANG,3,5.361685,9.19359,4.6556,4.7129,0.908315,1.111575,50.51,,,
CARD,XANG,5,5.621804,9.356543,4.9065,5.0838,0.905505,1.163704,48.99,,,
CARD,XANG,60,7.7991,14.389636,8.0476,8.843,-0.217046,2.274718,47.86,,,
CARD,XANG,7,4.800924,8.718063,4.3273,4.4542,0.889347,1.185283,40.07,,,
Chronos,DAU,10,9.709681,19.824384,6.5183,6.7812,0.817144,2.740056,46.53,9.709681,,
Chronos,DAU,1,6.121828,11.773999,3.5416,3.5365,0.959524,1.075465,60.1,,,
Chronos,DAU,20,12.227086,25.864228,8.6825,8.7088,0.575334,4.479033,49.33,12.227086,,
Chronos,DAU,3,9.460461,18.45458,5.6116,5.6379,0.901018,1.698188,45.92,,,
Chronos,DAU,5,10.563611,17.511406,6.2686,6.5219,0.910465,1.855785,53.54,10.563611,,
Chronos,DAU,60,9.166775,23.680002,7.6333,8.4545,-0.115961,5.677314,47.8,9.166775,,
Chronos,DAU,7,11.400781,23.082813,7.4643,7.414,0.799116,2.787942,54.79,11.400781,,
Chronos,XANG,10,4.907043,9.982214,4.4911,4.7519,0.819087,1.368763,52.57,4.907043,,
Chronos,XANG,1,3.043615,5.361704,2.7025,2.703,0.96897,0.630023,61.62,,,
Chronos,XANG,20,5.957668,11.351835,5.8234,6.1371,0.682017,2.00418,44.48,5.957668,,
Chronos,XANG,3,5.108439,8.788336,4.418,4.4959,0.91622,1.059072,48.98,5.108439,,
Chronos,XANG,5,5.550413,9.179137,4.8469,5.0353,0.909055,1.148927,50.0,,,
Chronos,XANG,60,6.972207,13.889397,7.2057,7.6989,-0.133898,2.033543,46.16,6.972207,,
Chronos,XANG,7,4.899899,8.816172,4.4192,4.5703,0.886842,1.209719,50.34,,,
CoST,XANG,10,4.523706,9.275509,4.2274,4.4566,0.843796,1.261836,46.4,,,
CoST,XANG,1,3.000635,5.5041,2.6373,2.6415,0.9673,0.621127,59.09,,,
CoST,XANG,20,6.683852,12.537614,6.4587,6.8349,0.612116,2.248471,45.15,,,
CoST,XANG,3,5.216237,9.674752,4.6092,4.7313,0.898467,1.081421,51.02,,,
CoST,XANG,5,5.727817,9.931817,5.067,5.3257,0.893528,1.185649,47.47,,,
CoST,XANG,60,8.030332,15.402305,8.3475,9.1579,-0.394372,2.34216,46.31,,,
CoST,XANG,7,4.744805,8.515725,4.3075,4.4027,0.894423,1.171429,44.52,,,
Crossformer,XANG,10,5.372272,10.930685,4.8449,5.0216,0.783074,1.498534,46.4,,,
Crossformer,XANG,1,3.537773,6.584092,2.9886,3.0192,0.953208,0.732313,56.06,,,
Crossformer,XANG,20,5.869501,11.374398,5.686,6.0062,0.680751,1.97452,43.14,,,
Crossformer,XANG,3,4.961359,9.001469,4.3421,4.3465,0.912107,1.02858,52.04,,,
Crossformer,XANG,5,6.043158,10.004439,5.2084,5.3341,0.891965,1.250924,56.57,,,
Crossformer,XANG,60,6.965435,14.004691,7.1139,7.682,-0.152801,2.031568,47.11,,,
Crossformer,XANG,7,5.345661,10.02321,4.7944,4.8613,0.853736,1.319772,48.63,,,
DLinear,DAU,10,9.893129,20.927563,6.5415,6.8596,0.796227,2.791825,48.71,9.893129,,
DLinear,DAU,1,6.034611210751532,11.652639795587222,3.5124143491926185,,0.9603540181535232,,55.05050505050505,,,
DLinear,DAU,20,12.662147,27.568752,8.8739,8.813,0.517516,4.638404,47.49,12.662147,,
DLinear,DAU,3,9.76971,18.856941,5.8555,5.897,0.896654,1.7537,44.9,,,
DLinear,DAU,5,11.440973,19.08638,6.8313,7.1428,0.893635,2.009917,41.41,,,
DLinear,DAU,60,9.771423,24.068182,8.2621,9.1777,-0.152849,6.051795,48.21,9.771423,,
DLinear,DAU,7,10.308687,20.312207,6.791,6.8479,0.844446,2.520882,47.26,10.308687,,
DLinear,XANG,10,4.985439,9.966797,4.6074,4.8467,0.819645,1.390631,44.6,,,
DLinear,XANG,1,3.0237472007572648,5.572081763213648,2.645646633217501,,0.9664870877125693,,54.54545454545454,,,
DLinear,XANG,20,6.567154,12.541655,6.2389,6.5401,0.611866,2.209213,48.66,,,
